Segment 1:

Segment 2:
Ep = 0.328V
ip = -4.316e-5A
Ah = -3.982e-5C

Segment 3:
Ep = 0.408V
ip = 2.504e-3A
Ah = 2.808e-3C

Segment 4:
Ep = 0.375V
ip = -3.596e-5A
Ah = -3.214e-5C

Segment 5:
Ep = 0.411V
ip = 2.429e-3A
Ah = 2.740e-3C

Segment 6:
Ep = 0.377V
ip = -3.730e-5A
Ah = -3.290e-5C

Segment 7:
Ep = 0.413V
ip = 2.412e-3A
Ah = 2.711e-3C

Segment 8:
Ep = 0.385V
ip = -3.975e-5A
Ah = -3.280e-5C

Segment 9:
Ep = 0.412V
ip = 2.444e-3A
Ah = 2.649e-3C

Potential/V, Current/A, Charge/C, Time/s

0.800, -4.272e-5, -4.272e-7, 1.000e-2
0.801, -4.215e-5, -8.487e-7, 2.000e-2
0.802, -4.212e-5, -1.270e-6, 3.000e-2
0.803, -4.193e-5, -1.689e-6, 4.000e-2
0.804, -4.141e-5, -2.103e-6, 5.000e-2
0.805, -4.129e-5, -2.516e-6, 6.000e-2
0.806, -4.100e-5, -2.926e-6, 7.000e-2
0.807, -4.084e-5, -3.335e-6, 8.000e-2
0.808, -4.096e-5, -3.744e-6, 9.000e-2
0.809, -4.052e-5, -4.149e-6, 1.000e-1
0.810, -4.063e-5, -4.556e-6, 1.100e-1
0.811, -4.023e-5, -4.958e-6, 1.200e-1
0.812, -4.045e-5, -5.363e-6, 1.300e-1
0.813, -4.021e-5, -5.765e-6, 1.400e-1
0.814, -3.991e-5, -6.164e-6, 1.500e-1
0.815, -3.982e-5, -6.562e-6, 1.600e-1
0.816, -3.984e-5, -6.960e-6, 1.700e-1
0.817, -3.958e-5, -7.356e-6, 1.800e-1
0.818, -3.949e-5, -7.751e-6, 1.900e-1
0.819, -3.954e-5, -8.146e-6, 2.000e-1
0.820, -3.935e-5, -8.540e-6, 2.100e-1
0.821, -3.919e-5, -8.932e-6, 2.200e-1
0.822, -3.904e-5, -9.322e-6, 2.300e-1
0.823, -3.894e-5, -9.712e-6, 2.400e-1
0.824, -3.906e-5, -1.010e-5, 2.500e-1
0.825, -3.875e-5, -1.049e-5, 2.600e-1
0.826, -3.861e-5, -1.088e-5, 2.700e-1
0.827, -3.874e-5, -1.126e-5, 2.800e-1
0.828, -3.836e-5, -1.165e-5, 2.900e-1
0.829, -3.825e-5, -1.203e-5, 3.000e-1
0.830, -3.840e-5, -1.241e-5, 3.100e-1
0.831, -3.797e-5, -1.279e-5, 3.200e-1
0.832, -3.816e-5, -1.317e-5, 3.300e-1
0.833, -3.819e-5, -1.356e-5, 3.400e-1
0.834, -3.815e-5, -1.394e-5, 3.500e-1
0.835, -3.774e-5, -1.432e-5, 3.600e-1
0.836, -3.764e-5, -1.469e-5, 3.700e-1
0.837, -3.757e-5, -1.507e-5, 3.800e-1
0.838, -3.748e-5, -1.544e-5, 3.900e-1
0.839, -3.718e-5, -1.581e-5, 4.000e-1
0.840, -3.742e-5, -1.619e-5, 4.100e-1
0.841, -3.717e-5, -1.656e-5, 4.200e-1
0.842, -3.727e-5, -1.693e-5, 4.300e-1
0.843, -3.689e-5, -1.730e-5, 4.400e-1
0.844, -3.700e-5, -1.767e-5, 4.500e-1
0.845, -3.688e-5, -1.804e-5, 4.600e-1
0.846, -3.687e-5, -1.841e-5, 4.700e-1
0.847, -3.641e-5, -1.877e-5, 4.800e-1
0.848, -3.646e-5, -1.914e-5, 4.900e-1
0.849, -3.631e-5, -1.950e-5, 5.000e-1
0.850, -3.651e-5, -1.987e-5, 5.100e-1
0.851, -3.588e-5, -2.022e-5, 5.200e-1
0.852, -3.617e-5, -2.059e-5, 5.300e-1
0.853, -3.586e-5, -2.094e-5, 5.400e-1
0.854, -3.604e-5, -2.131e-5, 5.500e-1
0.855, -3.564e-5, -2.166e-5, 5.600e-1
0.856, -3.576e-5, -2.202e-5, 5.700e-1
0.857, -3.564e-5, -2.238e-5, 5.800e-1
0.858, -3.549e-5, -2.273e-5, 5.900e-1
0.859, -3.541e-5, -2.308e-5, 6.000e-1
0.860, -3.547e-5, -2.344e-5, 6.100e-1
0.861, -3.512e-5, -2.379e-5, 6.200e-1
