Segment 1:

Segment 2:
Ep = 0.412V
ip = -4.303e-5A
Ah = -3.859e-5C

Segment 3:
Ep = 0.513V
ip = 1.727e-3A
Ah = 2.373e-3C

Segment 4:
Ep = 0.413V
ip = -4.171e-5A
Ah = -3.617e-5C

Segment 5:
Ep = 0.510V
ip = 1.772e-3A
Ah = 2.312e-3C

Segment 6:
Ep = 0.414V
ip = -4.161e-5A
Ah = -3.601e-5C

Segment 7:
Ep = 0.510V
ip = 1.779e-3A
Ah = 2.324e-3C

Segment 8:
Ep = 0.415V
ip = -4.135e-5A
Ah = -3.474e-5C

Segment 9:
Ep = 0.512V
ip = 1.741e-3A
Ah = 2.329e-3C

Segment 10:
Ep = 0.411V
ip = -4.115e-5A
Ah = -3.618e-5C

Potential/V, Current/A, Charge/C, Time/s

0.800, 3.876e-4, 3.876e-6, 1.000e-2
0.801, 3.878e-4, 7.754e-6, 2.000e-2
0.802, 3.867e-4, 1.162e-5, 3.000e-2
0.803, 3.864e-4, 1.549e-5, 4.000e-2
0.804, 3.850e-4, 1.934e-5, 5.000e-2
0.805, 3.848e-4, 2.318e-5, 6.000e-2
0.806, 3.835e-4, 2.702e-5, 7.000e-2
0.807, 3.826e-4, 3.084e-5, 8.000e-2
0.808, 3.815e-4, 3.466e-5, 9.000e-2
0.809, 3.807e-4, 3.847e-5, 1.000e-1
0.810, 3.785e-4, 4.225e-5, 1.100e-1
0.811, 3.778e-4, 4.603e-5, 1.200e-1
0.812, 3.760e-4, 4.979e-5, 1.300e-1
0.813, 3.751e-4, 5.354e-5, 1.400e-1
0.814, 3.742e-4, 5.728e-5, 1.500e-1
0.815, 3.734e-4, 6.102e-5, 1.600e-1
0.816, 3.708e-4, 6.472e-5, 1.700e-1
0.817, 3.697e-4, 6.842e-5, 1.800e-1
0.818, 3.682e-4, 7.210e-5, 1.900e-1
0.819, 3.670e-4, 7.577e-5, 2.000e-1
0.820, 3.649e-4, 7.942e-5, 2.100e-1
0.821, 3.640e-4, 8.306e-5, 2.200e-1
0.822, 3.624e-4, 8.669e-5, 2.300e-1
0.823, 3.609e-4, 9.030e-5, 2.400e-1
0.824, 3.596e-4, 9.389e-5, 2.500e-1
0.825, 3.585e-4, 9.748e-5, 2.600e-1
0.826, 3.574e-4, 1.011e-4, 2.700e-1
0.827, 3.559e-4, 1.046e-4, 2.800e-1
0.828, 3.529e-4, 1.081e-4, 2.900e-1
0.829, 3.517e-4, 1.117e-4, 3.000e-1
0.830, 3.500e-4, 1.152e-4, 3.100e-1
0.831, 3.483e-4, 1.186e-4, 3.200e-1
0.832, 3.468e-4, 1.221e-4, 3.300e-1
0.833, 3.455e-4, 1.256e-4, 3.400e-1
0.834, 3.439e-4, 1.290e-4, 3.500e-1
0.835, 3.428e-4, 1.324e-4, 3.600e-1
0.836, 3.410e-4, 1.358e-4, 3.700e-1
0.837, 3.395e-4, 1.392e-4, 3.800e-1
0.838, 3.381e-4, 1.426e-4, 3.900e-1
0.839, 3.372e-4, 1.460e-4, 4.000e-1
0.840, 3.361e-4, 1.493e-4, 4.100e-1
0.841, 3.355e-4, 1.527e-4, 4.200e-1
0.842, 3.335e-4, 1.560e-4, 4.300e-1
0.843, 3.321e-4, 1.594e-4, 4.400e-1
0.844, 3.307e-4, 1.627e-4, 4.500e-1
0.845, 3.298e-4, 1.660e-4, 4.600e-1
0.846, 3.290e-4, 1.693e-4, 4.700e-1
0.847, 3.270e-4, 1.725e-4, 4.800e-1
0.848, 3.256e-4, 1.758e-4, 4.900e-1
0.849, 3.238e-4, 1.790e-4, 5.000e-1
0.850, 3.227e-4, 1.822e-4, 5.100e-1
0.851, 3.214e-4, 1.855e-4, 5.200e-1
0.852, 3.197e-4, 1.887e-4, 5.300e-1
0.853, 3.185e-4, 1.918e-4, 5.400e-1
0.854, 3.189e-4, 1.950e-4, 5.500e-1
0.855, 3.179e-4, 1.982e-4, 5.600e-1
0.856, 3.157e-4, 2.014e-4, 5.700e-1
0.857, 3.139e-4, 2.045e-4, 5.800e-1
0.858, 3.122e-4, 2.076e-4, 5.900e-1
0.859, 3.103e-4, 2.107e-4, 6.000e-1
0.860, 3.089e-4, 2.138e-4, 6.100e-1
0.861, 3.078e-4, 2.169e-4, 6.200e-1
0.862, 3.066e-4, 2.200e-4, 6.300e-1
0.863, 3.053e-4, 2.230e-4, 6.400e-1
0.864, 3.042e-4, 2.261e-4, 6.500e-1
0.865, 3.031e-4, 2.291e-4, 6.600e-1
0.866, 3.015e-4, 2.321e-4, 6.700e-1
0.867, 2.999e-4, 2.351e-4, 6.800e-1
0.868, 2.988e-4, 2.381e-4, 6.900e-1
0.869, 2.970e-4, 2.411e-4, 7.000e-1
0.870, 2.957e-4, 2.440e-4, 7.100e-1
0.871, 2.945e-4, 2.470e-4, 7.200e-1
0.872, 2.934e-4, 2.499e-4, 7.300e-1
0.873, 2.920e-4, 2.528e-4, 7.400e-1
0.874, 2.904e-4, 2.557e-4, 7.500e-1
0.875, 2.894e-4, 2.586e-4, 7.600e-1
0.876, 2.879e-4, 2.615e-4, 7.700e-1
0.877, 2.865e-4, 2.644e-4, 7.800e-1
0.878, 2.856e-4, 2.672e-4, 7.900e-1
0.879, 2.842e-4, 2.701e-4, 8.000e-1
0.880, 2.828e-4, 2.729e-4, 8.100e-1
0.881, 2.821e-4, 2.757e-4, 8.200e-1
0.882, 2.808e-4, 2.785e-4, 8.300e-1
0.883, 2.794e-4, 2.813e-4, 8.400e-1
0.884, 2.783e-4, 2.841e-4, 8.500e-1
0.885, 2.770e-4, 2.869e-4, 8.600e-1
0.886, 2.766e-4, 2.896e-4, 8.700e-1
0.887, 2.763e-4, 2.924e-4, 8.800e-1
0.888, 2.758e-4, 2.952e-4, 8.900e-1
0.889, 2.717e-4, 2.979e-4, 9.000e-1
0.890, 2.702e-4, 3.006e-4, 9.100e-1
0.891, 2.687e-4, 3.033e-4, 9.200e-1
0.892, 2.673e-4, 3.059e-4, 9.300e-1
0.893, 2.660e-4, 3.086e-4, 9.400e-1
0.894, 2.650e-4, 3.112e-4, 9.500e-1
