Segment 1:

Segment 2:
Ep = 0.425V
ip = -4.285e-5A
Ah = -3.295e-5C

Segment 3:

Segment 4:
Ep = 0.422V
ip = -4.008e-5A
Ah = -3.111e-5C

Segment 5:

Segment 6:
Ep = 0.423V
ip = -4.112e-5A
Ah = -3.225e-5C

Segment 7:

Segment 8:
Ep = 0.424V
ip = -4.196e-5A
Ah = -3.326e-5C

Segment 9:

Segment 10:
Ep = 0.424V
ip = -4.134e-5A
Ah = -3.187e-5C

Potential/V, Current/A, Charge/C, Time/s

0.800, 1.612e-4, 1.612e-6, 1.000e-2
0.801, 1.615e-4, 3.227e-6, 2.000e-2
0.802, 1.609e-4, 4.836e-6, 3.000e-2
0.803, 1.606e-4, 6.442e-6, 4.000e-2
0.804, 1.604e-4, 8.046e-6, 5.000e-2
0.805, 1.603e-4, 9.649e-6, 6.000e-2
0.806, 1.592e-4, 1.124e-5, 7.000e-2
0.807, 1.574e-4, 1.281e-5, 8.000e-2
0.808, 1.555e-4, 1.437e-5, 9.000e-2
0.809, 1.547e-4, 1.592e-5, 1.000e-1
0.810, 1.541e-4, 1.746e-5, 1.100e-1
0.811, 1.531e-4, 1.899e-5, 1.200e-1
0.812, 1.522e-4, 2.051e-5, 1.300e-1
0.813, 1.520e-4, 2.203e-5, 1.400e-1
0.814, 1.508e-4, 2.354e-5, 1.500e-1
0.815, 1.500e-4, 2.504e-5, 1.600e-1
0.816, 1.493e-4, 2.653e-5, 1.700e-1
0.817, 1.485e-4, 2.802e-5, 1.800e-1
0.818, 1.477e-4, 2.949e-5, 1.900e-1
0.819, 1.470e-4, 3.096e-5, 2.000e-1
0.820, 1.463e-4, 3.243e-5, 2.100e-1
0.821, 1.455e-4, 3.388e-5, 2.200e-1
0.822, 1.443e-4, 3.532e-5, 2.300e-1
0.823, 1.440e-4, 3.676e-5, 2.400e-1
0.824, 1.427e-4, 3.819e-5, 2.500e-1
0.825, 1.421e-4, 3.961e-5, 2.600e-1
0.826, 1.415e-4, 4.103e-5, 2.700e-1
0.827, 1.410e-4, 4.244e-5, 2.800e-1
0.828, 1.401e-4, 4.384e-5, 2.900e-1
0.829, 1.398e-4, 4.524e-5, 3.000e-1
0.830, 1.392e-4, 4.663e-5, 3.100e-1
0.831, 1.384e-4, 4.801e-5, 3.200e-1
0.832, 1.376e-4, 4.939e-5, 3.300e-1
0.833, 1.371e-4, 5.076e-5, 3.400e-1
0.834, 1.360e-4, 5.212e-5, 3.500e-1
0.835, 1.355e-4, 5.347e-5, 3.600e-1
0.836, 1.346e-4, 5.482e-5, 3.700e-1
0.837, 1.341e-4, 5.616e-5, 3.800e-1
0.838, 1.331e-4, 5.749e-5, 3.900e-1
0.839, 1.331e-4, 5.882e-5, 4.000e-1
0.840, 1.324e-4, 6.015e-5, 4.100e-1
0.841, 1.314e-4, 6.146e-5, 4.200e-1
0.842, 1.307e-4, 6.277e-5, 4.300e-1
0.843, 1.305e-4, 6.407e-5, 4.400e-1
0.844, 1.293e-4, 6.537e-5, 4.500e-1
0.845, 1.282e-4, 6.665e-5, 4.600e-1
0.846, 1.273e-4, 6.792e-5, 4.700e-1
0.847, 1.273e-4, 6.919e-5, 4.800e-1
0.848, 1.257e-4, 7.045e-5, 4.900e-1
0.849, 1.253e-4, 7.170e-5, 5.000e-1
0.850, 1.246e-4, 7.295e-5, 5.100e-1
0.851, 1.239e-4, 7.419e-5, 5.200e-1
0.852, 1.229e-4, 7.542e-5, 5.300e-1
0.853, 1.225e-4, 7.664e-5, 5.400e-1
0.854, 1.215e-4, 7.786e-5, 5.500e-1
0.855, 1.209e-4, 7.907e-5, 5.600e-1
0.856, 1.205e-4, 8.027e-5, 5.700e-1
0.857, 1.201e-4, 8.147e-5, 5.800e-1
0.858, 1.193e-4, 8.267e-5, 5.900e-1
0.859, 1.190e-4, 8.386e-5, 6.000e-1
0.860, 1.182e-4, 8.504e-5, 6.100e-1
0.861, 1.178e-4, 8.622e-5, 6.200e-1
0.862, 1.173e-4, 8.739e-5, 6.300e-1
0.863, 1.172e-4, 8.856e-5, 6.400e-1
0.864, 1.166e-4, 8.973e-5, 6.500e-1
0.865, 1.163e-4, 9.089e-5, 6.600e-1
0.866, 1.160e-4, 9.205e-5, 6.700e-1
0.867, 1.155e-4, 9.321e-5, 6.800e-1
0.868, 1.151e-4, 9.436e-5, 6.900e-1
0.869, 1.149e-4, 9.551e-5, 7.000e-1
0.870, 1.141e-4, 9.665e-5, 7.100e-1
0.871, 1.140e-4, 9.779e-5, 7.200e-1
0.872, 1.134e-4, 9.892e-5, 7.300e-1
0.873, 1.133e-4, 1.001e-4, 7.400e-1
0.874, 1.124e-4, 1.012e-4, 7.500e-1
0.875, 1.122e-4, 1.023e-4, 7.600e-1
0.876, 1.118e-4, 1.034e-4, 7.700e-1
0.877, 1.113e-4, 1.045e-4, 7.800e-1
0.878, 1.107e-4, 1.056e-4, 7.900e-1
0.879, 1.103e-4, 1.067e-4, 8.000e-1
0.880, 1.097e-4, 1.078e-4, 8.100e-1
0.881, 1.092e-4, 1.089e-4, 8.200e-1
0.882, 1.085e-4, 1.100e-4, 8.300e-1
0.883, 1.087e-4, 1.111e-4, 8.400e-1
0.884, 1.079e-4, 1.122e-4, 8.500e-1
0.885, 1.077e-4, 1.133e-4, 8.600e-1
0.886, 1.070e-4, 1.143e-4, 8.700e-1
0.887, 1.069e-4, 1.154e-4, 8.800e-1
0.888, 1.063e-4, 1.165e-4, 8.900e-1
0.889, 1.063e-4, 1.175e-4, 9.000e-1
0.890, 1.056e-4, 1.186e-4, 9.100e-1
0.891, 1.054e-4, 1.196e-4, 9.200e-1
0.892, 1.049e-4, 1.207e-4, 9.300e-1
0.893, 1.044e-4, 1.217e-4, 9.400e-1
0.894, 1.041e-4, 1.228e-4, 9.500e-1
0.895, 1.035e-4, 1.238e-4, 9.600e-1
0.896, 1.031e-4, 1.248e-4, 9.700e-1
0.897, 1.026e-4, 1.259e-4, 9.800e-1
0.898, 1.020e-4, 1.269e-4, 9.900e-1
0.899, 1.019e-4, 1.279e-4, 1.000e+0
0.900, 1.011e-4, 1.289e-4, 1.010e+0
0.901, 1.010e-4, 1.299e-4, 1.020e+0
0.902, 1.004e-4, 1.309e-4, 1.030e+0
0.903, 9.974e-5, 1.319e-4, 1.040e+0
0.904, 9.911e-5, 1.329e-4, 1.050e+0
0.905, 9.955e-5, 1.339e-4, 1.060e+0
0.906, 9.923e-5, 1.349e-4, 1.070e+0
0.907, 9.888e-5, 1.359e-4, 1.080e+0
0.908, 9.694e-5, 1.369e-4, 1.090e+0
0.909, 9.619e-5, 1.378e-4, 1.100e+0
0.910, 9.566e-5, 1.388e-4, 1.110e+0
0.911, 9.550e-5, 1.397e-4, 1.120e+0
0.912, 9.461e-5, 1.407e-4, 1.130e+0
0.913, 9.455e-5, 1.416e-4, 1.140e+0
0.914, 9.451e-5, 1.426e-4, 1.150e+0
0.915, 9.389e-5, 1.435e-4, 1.160e+0
0.916, 9.339e-5, 1.444e-4, 1.170e+0
0.917, 9.345e-5, 1.454e-4, 1.180e+0
0.918, 9.347e-5, 1.463e-4, 1.190e+0
0.919, 9.334e-5, 1.472e-4, 1.200e+0
0.920, 9.235e-5, 1.482e-4, 1.210e+0
0.921, 9.306e-5, 1.491e-4, 1.220e+0
