Segment 1:

Segment 2:
Ep = 0.399V
ip = -3.106e-5A
Ah = -3.175e-5C

Segment 3:

Segment 4:
Ep = 0.402V
ip = -3.193e-5A
Ah = -3.256e-5C

Segment 5:

Segment 6:
Ep = 0.402V
ip = -3.207e-5A
Ah = -3.237e-5C

Segment 7:

Segment 8:
Ep = 0.402V
ip = -3.146e-5A
Ah = -3.074e-5C

Segment 9:

Segment 10:
Ep = 0.403V
ip = -3.305e-5A
Ah = -3.275e-5C

Potential/V, Current/A, Charge/C, Time/s

0.800, 2.027e-4, 2.027e-6, 1.000e-2
0.801, 1.964e-4, 3.991e-6, 2.000e-2
0.802, 1.904e-4, 5.895e-6, 3.000e-2
0.803, 1.835e-4, 7.730e-6, 4.000e-2
0.804, 1.774e-4, 9.504e-6, 5.000e-2
0.805, 1.706e-4, 1.121e-5, 6.000e-2
0.806, 1.651e-4, 1.286e-5, 7.000e-2
0.807, 1.597e-4, 1.446e-5, 8.000e-2
0.808, 1.538e-4, 1.600e-5, 9.000e-2
0.809, 1.478e-4, 1.747e-5, 1.000e-1
0.810, 1.428e-4, 1.890e-5, 1.100e-1
0.811, 1.372e-4, 2.027e-5, 1.200e-1
0.812, 1.325e-4, 2.160e-5, 1.300e-1
0.813, 1.281e-4, 2.288e-5, 1.400e-1
0.814, 1.239e-4, 2.412e-5, 1.500e-1
0.815, 1.189e-4, 2.531e-5, 1.600e-1
0.816, 1.151e-4, 2.646e-5, 1.700e-1
0.817, 1.113e-4, 2.757e-5, 1.800e-1
0.818, 1.075e-4, 2.865e-5, 1.900e-1
0.819, 1.040e-4, 2.969e-5, 2.000e-1
0.820, 1.016e-4, 3.070e-5, 2.100e-1
0.821, 9.902e-5, 3.169e-5, 2.200e-1
0.822, 9.629e-5, 3.266e-5, 2.300e-1
0.823, 9.381e-5, 3.359e-5, 2.400e-1
0.824, 9.178e-5, 3.451e-5, 2.500e-1
0.825, 9.010e-5, 3.541e-5, 2.600e-1
0.826, 8.827e-5, 3.630e-5, 2.700e-1
0.827, 8.664e-5, 3.716e-5, 2.800e-1
0.828, 8.545e-5, 3.802e-5, 2.900e-1
0.829, 8.418e-5, 3.886e-5, 3.000e-1
0.830, 8.252e-5, 3.968e-5, 3.100e-1
0.831, 8.087e-5, 4.049e-5, 3.200e-1
0.832, 7.945e-5, 4.129e-5, 3.300e-1
0.833, 7.844e-5, 4.207e-5, 3.400e-1
0.834, 7.774e-5, 4.285e-5, 3.500e-1
0.835, 7.662e-5, 4.361e-5, 3.600e-1
0.836, 7.600e-5, 4.437e-5, 3.700e-1
0.837, 7.521e-5, 4.513e-5, 3.800e-1
0.838, 7.505e-5, 4.588e-5, 3.900e-1
0.839, 7.404e-5, 4.662e-5, 4.000e-1
0.840, 7.342e-5, 4.735e-5, 4.100e-1
0.841, 7.278e-5, 4.808e-5, 4.200e-1
0.842, 7.239e-5, 4.880e-5, 4.300e-1
0.843, 7.174e-5, 4.952e-5, 4.400e-1
0.844, 7.166e-5, 5.024e-5, 4.500e-1
0.845, 7.074e-5, 5.095e-5, 4.600e-1
0.846, 7.075e-5, 5.165e-5, 4.700e-1
0.847, 7.047e-5, 5.236e-5, 4.800e-1
0.848, 7.027e-5, 5.306e-5, 4.900e-1
0.849, 6.970e-5, 5.376e-5, 5.000e-1
0.850, 6.958e-5, 5.445e-5, 5.100e-1
0.851, 6.909e-5, 5.514e-5, 5.200e-1
0.852, 6.919e-5, 5.584e-5, 5.300e-1
0.853, 6.926e-5, 5.653e-5, 5.400e-1
0.854, 6.871e-5, 5.722e-5, 5.500e-1
0.855, 6.826e-5, 5.790e-5, 5.600e-1
0.856, 6.810e-5, 5.858e-5, 5.700e-1
0.857, 6.799e-5, 5.926e-5, 5.800e-1
0.858, 6.812e-5, 5.994e-5, 5.900e-1
