Segment 1:
Ep = 1.460V
ip = 3.298e-4A
Ah = 2.874e-4C

Segment 2:
Ep = 0.437V
ip = -4.481e-5A
Ah = -3.688e-5C

Segment 3:
Ep = 0.524V
ip = 1.180e-3A
Ah = 1.339e-3C

Segment 4:
Ep = 0.436V
ip = -4.215e-5A
Ah = -3.296e-5C

Segment 5:

Segment 6:
Ep = 0.438V
ip = -4.284e-5A
Ah = -3.243e-5C

Segment 7:

Segment 8:
Ep = 0.439V
ip = -4.327e-5A
Ah = -3.200e-5C

Segment 9:
Ep = 0.522V
ip = 1.216e-3A
Ah = 1.296e-3C

Segment 10:
Ep = 0.441V
ip = -4.318e-5A
Ah = -3.129e-5C

Potential/V, Current/A, Charge/C, Time/s

0.800, 1.899e-4, 1.899e-6, 1.000e-2
0.801, 1.898e-4, 3.797e-6, 2.000e-2
0.802, 1.896e-4, 5.693e-6, 3.000e-2
0.803, 1.896e-4, 7.589e-6, 4.000e-2
0.804, 1.886e-4, 9.475e-6, 5.000e-2
0.805, 1.888e-4, 1.136e-5, 6.000e-2
0.806, 1.881e-4, 1.324e-5, 7.000e-2
0.807, 1.875e-4, 1.512e-5, 8.000e-2
0.808, 1.873e-4, 1.699e-5, 9.000e-2
0.809, 1.872e-4, 1.886e-5, 1.000e-1
0.810, 1.864e-4, 2.073e-5, 1.100e-1
0.811, 1.868e-4, 2.260e-5, 1.200e-1
0.812, 1.865e-4, 2.446e-5, 1.300e-1
0.813, 1.859e-4, 2.632e-5, 1.400e-1
0.814, 1.851e-4, 2.817e-5, 1.500e-1
0.815, 1.847e-4, 3.002e-5, 1.600e-1
0.816, 1.838e-4, 3.186e-5, 1.700e-1
0.817, 1.836e-4, 3.369e-5, 1.800e-1
0.818, 1.831e-4, 3.552e-5, 1.900e-1
0.819, 1.832e-4, 3.735e-5, 2.000e-1
0.820, 1.824e-4, 3.918e-5, 2.100e-1
0.821, 1.825e-4, 4.100e-5, 2.200e-1
0.822, 1.815e-4, 4.282e-5, 2.300e-1
0.823, 1.811e-4, 4.463e-5, 2.400e-1
0.824, 1.806e-4, 4.644e-5, 2.500e-1
0.825, 1.803e-4, 4.824e-5, 2.600e-1
0.826, 1.796e-4, 5.004e-5, 2.700e-1
0.827, 1.797e-4, 5.183e-5, 2.800e-1
0.828, 1.793e-4, 5.362e-5, 2.900e-1
0.829, 1.786e-4, 5.541e-5, 3.000e-1
0.830, 1.780e-4, 5.719e-5, 3.100e-1
0.831, 1.783e-4, 5.897e-5, 3.200e-1
0.832, 1.775e-4, 6.075e-5, 3.300e-1
0.833, 1.770e-4, 6.252e-5, 3.400e-1
0.834, 1.768e-4, 6.429e-5, 3.500e-1
0.835, 1.770e-4, 6.606e-5, 3.600e-1
0.836, 1.759e-4, 6.782e-5, 3.700e-1
0.837, 1.757e-4, 6.957e-5, 3.800e-1
0.838, 1.749e-4, 7.132e-5, 3.900e-1
0.839, 1.746e-4, 7.307e-5, 4.000e-1
0.840, 1.741e-4, 7.481e-5, 4.100e-1
0.841, 1.739e-4, 7.655e-5, 4.200e-1
0.842, 1.732e-4, 7.828e-5, 4.300e-1
0.843, 1.729e-4, 8.001e-5, 4.400e-1
0.844, 1.726e-4, 8.173e-5, 4.500e-1
0.845, 1.727e-4, 8.346e-5, 4.600e-1
0.846, 1.724e-4, 8.519e-5, 4.700e-1
0.847, 1.716e-4, 8.690e-5, 4.800e-1
0.848, 1.709e-4, 8.861e-5, 4.900e-1
0.849, 1.704e-4, 9.031e-5, 5.000e-1
0.850, 1.698e-4, 9.201e-5, 5.100e-1
0.851, 1.693e-4, 9.370e-5, 5.200e-1
0.852, 1.691e-4, 9.540e-5, 5.300e-1
0.853, 1.687e-4, 9.708e-5, 5.400e-1
0.854, 1.682e-4, 9.876e-5, 5.500e-1
0.855, 1.682e-4, 1.004e-4, 5.600e-1
0.856, 1.675e-4, 1.021e-4, 5.700e-1
0.857, 1.675e-4, 1.038e-4, 5.800e-1
0.858, 1.668e-4, 1.055e-4, 5.900e-1
0.859, 1.667e-4, 1.071e-4, 6.000e-1
0.860, 1.662e-4, 1.088e-4, 6.100e-1
0.861, 1.661e-4, 1.105e-4, 6.200e-1
0.862, 1.652e-4, 1.121e-4, 6.300e-1
0.863, 1.653e-4, 1.138e-4, 6.400e-1
0.864, 1.649e-4, 1.154e-4, 6.500e-1
0.865, 1.644e-4, 1.171e-4, 6.600e-1
0.866, 1.638e-4, 1.187e-4, 6.700e-1
0.867, 1.636e-4, 1.203e-4, 6.800e-1
0.868, 1.633e-4, 1.220e-4, 6.900e-1
0.869, 1.632e-4, 1.236e-4, 7.000e-1
0.870, 1.628e-4, 1.252e-4, 7.100e-1
0.871, 1.625e-4, 1.268e-4, 7.200e-1
0.872, 1.622e-4, 1.285e-4, 7.300e-1
0.873, 1.620e-4, 1.301e-4, 7.400e-1
0.874, 1.616e-4, 1.317e-4, 7.500e-1
0.875, 1.616e-4, 1.333e-4, 7.600e-1
0.876, 1.607e-4, 1.349e-4, 7.700e-1
