Segment 1:
Ep = 1.442V
ip = 1.850e-4A
Ah = 1.477e-4C

Segment 2:
Ep = 0.434V
ip = -4.543e-5A
Ah = -3.447e-5C

Segment 3:

Segment 4:
Ep = 0.427V
ip = -4.393e-5A
Ah = -3.635e-5C

Segment 5:

Segment 6:
Ep = 0.431V
ip = -4.393e-5A
Ah = -3.366e-5C

Segment 7:

Segment 8:
Ep = 0.432V
ip = -4.266e-5A
Ah = -3.140e-5C

Segment 9:

Segment 10:
Ep = 0.427V
ip = -4.287e-5A
Ah = -3.440e-5C

Potential/V, Current/A, Charge/C, Time/s

0.800, 3.166e-4, 3.166e-6, 1.000e-2
0.801, 3.166e-4, 6.332e-6, 2.000e-2
0.802, 3.161e-4, 9.493e-6, 3.000e-2
0.803, 3.148e-4, 1.264e-5, 4.000e-2
0.804, 3.144e-4, 1.579e-5, 5.000e-2
0.805, 3.136e-4, 1.892e-5, 6.000e-2
0.806, 3.123e-4, 2.204e-5, 7.000e-2
0.807, 3.116e-4, 2.516e-5, 8.000e-2
0.808, 3.105e-4, 2.827e-5, 9.000e-2
0.809, 3.091e-4, 3.136e-5, 1.000e-1
0.810, 3.085e-4, 3.444e-5, 1.100e-1
0.811, 3.075e-4, 3.752e-5, 1.200e-1
0.812, 3.065e-4, 4.058e-5, 1.300e-1
0.813, 3.055e-4, 4.364e-5, 1.400e-1
0.814, 3.044e-4, 4.668e-5, 1.500e-1
0.815, 3.035e-4, 4.972e-5, 1.600e-1
0.816, 3.020e-4, 5.274e-5, 1.700e-1
0.817, 3.008e-4, 5.574e-5, 1.800e-1
0.818, 2.991e-4, 5.874e-5, 1.900e-1
0.819, 2.981e-4, 6.172e-5, 2.000e-1
0.820, 2.971e-4, 6.469e-5, 2.100e-1
0.821, 2.961e-4, 6.765e-5, 2.200e-1
0.822, 2.946e-4, 7.060e-5, 2.300e-1
0.823, 2.941e-4, 7.354e-5, 2.400e-1
0.824, 2.927e-4, 7.646e-5, 2.500e-1
0.825, 2.915e-4, 7.938e-5, 2.600e-1
0.826, 2.903e-4, 8.228e-5, 2.700e-1
0.827, 2.894e-4, 8.518e-5, 2.800e-1
0.828, 2.877e-4, 8.805e-5, 2.900e-1
0.829, 2.864e-4, 9.092e-5, 3.000e-1
0.830, 2.858e-4, 9.377e-5, 3.100e-1
0.831, 2.844e-4, 9.662e-5, 3.200e-1
0.832, 2.826e-4, 9.945e-5, 3.300e-1
0.833, 2.820e-4, 1.023e-4, 3.400e-1
0.834, 2.802e-4, 1.051e-4, 3.500e-1
0.835, 2.789e-4, 1.079e-4, 3.600e-1
0.836, 2.772e-4, 1.106e-4, 3.700e-1
0.837, 2.766e-4, 1.134e-4, 3.800e-1
0.838, 2.752e-4, 1.161e-4, 3.900e-1
0.839, 2.740e-4, 1.189e-4, 4.000e-1
0.840, 2.732e-4, 1.216e-4, 4.100e-1
0.841, 2.718e-4, 1.243e-4, 4.200e-1
0.842, 2.707e-4, 1.270e-4, 4.300e-1
0.843, 2.697e-4, 1.297e-4, 4.400e-1
0.844, 2.680e-4, 1.324e-4, 4.500e-1
0.845, 2.670e-4, 1.351e-4, 4.600e-1
0.846, 2.660e-4, 1.378e-4, 4.700e-1
0.847, 2.657e-4, 1.404e-4, 4.800e-1
0.848, 2.642e-4, 1.431e-4, 4.900e-1
0.849, 2.628e-4, 1.457e-4, 5.000e-1
0.850, 2.617e-4, 1.483e-4, 5.100e-1
0.851, 2.603e-4, 1.509e-4, 5.200e-1
0.852, 2.589e-4, 1.535e-4, 5.300e-1
0.853, 2.584e-4, 1.561e-4, 5.400e-1
0.854, 2.569e-4, 1.586e-4, 5.500e-1
0.855, 2.559e-4, 1.612e-4, 5.600e-1
0.856, 2.546e-4, 1.637e-4, 5.700e-1
0.857, 2.538e-4, 1.663e-4, 5.800e-1
0.858, 2.525e-4, 1.688e-4, 5.900e-1
0.859, 2.516e-4, 1.713e-4, 6.000e-1
0.860, 2.505e-4, 1.738e-4, 6.100e-1
0.861, 2.494e-4, 1.763e-4, 6.200e-1
0.862, 2.481e-4, 1.788e-4, 6.300e-1
0.863, 2.472e-4, 1.813e-4, 6.400e-1
0.864, 2.462e-4, 1.837e-4, 6.500e-1
0.865, 2.456e-4, 1.862e-4, 6.600e-1
0.866, 2.444e-4, 1.886e-4, 6.700e-1
0.867, 2.434e-4, 1.911e-4, 6.800e-1
0.868, 2.421e-4, 1.935e-4, 6.900e-1
0.869, 2.410e-4, 1.959e-4, 7.000e-1
0.870, 2.399e-4, 1.983e-4, 7.100e-1
0.871, 2.394e-4, 2.007e-4, 7.200e-1
0.872, 2.381e-4, 2.031e-4, 7.300e-1
0.873, 2.369e-4, 2.054e-4, 7.400e-1
0.874, 2.353e-4, 2.078e-4, 7.500e-1
0.875, 2.349e-4, 2.101e-4, 7.600e-1
0.876, 2.341e-4, 2.125e-4, 7.700e-1
0.877, 2.332e-4, 2.148e-4, 7.800e-1
0.878, 2.321e-4, 2.171e-4, 7.900e-1
0.879, 2.317e-4, 2.195e-4, 8.000e-1
0.880, 2.302e-4, 2.218e-4, 8.100e-1
0.881, 2.296e-4, 2.241e-4, 8.200e-1
0.882, 2.286e-4, 2.263e-4, 8.300e-1
0.883, 2.278e-4, 2.286e-4, 8.400e-1
0.884, 2.266e-4, 2.309e-4, 8.500e-1
0.885, 2.262e-4, 2.332e-4, 8.600e-1
0.886, 2.253e-4, 2.354e-4, 8.700e-1
0.887, 2.242e-4, 2.376e-4, 8.800e-1
0.888, 2.231e-4, 2.399e-4, 8.900e-1
0.889, 2.228e-4, 2.421e-4, 9.000e-1
0.890, 2.216e-4, 2.443e-4, 9.100e-1
0.891, 2.207e-4, 2.465e-4, 9.200e-1
0.892, 2.198e-4, 2.487e-4, 9.300e-1
0.893, 2.191e-4, 2.509e-4, 9.400e-1
0.894, 2.177e-4, 2.531e-4, 9.500e-1
0.895, 2.174e-4, 2.553e-4, 9.600e-1
0.896, 2.162e-4, 2.574e-4, 9.700e-1
0.897, 2.155e-4, 2.596e-4, 9.800e-1
0.898, 2.147e-4, 2.617e-4, 9.900e-1
0.899, 2.143e-4, 2.639e-4, 1.000e+0
0.900, 2.135e-4, 2.660e-4, 1.010e+0
0.901, 2.128e-4, 2.681e-4, 1.020e+0
0.902, 2.120e-4, 2.703e-4, 1.030e+0
0.903, 2.113e-4, 2.724e-4, 1.040e+0
0.904, 2.105e-4, 2.745e-4, 1.050e+0
0.905, 2.101e-4, 2.766e-4, 1.060e+0
0.906, 2.095e-4, 2.787e-4, 1.070e+0
