Segment 1:
Ep = 1.443V
ip = 1.255e-4A
Ah = 1.127e-4C

Segment 2:
Ep = 0.427V
ip = -4.408e-5A
Ah = -3.444e-5C

Segment 3:

Segment 4:
Ep = 0.424V
ip = -4.312e-5A
Ah = -3.477e-5C

Segment 5:

Segment 6:
Ep = 0.429V
ip = -4.325e-5A
Ah = -3.191e-5C

Segment 7:
Ep = 0.516V
ip = 1.131e-4A
Ah = 1.084e-3C

Segment 8:
Ep = 0.425V
ip = -4.269e-5A
Ah = -3.335e-5C

Segment 9:

Segment 10:
Ep = 0.426V
ip = -4.401e-5A
Ah = -3.466e-5C

Potential/V, Current/A, Charge/C, Time/s

0.800, 2.085e-4, 2.085e-6, 1.000e-2
0.801, 2.086e-4, 4.171e-6, 2.000e-2
0.802, 2.069e-4, 6.240e-6, 3.000e-2
0.803, 2.063e-4, 8.303e-6, 4.000e-2
0.804, 2.057e-4, 1.036e-5, 5.000e-2
0.805, 2.051e-4, 1.241e-5, 6.000e-2
0.806, 2.044e-4, 1.445e-5, 7.000e-2
0.807, 2.036e-4, 1.649e-5, 8.000e-2
0.808, 2.028e-4, 1.852e-5, 9.000e-2
0.809, 2.020e-4, 2.054e-5, 1.000e-1
0.810, 2.008e-4, 2.255e-5, 1.100e-1
0.811, 2.002e-4, 2.455e-5, 1.200e-1
0.812, 1.992e-4, 2.654e-5, 1.300e-1
0.813, 1.984e-4, 2.852e-5, 1.400e-1
0.814, 1.973e-4, 3.050e-5, 1.500e-1
0.815, 1.963e-4, 3.246e-5, 1.600e-1
0.816, 1.955e-4, 3.441e-5, 1.700e-1
0.817, 1.946e-4, 3.636e-5, 1.800e-1
0.818, 1.939e-4, 3.830e-5, 1.900e-1
0.819, 1.928e-4, 4.023e-5, 2.000e-1
0.820, 1.919e-4, 4.215e-5, 2.100e-1
0.821, 1.912e-4, 4.406e-5, 2.200e-1
0.822, 1.902e-4, 4.596e-5, 2.300e-1
0.823, 1.895e-4, 4.786e-5, 2.400e-1
0.824, 1.890e-4, 4.975e-5, 2.500e-1
0.825, 1.880e-4, 5.163e-5, 2.600e-1
0.826, 1.871e-4, 5.350e-5, 2.700e-1
0.827, 1.861e-4, 5.536e-5, 2.800e-1
0.828, 1.855e-4, 5.721e-5, 2.900e-1
0.829, 1.845e-4, 5.906e-5, 3.000e-1
0.830, 1.840e-4, 6.090e-5, 3.100e-1
0.831, 1.829e-4, 6.273e-5, 3.200e-1
0.832, 1.823e-4, 6.455e-5, 3.300e-1
0.833, 1.814e-4, 6.636e-5, 3.400e-1
0.834, 1.807e-4, 6.817e-5, 3.500e-1
0.835, 1.800e-4, 6.997e-5, 3.600e-1
0.836, 1.792e-4, 7.176e-5, 3.700e-1
0.837, 1.788e-4, 7.355e-5, 3.800e-1
0.838, 1.785e-4, 7.534e-5, 3.900e-1
0.839, 1.764e-4, 7.710e-5, 4.000e-1
0.840, 1.759e-4, 7.886e-5, 4.100e-1
0.841, 1.753e-4, 8.061e-5, 4.200e-1
0.842, 1.744e-4, 8.236e-5, 4.300e-1
0.843, 1.737e-4, 8.409e-5, 4.400e-1
0.844, 1.732e-4, 8.582e-5, 4.500e-1
0.845, 1.721e-4, 8.755e-5, 4.600e-1
0.846, 1.714e-4, 8.926e-5, 4.700e-1
0.847, 1.707e-4, 9.097e-5, 4.800e-1
0.848, 1.701e-4, 9.267e-5, 4.900e-1
0.849, 1.690e-4, 9.436e-5, 5.000e-1
0.850, 1.686e-4, 9.604e-5, 5.100e-1
0.851, 1.679e-4, 9.772e-5, 5.200e-1
0.852, 1.673e-4, 9.939e-5, 5.300e-1
0.853, 1.667e-4, 1.011e-4, 5.400e-1
0.854, 1.658e-4, 1.027e-4, 5.500e-1
0.855, 1.655e-4, 1.044e-4, 5.600e-1
0.856, 1.652e-4, 1.060e-4, 5.700e-1
0.857, 1.647e-4, 1.077e-4, 5.800e-1
0.858, 1.641e-4, 1.093e-4, 5.900e-1
0.859, 1.632e-4, 1.109e-4, 6.000e-1
0.860, 1.629e-4, 1.126e-4, 6.100e-1
0.861, 1.624e-4, 1.142e-4, 6.200e-1
0.862, 1.620e-4, 1.158e-4, 6.300e-1
0.863, 1.614e-4, 1.174e-4, 6.400e-1
0.864, 1.608e-4, 1.190e-4, 6.500e-1
0.865, 1.602e-4, 1.206e-4, 6.600e-1
0.866, 1.592e-4, 1.222e-4, 6.700e-1
0.867, 1.591e-4, 1.238e-4, 6.800e-1
0.868, 1.585e-4, 1.254e-4, 6.900e-1
0.869, 1.576e-4, 1.270e-4, 7.000e-1
0.870, 1.572e-4, 1.286e-4, 7.100e-1
0.871, 1.562e-4, 1.301e-4, 7.200e-1
0.872, 1.565e-4, 1.317e-4, 7.300e-1
0.873, 1.559e-4, 1.332e-4, 7.400e-1
0.874, 1.555e-4, 1.348e-4, 7.500e-1
0.875, 1.548e-4, 1.363e-4, 7.600e-1
0.876, 1.543e-4, 1.379e-4, 7.700e-1
0.877, 1.539e-4, 1.394e-4, 7.800e-1
0.878, 1.530e-4, 1.410e-4, 7.900e-1
0.879, 1.523e-4, 1.425e-4, 8.000e-1
0.880, 1.524e-4, 1.440e-4, 8.100e-1
0.881, 1.516e-4, 1.455e-4, 8.200e-1
0.882, 1.513e-4, 1.470e-4, 8.300e-1
0.883, 1.504e-4, 1.485e-4, 8.400e-1
0.884, 1.501e-4, 1.500e-4, 8.500e-1
0.885, 1.496e-4, 1.515e-4, 8.600e-1
0.886, 1.491e-4, 1.530e-4, 8.700e-1
0.887, 1.487e-4, 1.545e-4, 8.800e-1
0.888, 1.482e-4, 1.560e-4, 8.900e-1
0.889, 1.479e-4, 1.575e-4, 9.000e-1
0.890, 1.475e-4, 1.589e-4, 9.100e-1
0.891, 1.467e-4, 1.604e-4, 9.200e-1
0.892, 1.460e-4, 1.619e-4, 9.300e-1
0.893, 1.455e-4, 1.633e-4, 9.400e-1
