Segment 1:

Segment 2:
Ep = 0.427V
ip = -5.185e-5A
Ah = -3.487e-5C

Segment 3:
Ep = 0.523V
ip = 7.539e-4A
Ah = 1.001e-3C

Segment 4:
Ep = 0.439V
ip = -4.589e-5A
Ah = -3.747e-5C

Segment 5:
Ep = 0.525V
ip = 7.402e-4A
Ah = 1.118e-3C

Segment 6:
Ep = 0.443V
ip = -4.953e-5A
Ah = -3.957e-5C

Segment 7:

Segment 8:
Ep = 0.442V
ip = -4.708e-5A
Ah = -3.800e-5C

Segment 9:
Ep = 0.523V
ip = 8.548e-4A
Ah = 1.097e-3C

Potential/V, Current/A, Charge/C, Time/s

0.800, -5.272e-5, -5.272e-7, 1.000e-2
0.801, -5.226e-5, -1.050e-6, 2.000e-2
0.802, -5.188e-5, -1.569e-6, 3.000e-2
0.803, -5.152e-5, -2.084e-6, 4.000e-2
0.804, -5.148e-5, -2.599e-6, 5.000e-2
0.805, -5.124e-5, -3.111e-6, 6.000e-2
0.806, -5.112e-5, -3.622e-6, 7.000e-2
0.807, -5.076e-5, -4.130e-6, 8.000e-2
0.808, -5.060e-5, -4.636e-6, 9.000e-2
0.809, -5.058e-5, -5.142e-6, 1.000e-1
0.810, -5.036e-5, -5.645e-6, 1.100e-1
0.811, -5.021e-5, -6.147e-6, 1.200e-1
0.812, -5.032e-5, -6.651e-6, 1.300e-1
0.813, -4.998e-5, -7.150e-6, 1.400e-1
0.814, -4.998e-5, -7.650e-6, 1.500e-1
0.815, -4.981e-5, -8.148e-6, 1.600e-1
0.816, -4.992e-5, -8.648e-6, 1.700e-1
0.817, -4.958e-5, -9.143e-6, 1.800e-1
0.818, -4.968e-5, -9.640e-6, 1.900e-1
0.819, -4.951e-5, -1.014e-5, 2.000e-1
0.820, -4.948e-5, -1.063e-5, 2.100e-1
0.821, -4.956e-5, -1.113e-5, 2.200e-1
0.822, -4.939e-5, -1.162e-5, 2.300e-1
0.823, -4.924e-5, -1.211e-5, 2.400e-1
0.824, -4.921e-5, -1.260e-5, 2.500e-1
0.825, -4.904e-5, -1.309e-5, 2.600e-1
0.826, -4.919e-5, -1.359e-5, 2.700e-1
0.827, -4.898e-5, -1.408e-5, 2.800e-1
0.828, -4.894e-5, -1.457e-5, 2.900e-1
0.829, -4.864e-5, -1.505e-5, 3.000e-1
0.830, -4.889e-5, -1.554e-5, 3.100e-1
0.831, -4.849e-5, -1.603e-5, 3.200e-1
0.832, -4.883e-5, -1.651e-5, 3.300e-1
0.833, -4.852e-5, -1.700e-5, 3.400e-1
0.834, -4.871e-5, -1.749e-5, 3.500e-1
0.835, -4.820e-5, -1.797e-5, 3.600e-1
0.836, -4.845e-5, -1.845e-5, 3.700e-1
0.837, -4.830e-5, -1.894e-5, 3.800e-1
0.838, -4.845e-5, -1.942e-5, 3.900e-1
0.839, -4.810e-5, -1.990e-5, 4.000e-1
0.840, -4.844e-5, -2.039e-5, 4.100e-1
0.841, -4.787e-5, -2.086e-5, 4.200e-1
0.842, -4.819e-5, -2.135e-5, 4.300e-1
0.843, -4.801e-5, -2.183e-5, 4.400e-1
0.844, -4.822e-5, -2.231e-5, 4.500e-1
0.845, -4.807e-5, -2.279e-5, 4.600e-1
0.846, -4.804e-5, -2.327e-5, 4.700e-1
0.847, -4.771e-5, -2.375e-5, 4.800e-1
0.848, -4.815e-5, -2.423e-5, 4.900e-1
0.849, -4.764e-5, -2.471e-5, 5.000e-1
0.850, -4.803e-5, -2.519e-5, 5.100e-1
0.851, -4.763e-5, -2.566e-5, 5.200e-1
0.852, -4.786e-5, -2.614e-5, 5.300e-1
0.853, -4.773e-5, -2.662e-5, 5.400e-1
0.854, -4.772e-5, -2.709e-5, 5.500e-1
0.855, -4.734e-5, -2.757e-5, 5.600e-1
0.856, -4.778e-5, -2.805e-5, 5.700e-1
0.857, -4.744e-5, -2.852e-5, 5.800e-1
0.858, -4.761e-5, -2.900e-5, 5.900e-1
