Segment 1:

Segment 2:

Segment 3:
Ep = 0.381V
ip = 3.309e-3A
Ah = 3.260e-3C

Segment 4:

Segment 5:
Ep = 0.383V
ip = 3.366e-3A
Ah = 3.320e-3C

Segment 6:

Segment 7:
Ep = 0.386V
ip = 3.348e-3A
Ah = 3.403e-3C

Segment 8:

Segment 9:
Ep = 0.383V
ip = 3.387e-3A
Ah = 3.314e-3C

Ep = 1.060V
ip = 5.472e-6A
Ah = 4.506e-6C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.357e-5, -3.357e-7, 1.000e-2
0.801, -3.286e-5, -6.643e-7, 2.000e-2
0.802, -3.278e-5, -9.922e-7, 3.000e-2
0.803, -3.294e-5, -1.322e-6, 4.000e-2
0.804, -3.271e-5, -1.649e-6, 5.000e-2
0.805, -3.239e-5, -1.973e-6, 6.000e-2
0.806, -3.240e-5, -2.297e-6, 7.000e-2
0.807, -3.215e-5, -2.618e-6, 8.000e-2
0.808, -3.217e-5, -2.940e-6, 9.000e-2
0.809, -3.208e-5, -3.261e-6, 1.000e-1
0.810, -3.203e-5, -3.581e-6, 1.100e-1
0.811, -3.166e-5, -3.897e-6, 1.200e-1
0.812, -3.177e-5, -4.215e-6, 1.300e-1
0.813, -3.172e-5, -4.532e-6, 1.400e-1
0.814, -3.142e-5, -4.846e-6, 1.500e-1
0.815, -3.144e-5, -5.161e-6, 1.600e-1
0.816, -3.142e-5, -5.475e-6, 1.700e-1
0.817, -3.148e-5, -5.790e-6, 1.800e-1
0.818, -3.125e-5, -6.102e-6, 1.900e-1
0.819, -3.108e-5, -6.413e-6, 2.000e-1
0.820, -3.125e-5, -6.726e-6, 2.100e-1
0.821, -3.111e-5, -7.037e-6, 2.200e-1
0.822, -3.102e-5, -7.347e-6, 2.300e-1
0.823, -3.077e-5, -7.655e-6, 2.400e-1
0.824, -3.088e-5, -7.964e-6, 2.500e-1
0.825, -3.090e-5, -8.273e-6, 2.600e-1
0.826, -3.092e-5, -8.582e-6, 2.700e-1
0.827, -3.073e-5, -8.889e-6, 2.800e-1
0.828, -3.077e-5, -9.197e-6, 2.900e-1
0.829, -3.047e-5, -9.501e-6, 3.000e-1
0.830, -3.073e-5, -9.809e-6, 3.100e-1
0.831, -3.031e-5, -1.011e-5, 3.200e-1
0.832, -3.028e-5, -1.041e-5, 3.300e-1
0.833, -3.040e-5, -1.072e-5, 3.400e-1
0.834, -3.042e-5, -1.102e-5, 3.500e-1
0.835, -3.018e-5, -1.132e-5, 3.600e-1
0.836, -3.037e-5, -1.163e-5, 3.700e-1
0.837, -3.010e-5, -1.193e-5, 3.800e-1
0.838, -3.020e-5, -1.223e-5, 3.900e-1
0.839, -3.013e-5, -1.253e-5, 4.000e-1
0.840, -3.012e-5, -1.283e-5, 4.100e-1
0.841, -2.991e-5, -1.313e-5, 4.200e-1
0.842, -3.005e-5, -1.343e-5, 4.300e-1
0.843, -2.972e-5, -1.373e-5, 4.400e-1
0.844, -2.995e-5, -1.403e-5, 4.500e-1
0.845, -2.966e-5, -1.433e-5, 4.600e-1
0.846, -2.985e-5, -1.463e-5, 4.700e-1
0.847, -2.960e-5, -1.492e-5, 4.800e-1
0.848, -2.961e-5, -1.522e-5, 4.900e-1
0.849, -2.967e-5, -1.551e-5, 5.000e-1
0.850, -2.949e-5, -1.581e-5, 5.100e-1
0.851, -2.933e-5, -1.610e-5, 5.200e-1
0.852, -2.943e-5, -1.640e-5, 5.300e-1
0.853, -2.937e-5, -1.669e-5, 5.400e-1
0.854, -2.913e-5, -1.698e-5, 5.500e-1
0.855, -2.914e-5, -1.727e-5, 5.600e-1
0.856, -2.926e-5, -1.757e-5, 5.700e-1
0.857, -2.902e-5, -1.786e-5, 5.800e-1
0.858, -2.901e-5, -1.815e-5, 5.900e-1
0.859, -2.908e-5, -1.844e-5, 6.000e-1
0.860, -2.893e-5, -1.873e-5, 6.100e-1
0.861, -2.893e-5, -1.902e-5, 6.200e-1
0.862, -2.896e-5, -1.930e-5, 6.300e-1
0.863, -2.889e-5, -1.959e-5, 6.400e-1
0.864, -2.880e-5, -1.988e-5, 6.500e-1
0.865, -2.883e-5, -2.017e-5, 6.600e-1
0.866, -2.869e-5, -2.046e-5, 6.700e-1
0.867, -2.854e-5, -2.074e-5, 6.800e-1
0.868, -2.882e-5, -2.103e-5, 6.900e-1
0.869, -2.860e-5, -2.132e-5, 7.000e-1
0.870, -2.839e-5, -2.160e-5, 7.100e-1
0.871, -2.822e-5, -2.188e-5, 7.200e-1
0.872, -2.828e-5, -2.217e-5, 7.300e-1
0.873, -2.832e-5, -2.245e-5, 7.400e-1
0.874, -2.834e-5, -2.273e-5, 7.500e-1
0.875, -2.822e-5, -2.301e-5, 7.600e-1
0.876, -2.815e-5, -2.330e-5, 7.700e-1
0.877, -2.814e-5, -2.358e-5, 7.800e-1
0.878, -2.799e-5, -2.386e-5, 7.900e-1
0.879, -2.813e-5, -2.414e-5, 8.000e-1
0.880, -2.802e-5, -2.442e-5, 8.100e-1
0.881, -2.770e-5, -2.470e-5, 8.200e-1
0.882, -2.814e-5, -2.498e-5, 8.300e-1
0.883, -2.772e-5, -2.525e-5, 8.400e-1
0.884, -2.794e-5, -2.553e-5, 8.500e-1
0.885, -2.754e-5, -2.581e-5, 8.600e-1
0.886, -2.766e-5, -2.609e-5, 8.700e-1
0.887, -2.774e-5, -2.636e-5, 8.800e-1
0.888, -2.749e-5, -2.664e-5, 8.900e-1
0.889, -2.754e-5, -2.691e-5, 9.000e-1
0.890, -2.756e-5, -2.719e-5, 9.100e-1
0.891, -2.734e-5, -2.746e-5, 9.200e-1
0.892, -2.742e-5, -2.774e-5, 9.300e-1
0.893, -2.711e-5, -2.801e-5, 9.400e-1
0.894, -2.726e-5, -2.828e-5, 9.500e-1
0.895, -2.719e-5, -2.855e-5, 9.600e-1
0.896, -2.730e-5, -2.883e-5, 9.700e-1
0.897, -2.708e-5, -2.910e-5, 9.800e-1
0.898, -2.711e-5, -2.937e-5, 9.900e-1
0.899, -2.697e-5, -2.964e-5, 1.000e+0
0.900, -2.653e-5, -2.990e-5, 1.010e+0
0.901, -2.704e-5, -3.017e-5, 1.020e+0
0.902, -2.681e-5, -3.044e-5, 1.030e+0
0.903, -2.680e-5, -3.071e-5, 1.040e+0
0.904, -2.683e-5, -3.098e-5, 1.050e+0
0.905, -2.686e-5, -3.125e-5, 1.060e+0
0.906, -2.668e-5, -3.151e-5, 1.070e+0
0.907, -2.655e-5, -3.178e-5, 1.080e+0
0.908, -2.659e-5, -3.204e-5, 1.090e+0
0.909, -2.666e-5, -3.231e-5, 1.100e+0
0.910, -2.666e-5, -3.258e-5, 1.110e+0
0.911, -2.677e-5, -3.284e-5, 1.120e+0
0.912, -2.653e-5, -3.311e-5, 1.130e+0
0.913, -2.607e-5, -3.337e-5, 1.140e+0
0.914, -2.644e-5, -3.363e-5, 1.150e+0
0.915, -2.614e-5, -3.390e-5, 1.160e+0
0.916, -2.630e-5, -3.416e-5, 1.170e+0
0.917, -2.607e-5, -3.442e-5, 1.180e+0
0.918, -2.628e-5, -3.468e-5, 1.190e+0
0.919, -2.604e-5, -3.494e-5, 1.200e+0
0.920, -2.614e-5, -3.520e-5, 1.210e+0
0.921, -2.586e-5, -3.546e-5, 1.220e+0
0.922, -2.585e-5, -3.572e-5, 1.230e+0
0.923, -2.585e-5, -3.598e-5, 1.240e+0
0.924, -2.583e-5, -3.624e-5, 1.250e+0
0.925, -2.581e-5, -3.650e-5, 1.260e+0
