Segment 1:

Segment 2:

Segment 3:
Ep = 0.359V
ip = 3.165e-3A
Ah = 2.898e-3C

Segment 4:

Segment 5:
Ep = 0.361V
ip = 3.206e-3A
Ah = 2.947e-3C

Ep = 0.975V
ip = 7.590e-6A
Ah = 4.137e-6C

Segment 6:

Segment 7:
Ep = 0.362V
ip = 3.195e-3A
Ah = 2.974e-3C

Segment 8:

Segment 9:
Ep = 0.364V
ip = 3.194e-3A
Ah = 3.049e-3C

Ep = 0.945V
ip = 2.707e-5A
Ah = 3.317e-6C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.331e-5, -3.331e-7, 1.000e-2
0.801, -3.266e-5, -6.597e-7, 2.000e-2
0.802, -3.267e-5, -9.865e-7, 3.000e-2
0.803, -3.244e-5, -1.311e-6, 4.000e-2
0.804, -3.248e-5, -1.636e-6, 5.000e-2
0.805, -3.210e-5, -1.957e-6, 6.000e-2
0.806, -3.216e-5, -2.278e-6, 7.000e-2
0.807, -3.193e-5, -2.598e-6, 8.000e-2
0.808, -3.187e-5, -2.916e-6, 9.000e-2
0.809, -3.176e-5, -3.234e-6, 1.000e-1
0.810, -3.171e-5, -3.551e-6, 1.100e-1
0.811, -3.168e-5, -3.868e-6, 1.200e-1
0.812, -3.150e-5, -4.183e-6, 1.300e-1
0.813, -3.138e-5, -4.497e-6, 1.400e-1
0.814, -3.138e-5, -4.810e-6, 1.500e-1
0.815, -3.121e-5, -5.122e-6, 1.600e-1
0.816, -3.152e-5, -5.438e-6, 1.700e-1
0.817, -3.094e-5, -5.747e-6, 1.800e-1
0.818, -3.129e-5, -6.060e-6, 1.900e-1
0.819, -3.095e-5, -6.369e-6, 2.000e-1
0.820, -3.089e-5, -6.678e-6, 2.100e-1
0.821, -3.069e-5, -6.985e-6, 2.200e-1
0.822, -3.086e-5, -7.294e-6, 2.300e-1
0.823, -3.086e-5, -7.602e-6, 2.400e-1
0.824, -3.079e-5, -7.910e-6, 2.500e-1
0.825, -3.058e-5, -8.216e-6, 2.600e-1
0.826, -3.057e-5, -8.522e-6, 2.700e-1
0.827, -3.056e-5, -8.827e-6, 2.800e-1
0.828, -3.053e-5, -9.133e-6, 2.900e-1
0.829, -3.039e-5, -9.437e-6, 3.000e-1
0.830, -3.044e-5, -9.741e-6, 3.100e-1
0.831, -3.019e-5, -1.004e-5, 3.200e-1
0.832, -3.047e-5, -1.035e-5, 3.300e-1
0.833, -3.014e-5, -1.065e-5, 3.400e-1
0.834, -3.046e-5, -1.095e-5, 3.500e-1
0.835, -3.006e-5, -1.125e-5, 3.600e-1
0.836, -3.023e-5, -1.156e-5, 3.700e-1
0.837, -3.006e-5, -1.186e-5, 3.800e-1
0.838, -3.022e-5, -1.216e-5, 3.900e-1
0.839, -2.995e-5, -1.246e-5, 4.000e-1
0.840, -3.017e-5, -1.276e-5, 4.100e-1
0.841, -2.965e-5, -1.306e-5, 4.200e-1
0.842, -2.982e-5, -1.336e-5, 4.300e-1
0.843, -2.985e-5, -1.365e-5, 4.400e-1
0.844, -2.972e-5, -1.395e-5, 4.500e-1
0.845, -2.982e-5, -1.425e-5, 4.600e-1
0.846, -2.964e-5, -1.455e-5, 4.700e-1
0.847, -2.951e-5, -1.484e-5, 4.800e-1
0.848, -2.959e-5, -1.514e-5, 4.900e-1
0.849, -2.907e-5, -1.543e-5, 5.000e-1
0.850, -2.967e-5, -1.572e-5, 5.100e-1
0.851, -2.949e-5, -1.602e-5, 5.200e-1
0.852, -2.928e-5, -1.631e-5, 5.300e-1
0.853, -2.925e-5, -1.660e-5, 5.400e-1
0.854, -2.944e-5, -1.690e-5, 5.500e-1
0.855, -2.899e-5, -1.719e-5, 5.600e-1
0.856, -2.926e-5, -1.748e-5, 5.700e-1
0.857, -2.937e-5, -1.777e-5, 5.800e-1
0.858, -2.910e-5, -1.807e-5, 5.900e-1
