Segment 1:

Segment 2:
Ep = 0.361V
ip = -6.007e-5A
Ah = -4.593e-5C

Segment 3:
Ep = 0.420V
ip = 2.463e-3A
Ah = 2.785e-3C

Segment 4:
Ep = 0.379V
ip = -4.874e-5A
Ah = -4.097e-5C

Segment 5:
Ep = 0.420V
ip = 2.480e-3A
Ah = 2.895e-3C

Segment 6:
Ep = 0.376V
ip = -4.843e-5A
Ah = -4.226e-5C

Segment 7:
Ep = 0.423V
ip = 2.402e-3A
Ah = 2.980e-3C

Segment 8:
Ep = 0.376V
ip = -4.783e-5A
Ah = -4.107e-5C

Segment 9:
Ep = 0.416V
ip = 2.583e-3A
Ah = 2.848e-3C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.984e-5, -3.984e-7, 1.000e-2
0.801, -4.001e-5, -7.985e-7, 2.000e-2
0.802, -3.941e-5, -1.193e-6, 3.000e-2
0.803, -3.954e-5, -1.588e-6, 4.000e-2
0.804, -3.900e-5, -1.978e-6, 5.000e-2
0.805, -3.917e-5, -2.370e-6, 6.000e-2
0.806, -3.859e-5, -2.756e-6, 7.000e-2
0.807, -3.910e-5, -3.147e-6, 8.000e-2
0.808, -3.863e-5, -3.533e-6, 9.000e-2
0.809, -3.876e-5, -3.921e-6, 1.000e-1
0.810, -3.836e-5, -4.304e-6, 1.100e-1
0.811, -3.863e-5, -4.691e-6, 1.200e-1
0.812, -3.806e-5, -5.071e-6, 1.300e-1
0.813, -3.872e-5, -5.458e-6, 1.400e-1
0.814, -3.817e-5, -5.840e-6, 1.500e-1
0.815, -3.835e-5, -6.224e-6, 1.600e-1
0.816, -3.802e-5, -6.604e-6, 1.700e-1
0.817, -3.813e-5, -6.985e-6, 1.800e-1
0.818, -3.784e-5, -7.363e-6, 1.900e-1
0.819, -3.828e-5, -7.746e-6, 2.000e-1
0.820, -3.773e-5, -8.124e-6, 2.100e-1
0.821, -3.800e-5, -8.504e-6, 2.200e-1
0.822, -3.760e-5, -8.879e-6, 2.300e-1
0.823, -3.783e-5, -9.258e-6, 2.400e-1
0.824, -3.740e-5, -9.632e-6, 2.500e-1
0.825, -3.780e-5, -1.001e-5, 2.600e-1
0.826, -3.730e-5, -1.038e-5, 2.700e-1
0.827, -3.765e-5, -1.076e-5, 2.800e-1
0.828, -3.719e-5, -1.113e-5, 2.900e-1
0.829, -3.754e-5, -1.151e-5, 3.000e-1
0.830, -3.711e-5, -1.188e-5, 3.100e-1
0.831, -3.754e-5, -1.225e-5, 3.200e-1
0.832, -3.720e-5, -1.263e-5, 3.300e-1
0.833, -3.740e-5, -1.300e-5, 3.400e-1
0.834, -3.688e-5, -1.337e-5, 3.500e-1
0.835, -3.728e-5, -1.374e-5, 3.600e-1
0.836, -3.692e-5, -1.411e-5, 3.700e-1
0.837, -3.721e-5, -1.448e-5, 3.800e-1
0.838, -3.681e-5, -1.485e-5, 3.900e-1
0.839, -3.705e-5, -1.522e-5, 4.000e-1
0.840, -3.677e-5, -1.559e-5, 4.100e-1
0.841, -3.695e-5, -1.596e-5, 4.200e-1
0.842, -3.650e-5, -1.632e-5, 4.300e-1
0.843, -3.686e-5, -1.669e-5, 4.400e-1
0.844, -3.629e-5, -1.705e-5, 4.500e-1
0.845, -3.677e-5, -1.742e-5, 4.600e-1
0.846, -3.630e-5, -1.778e-5, 4.700e-1
0.847, -3.691e-5, -1.815e-5, 4.800e-1
0.848, -3.632e-5, -1.852e-5, 4.900e-1
0.849, -3.656e-5, -1.888e-5, 5.000e-1
0.850, -3.614e-5, -1.924e-5, 5.100e-1
0.851, -3.644e-5, -1.961e-5, 5.200e-1
0.852, -3.607e-5, -1.997e-5, 5.300e-1
0.853, -3.639e-5, -2.033e-5, 5.400e-1
0.854, -3.592e-5, -2.069e-5, 5.500e-1
0.855, -3.643e-5, -2.106e-5, 5.600e-1
0.856, -3.580e-5, -2.141e-5, 5.700e-1
0.857, -3.626e-5, -2.178e-5, 5.800e-1
