Segment 1:

Segment 2:
Ep = 0.316V
ip = -3.648e-5A
Ah = -3.700e-5C

Segment 3:
Ep = 0.402V
ip = 2.514e-3A
Ah = 2.865e-3C

Segment 4:

Segment 5:
Ep = 0.402V
ip = 2.591e-3A
Ah = 2.924e-3C

Ep = 1.054V
ip = 1.441e-6A
Ah = 2.537e-7C

Segment 6:
Ep = 0.338V
ip = -3.096e-5A
Ah = -3.264e-5C

Segment 7:
Ep = 0.398V
ip = 2.629e-3A
Ah = 2.786e-3C

Segment 8:
Ep = 0.337V
ip = -2.969e-5A
Ah = -3.396e-5C

Segment 9:
Ep = 0.401V
ip = 2.579e-3A
Ah = 2.838e-3C

Ep = 1.283V
ip = 2.419e-5A
Ah = 3.383e-6C

Potential/V, Current/A, Charge/C, Time/s

0.800, -4.412e-5, -4.412e-7, 1.000e-2
0.801, -4.376e-5, -8.788e-7, 2.000e-2
0.802, -4.325e-5, -1.311e-6, 3.000e-2
0.803, -4.333e-5, -1.745e-6, 4.000e-2
0.804, -4.302e-5, -2.175e-6, 5.000e-2
0.805, -4.301e-5, -2.605e-6, 6.000e-2
0.806, -4.258e-5, -3.031e-6, 7.000e-2
0.807, -4.272e-5, -3.458e-6, 8.000e-2
0.808, -4.238e-5, -3.882e-6, 9.000e-2
0.809, -4.256e-5, -4.307e-6, 1.000e-1
0.810, -4.227e-5, -4.730e-6, 1.100e-1
0.811, -4.220e-5, -5.152e-6, 1.200e-1
0.812, -4.188e-5, -5.571e-6, 1.300e-1
0.813, -4.206e-5, -5.991e-6, 1.400e-1
0.814, -4.184e-5, -6.410e-6, 1.500e-1
0.815, -4.186e-5, -6.828e-6, 1.600e-1
0.816, -4.165e-5, -7.245e-6, 1.700e-1
0.817, -4.176e-5, -7.663e-6, 1.800e-1
0.818, -4.139e-5, -8.077e-6, 1.900e-1
0.819, -4.164e-5, -8.493e-6, 2.000e-1
0.820, -4.121e-5, -8.905e-6, 2.100e-1
0.821, -4.144e-5, -9.319e-6, 2.200e-1
0.822, -4.120e-5, -9.732e-6, 2.300e-1
0.823, -4.133e-5, -1.014e-5, 2.400e-1
0.824, -4.096e-5, -1.055e-5, 2.500e-1
0.825, -4.107e-5, -1.097e-5, 2.600e-1
0.826, -4.066e-5, -1.137e-5, 2.700e-1
0.827, -4.090e-5, -1.178e-5, 2.800e-1
0.828, -4.061e-5, -1.219e-5, 2.900e-1
0.829, -4.093e-5, -1.260e-5, 3.000e-1
0.830, -4.056e-5, -1.300e-5, 3.100e-1
0.831, -4.063e-5, -1.341e-5, 3.200e-1
0.832, -4.033e-5, -1.381e-5, 3.300e-1
0.833, -4.068e-5, -1.422e-5, 3.400e-1
0.834, -4.014e-5, -1.462e-5, 3.500e-1
0.835, -4.051e-5, -1.502e-5, 3.600e-1
0.836, -3.991e-5, -1.542e-5, 3.700e-1
0.837, -4.020e-5, -1.583e-5, 3.800e-1
0.838, -4.000e-5, -1.623e-5, 3.900e-1
0.839, -4.014e-5, -1.663e-5, 4.000e-1
0.840, -3.967e-5, -1.702e-5, 4.100e-1
0.841, -3.997e-5, -1.742e-5, 4.200e-1
0.842, -3.966e-5, -1.782e-5, 4.300e-1
0.843, -3.980e-5, -1.822e-5, 4.400e-1
0.844, -3.947e-5, -1.861e-5, 4.500e-1
0.845, -3.980e-5, -1.901e-5, 4.600e-1
0.846, -3.951e-5, -1.941e-5, 4.700e-1
0.847, -3.946e-5, -1.980e-5, 4.800e-1
0.848, -3.928e-5, -2.019e-5, 4.900e-1
0.849, -3.951e-5, -2.059e-5, 5.000e-1
0.850, -3.912e-5, -2.098e-5, 5.100e-1
0.851, -3.936e-5, -2.137e-5, 5.200e-1
0.852, -3.898e-5, -2.176e-5, 5.300e-1
0.853, -3.910e-5, -2.215e-5, 5.400e-1
0.854, -3.902e-5, -2.254e-5, 5.500e-1
0.855, -3.892e-5, -2.293e-5, 5.600e-1
0.856, -3.888e-5, -2.332e-5, 5.700e-1
0.857, -3.881e-5, -2.371e-5, 5.800e-1
0.858, -3.866e-5, -2.410e-5, 5.900e-1
