Segment 1:

Segment 2:
Ep = 0.313V
ip = -4.041e-5A
Ah = -4.377e-5C

Segment 3:
Ep = 0.405V
ip = 2.600e-3A
Ah = 2.990e-3C

Ep = 1.170V
ip = 1.923e-6A
Ah = 1.226e-6C

Segment 4:
Ep = 0.327V
ip = -2.694e-5A
Ah = -3.427e-5C

Segment 5:
Ep = 0.401V
ip = 2.679e-3A
Ah = 2.931e-3C

Ep = 1.022V
ip = 2.938e-5A
Ah = 6.093e-6C

Segment 6:
Ep = 0.329V
ip = -2.640e-5A
Ah = -3.283e-5C

Segment 7:
Ep = 0.397V
ip = 2.705e-3A
Ah = 2.816e-3C

Segment 8:
Ep = 0.328V
ip = -2.707e-5A
Ah = -3.512e-5C

Segment 9:
Ep = 0.400V
ip = 2.676e-3A
Ah = 2.888e-3C

Ep = 1.060V
ip = 5.611e-6A
Ah = 1.224e-6C

Potential/V, Current/A, Charge/C, Time/s

0.800, -4.627e-5, -4.627e-7, 1.000e-2
0.801, -4.532e-5, -9.158e-7, 2.000e-2
0.802, -4.519e-5, -1.368e-6, 3.000e-2
0.803, -4.476e-5, -1.815e-6, 4.000e-2
0.804, -4.501e-5, -2.265e-6, 5.000e-2
0.805, -4.452e-5, -2.711e-6, 6.000e-2
0.806, -4.460e-5, -3.157e-6, 7.000e-2
0.807, -4.402e-5, -3.597e-6, 8.000e-2
0.808, -4.432e-5, -4.040e-6, 9.000e-2
0.809, -4.389e-5, -4.479e-6, 1.000e-1
0.810, -4.405e-5, -4.919e-6, 1.100e-1
0.811, -4.347e-5, -5.354e-6, 1.200e-1
0.812, -4.390e-5, -5.793e-6, 1.300e-1
0.813, -4.357e-5, -6.229e-6, 1.400e-1
0.814, -4.367e-5, -6.665e-6, 1.500e-1
0.815, -4.314e-5, -7.097e-6, 1.600e-1
0.816, -4.338e-5, -7.531e-6, 1.700e-1
0.817, -4.280e-5, -7.959e-6, 1.800e-1
0.818, -4.333e-5, -8.392e-6, 1.900e-1
0.819, -4.273e-5, -8.819e-6, 2.000e-1
0.820, -4.297e-5, -9.249e-6, 2.100e-1
0.821, -4.249e-5, -9.674e-6, 2.200e-1
0.822, -4.290e-5, -1.010e-5, 2.300e-1
0.823, -4.238e-5, -1.053e-5, 2.400e-1
0.824, -4.270e-5, -1.095e-5, 2.500e-1
0.825, -4.229e-5, -1.138e-5, 2.600e-1
0.826, -4.232e-5, -1.180e-5, 2.700e-1
0.827, -4.197e-5, -1.222e-5, 2.800e-1
0.828, -4.219e-5, -1.264e-5, 2.900e-1
0.829, -4.176e-5, -1.306e-5, 3.000e-1
0.830, -4.197e-5, -1.348e-5, 3.100e-1
0.831, -4.174e-5, -1.390e-5, 3.200e-1
0.832, -4.195e-5, -1.432e-5, 3.300e-1
0.833, -4.123e-5, -1.473e-5, 3.400e-1
0.834, -4.168e-5, -1.514e-5, 3.500e-1
0.835, -4.111e-5, -1.556e-5, 3.600e-1
0.836, -4.157e-5, -1.597e-5, 3.700e-1
0.837, -4.081e-5, -1.638e-5, 3.800e-1
0.838, -4.144e-5, -1.679e-5, 3.900e-1
0.839, -4.086e-5, -1.720e-5, 4.000e-1
0.840, -4.109e-5, -1.761e-5, 4.100e-1
0.841, -4.050e-5, -1.802e-5, 4.200e-1
0.842, -4.084e-5, -1.843e-5, 4.300e-1
0.843, -4.045e-5, -1.883e-5, 4.400e-1
0.844, -4.065e-5, -1.924e-5, 4.500e-1
0.845, -4.045e-5, -1.964e-5, 4.600e-1
0.846, -4.069e-5, -2.005e-5, 4.700e-1
0.847, -4.001e-5, -2.045e-5, 4.800e-1
0.848, -4.054e-5, -2.085e-5, 4.900e-1
0.849, -4.006e-5, -2.126e-5, 5.000e-1
0.850, -4.041e-5, -2.166e-5, 5.100e-1
0.851, -3.982e-5, -2.206e-5, 5.200e-1
0.852, -4.014e-5, -2.246e-5, 5.300e-1
0.853, -3.969e-5, -2.286e-5, 5.400e-1
0.854, -4.001e-5, -2.326e-5, 5.500e-1
0.855, -3.942e-5, -2.365e-5, 5.600e-1
0.856, -3.983e-5, -2.405e-5, 5.700e-1
0.857, -3.941e-5, -2.444e-5, 5.800e-1
0.858, -3.953e-5, -2.484e-5, 5.900e-1
0.859, -3.909e-5, -2.523e-5, 6.000e-1
0.860, -3.961e-5, -2.563e-5, 6.100e-1
0.861, -3.897e-5, -2.601e-5, 6.200e-1
0.862, -3.922e-5, -2.641e-5, 6.300e-1
0.863, -3.891e-5, -2.680e-5, 6.400e-1
0.864, -3.917e-5, -2.719e-5, 6.500e-1
0.865, -3.863e-5, -2.757e-5, 6.600e-1
0.866, -3.898e-5, -2.796e-5, 6.700e-1
0.867, -3.840e-5, -2.835e-5, 6.800e-1
0.868, -3.889e-5, -2.874e-5, 6.900e-1
0.869, -3.821e-5, -2.912e-5, 7.000e-1
0.870, -3.891e-5, -2.951e-5, 7.100e-1
0.871, -3.808e-5, -2.989e-5, 7.200e-1
0.872, -3.863e-5, -3.027e-5, 7.300e-1
0.873, -3.802e-5, -3.066e-5, 7.400e-1
0.874, -3.832e-5, -3.104e-5, 7.500e-1
0.875, -3.790e-5, -3.142e-5, 7.600e-1
0.876, -3.819e-5, -3.180e-5, 7.700e-1
0.877, -3.763e-5, -3.218e-5, 7.800e-1
0.878, -3.799e-5, -3.256e-5, 7.900e-1
0.879, -3.754e-5, -3.293e-5, 8.000e-1
0.880, -3.795e-5, -3.331e-5, 8.100e-1
0.881, -3.734e-5, -3.368e-5, 8.200e-1
0.882, -3.764e-5, -3.406e-5, 8.300e-1
0.883, -3.720e-5, -3.443e-5, 8.400e-1
0.884, -3.781e-5, -3.481e-5, 8.500e-1
0.885, -3.704e-5, -3.518e-5, 8.600e-1
0.886, -3.747e-5, -3.556e-5, 8.700e-1
0.887, -3.693e-5, -3.592e-5, 8.800e-1
0.888, -3.725e-5, -3.630e-5, 8.900e-1
0.889, -3.694e-5, -3.667e-5, 9.000e-1
0.890, -3.728e-5, -3.704e-5, 9.100e-1
0.891, -3.664e-5, -3.741e-5, 9.200e-1
0.892, -3.691e-5, -3.777e-5, 9.300e-1
0.893, -3.652e-5, -3.814e-5, 9.400e-1
