Segment 1:

Segment 2:
Ep = 0.344V
ip = -4.119e-5A
Ah = -3.798e-5C

Segment 3:
Ep = 0.399V
ip = 2.379e-3A
Ah = 2.690e-3C

Segment 4:
Ep = 0.366V
ip = -3.141e-5A
Ah = -3.066e-5C

Segment 5:
Ep = 0.398V
ip = 2.378e-3A
Ah = 2.671e-3C

Segment 6:
Ep = 0.369V
ip = -3.156e-5A
Ah = -3.020e-5C

Segment 7:
Ep = 0.404V
ip = 2.274e-3A
Ah = 2.792e-3C

Ep = 1.123V
ip = 2.266e-6A
Ah = 1.262e-6C

Segment 8:
Ep = 0.364V
ip = -3.066e-5A
Ah = -3.079e-5C

Segment 9:
Ep = 0.403V
ip = 2.306e-3A
Ah = 2.765e-3C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.871e-5, -3.871e-7, 1.000e-2
0.801, -3.818e-5, -7.689e-7, 2.000e-2
0.802, -3.829e-5, -1.152e-6, 3.000e-2
0.803, -3.793e-5, -1.531e-6, 4.000e-2
0.804, -3.781e-5, -1.909e-6, 5.000e-2
0.805, -3.763e-5, -2.286e-6, 6.000e-2
0.806, -3.747e-5, -2.660e-6, 7.000e-2
0.807, -3.756e-5, -3.036e-6, 8.000e-2
0.808, -3.740e-5, -3.410e-6, 9.000e-2
0.809, -3.727e-5, -3.783e-6, 1.000e-1
0.810, -3.695e-5, -4.152e-6, 1.100e-1
0.811, -3.695e-5, -4.522e-6, 1.200e-1
0.812, -3.699e-5, -4.892e-6, 1.300e-1
0.813, -3.705e-5, -5.262e-6, 1.400e-1
0.814, -3.673e-5, -5.629e-6, 1.500e-1
0.815, -3.675e-5, -5.997e-6, 1.600e-1
0.816, -3.671e-5, -6.364e-6, 1.700e-1
0.817, -3.659e-5, -6.730e-6, 1.800e-1
0.818, -3.660e-5, -7.096e-6, 1.900e-1
0.819, -3.646e-5, -7.461e-6, 2.000e-1
0.820, -3.664e-5, -7.827e-6, 2.100e-1
0.821, -3.620e-5, -8.189e-6, 2.200e-1
0.822, -3.625e-5, -8.551e-6, 2.300e-1
0.823, -3.623e-5, -8.914e-6, 2.400e-1
0.824, -3.623e-5, -9.276e-6, 2.500e-1
0.825, -3.613e-5, -9.637e-6, 2.600e-1
0.826, -3.610e-5, -9.998e-6, 2.700e-1
0.827, -3.611e-5, -1.036e-5, 2.800e-1
0.828, -3.612e-5, -1.072e-5, 2.900e-1
0.829, -3.592e-5, -1.108e-5, 3.000e-1
0.830, -3.577e-5, -1.144e-5, 3.100e-1
0.831, -3.584e-5, -1.180e-5, 3.200e-1
0.832, -3.575e-5, -1.215e-5, 3.300e-1
0.833, -3.579e-5, -1.251e-5, 3.400e-1
0.834, -3.568e-5, -1.287e-5, 3.500e-1
0.835, -3.548e-5, -1.322e-5, 3.600e-1
0.836, -3.564e-5, -1.358e-5, 3.700e-1
0.837, -3.563e-5, -1.394e-5, 3.800e-1
0.838, -3.562e-5, -1.429e-5, 3.900e-1
0.839, -3.541e-5, -1.465e-5, 4.000e-1
0.840, -3.528e-5, -1.500e-5, 4.100e-1
0.841, -3.543e-5, -1.535e-5, 4.200e-1
0.842, -3.532e-5, -1.571e-5, 4.300e-1
0.843, -3.516e-5, -1.606e-5, 4.400e-1
0.844, -3.526e-5, -1.641e-5, 4.500e-1
0.845, -3.507e-5, -1.676e-5, 4.600e-1
0.846, -3.514e-5, -1.711e-5, 4.700e-1
0.847, -3.499e-5, -1.746e-5, 4.800e-1
0.848, -3.511e-5, -1.781e-5, 4.900e-1
0.849, -3.487e-5, -1.816e-5, 5.000e-1
0.850, -3.488e-5, -1.851e-5, 5.100e-1
0.851, -3.480e-5, -1.886e-5, 5.200e-1
0.852, -3.482e-5, -1.921e-5, 5.300e-1
0.853, -3.464e-5, -1.955e-5, 5.400e-1
0.854, -3.474e-5, -1.990e-5, 5.500e-1
0.855, -3.450e-5, -2.025e-5, 5.600e-1
0.856, -3.475e-5, -2.059e-5, 5.700e-1
0.857, -3.443e-5, -2.094e-5, 5.800e-1
0.858, -3.447e-5, -2.128e-5, 5.900e-1
0.859, -3.437e-5, -2.163e-5, 6.000e-1
0.860, -3.446e-5, -2.197e-5, 6.100e-1
0.861, -3.425e-5, -2.231e-5, 6.200e-1
0.862, -3.447e-5, -2.266e-5, 6.300e-1
0.863, -3.418e-5, -2.300e-5, 6.400e-1
0.864, -3.440e-5, -2.334e-5, 6.500e-1
0.865, -3.425e-5, -2.369e-5, 6.600e-1
0.866, -3.423e-5, -2.403e-5, 6.700e-1
0.867, -3.413e-5, -2.437e-5, 6.800e-1
0.868, -3.414e-5, -2.471e-5, 6.900e-1
0.869, -3.397e-5, -2.505e-5, 7.000e-1
0.870, -3.421e-5, -2.539e-5, 7.100e-1
0.871, -3.397e-5, -2.573e-5, 7.200e-1
0.872, -3.416e-5, -2.607e-5, 7.300e-1
0.873, -3.380e-5, -2.641e-5, 7.400e-1
0.874, -3.372e-5, -2.675e-5, 7.500e-1
0.875, -3.352e-5, -2.709e-5, 7.600e-1
0.876, -3.375e-5, -2.742e-5, 7.700e-1
0.877, -3.375e-5, -2.776e-5, 7.800e-1
0.878, -3.371e-5, -2.810e-5, 7.900e-1
0.879, -3.349e-5, -2.843e-5, 8.000e-1
0.880, -3.372e-5, -2.877e-5, 8.100e-1
0.881, -3.360e-5, -2.911e-5, 8.200e-1
0.882, -3.340e-5, -2.944e-5, 8.300e-1
0.883, -3.321e-5, -2.977e-5, 8.400e-1
0.884, -3.357e-5, -3.011e-5, 8.500e-1
0.885, -3.337e-5, -3.044e-5, 8.600e-1
0.886, -3.347e-5, -3.078e-5, 8.700e-1
0.887, -3.323e-5, -3.111e-5, 8.800e-1
0.888, -3.335e-5, -3.144e-5, 8.900e-1
0.889, -3.305e-5, -3.177e-5, 9.000e-1
0.890, -3.319e-5, -3.210e-5, 9.100e-1
0.891, -3.300e-5, -3.243e-5, 9.200e-1
0.892, -3.322e-5, -3.277e-5, 9.300e-1
0.893, -3.284e-5, -3.309e-5, 9.400e-1
0.894, -3.310e-5, -3.343e-5, 9.500e-1
0.895, -3.274e-5, -3.375e-5, 9.600e-1
0.896, -3.284e-5, -3.408e-5, 9.700e-1
0.897, -3.275e-5, -3.441e-5, 9.800e-1
0.898, -3.276e-5, -3.474e-5, 9.900e-1
0.899, -3.276e-5, -3.506e-5, 1.000e+0
0.900, -3.281e-5, -3.539e-5, 1.010e+0
0.901, -3.269e-5, -3.572e-5, 1.020e+0
0.902, -3.298e-5, -3.605e-5, 1.030e+0
0.903, -3.237e-5, -3.637e-5, 1.040e+0
0.904, -3.254e-5, -3.670e-5, 1.050e+0
0.905, -3.265e-5, -3.702e-5, 1.060e+0
0.906, -3.255e-5, -3.735e-5, 1.070e+0
0.907, -3.260e-5, -3.768e-5, 1.080e+0
0.908, -3.244e-5, -3.800e-5, 1.090e+0
0.909, -3.240e-5, -3.832e-5, 1.100e+0
0.910, -3.236e-5, -3.865e-5, 1.110e+0
0.911, -3.221e-5, -3.897e-5, 1.120e+0
0.912, -3.226e-5, -3.929e-5, 1.130e+0
0.913, -3.215e-5, -3.961e-5, 1.140e+0
0.914, -3.237e-5, -3.994e-5, 1.150e+0
0.915, -3.211e-5, -4.026e-5, 1.160e+0
0.916, -3.208e-5, -4.058e-5, 1.170e+0
0.917, -3.201e-5, -4.090e-5, 1.180e+0
0.918, -3.216e-5, -4.122e-5, 1.190e+0
0.919, -3.206e-5, -4.154e-5, 1.200e+0
0.920, -3.213e-5, -4.186e-5, 1.210e+0
0.921, -3.201e-5, -4.218e-5, 1.220e+0
0.922, -3.194e-5, -4.250e-5, 1.230e+0
0.923, -3.187e-5, -4.282e-5, 1.240e+0
0.924, -3.172e-5, -4.314e-5, 1.250e+0
0.925, -3.177e-5, -4.346e-5, 1.260e+0
0.926, -3.186e-5, -4.377e-5, 1.270e+0
0.927, -3.167e-5, -4.409e-5, 1.280e+0
0.928, -3.180e-5, -4.441e-5, 1.290e+0
0.929, -3.180e-5, -4.473e-5, 1.300e+0
0.930, -3.174e-5, -4.505e-5, 1.310e+0
0.931, -3.168e-5, -4.536e-5, 1.320e+0
0.932, -3.178e-5, -4.568e-5, 1.330e+0
0.933, -3.147e-5, -4.599e-5, 1.340e+0
0.934, -3.175e-5, -4.631e-5, 1.350e+0
0.935, -3.156e-5, -4.663e-5, 1.360e+0
0.936, -3.156e-5, -4.694e-5, 1.370e+0
0.937, -3.146e-5, -4.726e-5, 1.380e+0
0.938, -3.140e-5, -4.757e-5, 1.390e+0
