Segment 1:

Segment 2:
Ep = 0.364V
ip = -5.351e-5A
Ah = -3.956e-5C

Segment 3:
Ep = 0.415V
ip = 2.432e-3A
Ah = 2.661e-3C

Segment 4:
Ep = 0.388V
ip = -3.989e-5A
Ah = -3.199e-5C

Segment 5:
Ep = 0.412V
ip = 2.504e-3A
Ah = 2.587e-3C

Segment 6:
Ep = 0.387V
ip = -4.048e-5A
Ah = -3.337e-5C

Segment 7:
Ep = 0.413V
ip = 2.540e-3A
Ah = 2.694e-3C

Segment 8:
Ep = 0.387V
ip = -4.001e-5A
Ah = -3.332e-5C

Segment 9:
Ep = 0.414V
ip = 2.491e-3A
Ah = 2.650e-3C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.850e-5, -3.850e-7, 1.000e-2
0.801, -3.842e-5, -7.692e-7, 2.000e-2
0.802, -3.760e-5, -1.145e-6, 3.000e-2
0.803, -3.785e-5, -1.524e-6, 4.000e-2
0.804, -3.747e-5, -1.898e-6, 5.000e-2
0.805, -3.768e-5, -2.275e-6, 6.000e-2
0.806, -3.731e-5, -2.648e-6, 7.000e-2
0.807, -3.758e-5, -3.024e-6, 8.000e-2
0.808, -3.697e-5, -3.394e-6, 9.000e-2
0.809, -3.716e-5, -3.765e-6, 1.000e-1
0.810, -3.667e-5, -4.132e-6, 1.100e-1
0.811, -3.695e-5, -4.502e-6, 1.200e-1
0.812, -3.657e-5, -4.867e-6, 1.300e-1
0.813, -3.674e-5, -5.235e-6, 1.400e-1
0.814, -3.620e-5, -5.597e-6, 1.500e-1
0.815, -3.660e-5, -5.963e-6, 1.600e-1
0.816, -3.622e-5, -6.325e-6, 1.700e-1
0.817, -3.658e-5, -6.691e-6, 1.800e-1
0.818, -3.619e-5, -7.053e-6, 1.900e-1
0.819, -3.661e-5, -7.419e-6, 2.000e-1
0.820, -3.598e-5, -7.779e-6, 2.100e-1
0.821, -3.649e-5, -8.144e-6, 2.200e-1
0.822, -3.600e-5, -8.504e-6, 2.300e-1
0.823, -3.618e-5, -8.865e-6, 2.400e-1
0.824, -3.571e-5, -9.222e-6, 2.500e-1
0.825, -3.619e-5, -9.584e-6, 2.600e-1
0.826, -3.572e-5, -9.942e-6, 2.700e-1
0.827, -3.606e-5, -1.030e-5, 2.800e-1
0.828, -3.562e-5, -1.066e-5, 2.900e-1
0.829, -3.607e-5, -1.102e-5, 3.000e-1
0.830, -3.540e-5, -1.137e-5, 3.100e-1
0.831, -3.559e-5, -1.173e-5, 3.200e-1
0.832, -3.551e-5, -1.208e-5, 3.300e-1
0.833, -3.563e-5, -1.244e-5, 3.400e-1
0.834, -3.524e-5, -1.279e-5, 3.500e-1
0.835, -3.567e-5, -1.315e-5, 3.600e-1
0.836, -3.493e-5, -1.350e-5, 3.700e-1
0.837, -3.533e-5, -1.385e-5, 3.800e-1
0.838, -3.511e-5, -1.420e-5, 3.900e-1
0.839, -3.536e-5, -1.456e-5, 4.000e-1
0.840, -3.495e-5, -1.491e-5, 4.100e-1
0.841, -3.529e-5, -1.526e-5, 4.200e-1
0.842, -3.474e-5, -1.561e-5, 4.300e-1
0.843, -3.523e-5, -1.596e-5, 4.400e-1
0.844, -3.478e-5, -1.631e-5, 4.500e-1
0.845, -3.507e-5, -1.666e-5, 4.600e-1
0.846, -3.464e-5, -1.700e-5, 4.700e-1
0.847, -3.494e-5, -1.735e-5, 4.800e-1
0.848, -3.463e-5, -1.770e-5, 4.900e-1
0.849, -3.483e-5, -1.805e-5, 5.000e-1
0.850, -3.452e-5, -1.839e-5, 5.100e-1
0.851, -3.446e-5, -1.874e-5, 5.200e-1
0.852, -3.440e-5, -1.908e-5, 5.300e-1
0.853, -3.457e-5, -1.943e-5, 5.400e-1
0.854, -3.416e-5, -1.977e-5, 5.500e-1
0.855, -3.439e-5, -2.011e-5, 5.600e-1
0.856, -3.402e-5, -2.045e-5, 5.700e-1
0.857, -3.457e-5, -2.080e-5, 5.800e-1
0.858, -3.389e-5, -2.114e-5, 5.900e-1
0.859, -3.439e-5, -2.148e-5, 6.000e-1
0.860, -3.392e-5, -2.182e-5, 6.100e-1
0.861, -3.445e-5, -2.217e-5, 6.200e-1
0.862, -3.394e-5, -2.250e-5, 6.300e-1
0.863, -3.411e-5, -2.285e-5, 6.400e-1
0.864, -3.372e-5, -2.318e-5, 6.500e-1
0.865, -3.408e-5, -2.352e-5, 6.600e-1
0.866, -3.360e-5, -2.386e-5, 6.700e-1
0.867, -3.413e-5, -2.420e-5, 6.800e-1
0.868, -3.339e-5, -2.454e-5, 6.900e-1
0.869, -3.394e-5, -2.487e-5, 7.000e-1
0.870, -3.356e-5, -2.521e-5, 7.100e-1
0.871, -3.384e-5, -2.555e-5, 7.200e-1
0.872, -3.336e-5, -2.588e-5, 7.300e-1
0.873, -3.364e-5, -2.622e-5, 7.400e-1
0.874, -3.315e-5, -2.655e-5, 7.500e-1
0.875, -3.364e-5, -2.689e-5, 7.600e-1
0.876, -3.308e-5, -2.722e-5, 7.700e-1
0.877, -3.358e-5, -2.755e-5, 7.800e-1
0.878, -3.293e-5, -2.788e-5, 7.900e-1
0.879, -3.356e-5, -2.822e-5, 8.000e-1
0.880, -3.303e-5, -2.855e-5, 8.100e-1
0.881, -3.338e-5, -2.888e-5, 8.200e-1
0.882, -3.312e-5, -2.921e-5, 8.300e-1
0.883, -3.340e-5, -2.955e-5, 8.400e-1
0.884, -3.274e-5, -2.987e-5, 8.500e-1
0.885, -3.323e-5, -3.021e-5, 8.600e-1
0.886, -3.277e-5, -3.053e-5, 8.700e-1
0.887, -3.309e-5, -3.087e-5, 8.800e-1
0.888, -3.267e-5, -3.119e-5, 8.900e-1
0.889, -3.311e-5, -3.152e-5, 9.000e-1
0.890, -3.234e-5, -3.185e-5, 9.100e-1
0.891, -3.302e-5, -3.218e-5, 9.200e-1
0.892, -3.252e-5, -3.250e-5, 9.300e-1
0.893, -3.267e-5, -3.283e-5, 9.400e-1
0.894, -3.231e-5, -3.315e-5, 9.500e-1
0.895, -3.266e-5, -3.348e-5, 9.600e-1
0.896, -3.250e-5, -3.380e-5, 9.700e-1
0.897, -3.275e-5, -3.413e-5, 9.800e-1
0.898, -3.237e-5, -3.446e-5, 9.900e-1
0.899, -3.264e-5, -3.478e-5, 1.000e+0
