Segment 1:

Segment 2:
Ep = 0.343V
ip = -3.668e-5A
Ah = -3.561e-5C

Segment 3:
Ep = 0.397V
ip = 2.380e-3A
Ah = 2.688e-3C

Ep = 1.161V
ip = 1.102e-6A
Ah = 6.102e-7C

Segment 4:
Ep = 0.350V
ip = -2.655e-5A
Ah = -3.111e-5C

Segment 5:
Ep = 0.393V
ip = 2.405e-3A
Ah = 2.577e-3C

Segment 6:
Ep = 0.360V
ip = -2.818e-5A
Ah = -2.983e-5C

Segment 7:
Ep = 0.396V
ip = 2.420e-3A
Ah = 2.709e-3C

Segment 8:
Ep = 0.365V
ip = -2.845e-5A
Ah = -2.841e-5C

Segment 9:
Ep = 0.399V
ip = 2.342e-3A
Ah = 2.741e-3C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.845e-5, -3.845e-7, 1.000e-2
0.801, -3.841e-5, -7.686e-7, 2.000e-2
0.802, -3.800e-5, -1.149e-6, 3.000e-2
0.803, -3.800e-5, -1.529e-6, 4.000e-2
0.804, -3.768e-5, -1.905e-6, 5.000e-2
0.805, -3.778e-5, -2.283e-6, 6.000e-2
0.806, -3.745e-5, -2.658e-6, 7.000e-2
0.807, -3.739e-5, -3.032e-6, 8.000e-2
0.808, -3.716e-5, -3.403e-6, 9.000e-2
0.809, -3.738e-5, -3.777e-6, 1.000e-1
0.810, -3.701e-5, -4.147e-6, 1.100e-1
0.811, -3.717e-5, -4.519e-6, 1.200e-1
0.812, -3.684e-5, -4.887e-6, 1.300e-1
0.813, -3.714e-5, -5.259e-6, 1.400e-1
0.814, -3.663e-5, -5.625e-6, 1.500e-1
0.815, -3.673e-5, -5.992e-6, 1.600e-1
0.816, -3.649e-5, -6.357e-6, 1.700e-1
0.817, -3.672e-5, -6.724e-6, 1.800e-1
0.818, -3.659e-5, -7.090e-6, 1.900e-1
0.819, -3.687e-5, -7.459e-6, 2.000e-1
0.820, -3.623e-5, -7.821e-6, 2.100e-1
0.821, -3.663e-5, -8.188e-6, 2.200e-1
0.822, -3.626e-5, -8.550e-6, 2.300e-1
0.823, -3.623e-5, -8.913e-6, 2.400e-1
0.824, -3.629e-5, -9.275e-6, 2.500e-1
0.825, -3.619e-5, -9.637e-6, 2.600e-1
0.826, -3.592e-5, -9.997e-6, 2.700e-1
0.827, -3.600e-5, -1.036e-5, 2.800e-1
0.828, -3.593e-5, -1.072e-5, 2.900e-1
0.829, -3.614e-5, -1.108e-5, 3.000e-1
0.830, -3.592e-5, -1.144e-5, 3.100e-1
0.831, -3.593e-5, -1.180e-5, 3.200e-1
0.832, -3.573e-5, -1.215e-5, 3.300e-1
0.833, -3.593e-5, -1.251e-5, 3.400e-1
0.834, -3.563e-5, -1.287e-5, 3.500e-1
0.835, -3.584e-5, -1.323e-5, 3.600e-1
0.836, -3.552e-5, -1.358e-5, 3.700e-1
0.837, -3.580e-5, -1.394e-5, 3.800e-1
0.838, -3.548e-5, -1.429e-5, 3.900e-1
0.839, -3.564e-5, -1.465e-5, 4.000e-1
0.840, -3.513e-5, -1.500e-5, 4.100e-1
0.841, -3.537e-5, -1.536e-5, 4.200e-1
0.842, -3.526e-5, -1.571e-5, 4.300e-1
0.843, -3.529e-5, -1.606e-5, 4.400e-1
0.844, -3.503e-5, -1.641e-5, 4.500e-1
0.845, -3.553e-5, -1.677e-5, 4.600e-1
0.846, -3.510e-5, -1.712e-5, 4.700e-1
0.847, -3.507e-5, -1.747e-5, 4.800e-1
0.848, -3.504e-5, -1.782e-5, 4.900e-1
0.849, -3.494e-5, -1.817e-5, 5.000e-1
0.850, -3.484e-5, -1.852e-5, 5.100e-1
0.851, -3.499e-5, -1.887e-5, 5.200e-1
0.852, -3.477e-5, -1.921e-5, 5.300e-1
0.853, -3.479e-5, -1.956e-5, 5.400e-1
