Segment 1:

Segment 2:
Ep = 0.326V
ip = -2.533e-5A
Ah = -3.199e-5C

Segment 3:
Ep = 0.390V
ip = 2.519e-3A
Ah = 2.640e-3C

Segment 4:

Segment 5:
Ep = 0.391V
ip = 2.541e-3A
Ah = 2.704e-3C

Segment 6:
Ep = 0.103V
ip = -2.146e-5A
Ah = -1.282e-5C

Segment 7:
Ep = 0.395V
ip = 2.493e-3A
Ah = 2.776e-3C

Segment 8:
Ep = 0.106V
ip = -1.985e-5A
Ah = -1.085e-5C

Segment 9:
Ep = 0.389V
ip = 2.553e-3A
Ah = 2.609e-3C

Potential/V, Current/A, Charge/C, Time/s

0.800, -4.419e-5, -4.419e-7, 1.000e-2
0.801, -4.401e-5, -8.820e-7, 2.000e-2
0.802, -4.413e-5, -1.323e-6, 3.000e-2
0.803, -4.349e-5, -1.758e-6, 4.000e-2
0.804, -4.357e-5, -2.194e-6, 5.000e-2
0.805, -4.314e-5, -2.625e-6, 6.000e-2
0.806, -4.331e-5, -3.058e-6, 7.000e-2
0.807, -4.295e-5, -3.488e-6, 8.000e-2
0.808, -4.309e-5, -3.919e-6, 9.000e-2
0.809, -4.295e-5, -4.348e-6, 1.000e-1
0.810, -4.294e-5, -4.778e-6, 1.100e-1
0.811, -4.263e-5, -5.204e-6, 1.200e-1
0.812, -4.276e-5, -5.632e-6, 1.300e-1
0.813, -4.248e-5, -6.057e-6, 1.400e-1
0.814, -4.271e-5, -6.484e-6, 1.500e-1
0.815, -4.221e-5, -6.906e-6, 1.600e-1
0.816, -4.232e-5, -7.329e-6, 1.700e-1
0.817, -4.215e-5, -7.750e-6, 1.800e-1
0.818, -4.216e-5, -8.172e-6, 1.900e-1
0.819, -4.214e-5, -8.593e-6, 2.000e-1
0.820, -4.227e-5, -9.016e-6, 2.100e-1
0.821, -4.181e-5, -9.434e-6, 2.200e-1
0.822, -4.202e-5, -9.854e-6, 2.300e-1
0.823, -4.184e-5, -1.027e-5, 2.400e-1
0.824, -4.196e-5, -1.069e-5, 2.500e-1
0.825, -4.184e-5, -1.111e-5, 2.600e-1
0.826, -4.177e-5, -1.153e-5, 2.700e-1
