Segment 1:

Segment 2:
Ep = 0.347V
ip = -3.717e-5A
Ah = -3.337e-5C

Segment 3:
Ep = 0.414V
ip = 2.516e-3A
Ah = 3.017e-3C

Segment 4:
Ep = 0.334V
ip = -2.559e-5A
Ah = -3.272e-5C

Segment 5:
Ep = 0.418V
ip = 2.456e-3A
Ah = 3.032e-3C

Ep = 1.285V
ip = 5.665e-5A
Ah = 6.515e-6C

Segment 6:
Ep = 0.348V
ip = -2.800e-5A
Ah = -3.111e-5C

Segment 7:
Ep = 0.416V
ip = 2.484e-3A
Ah = 2.996e-3C

Segment 8:
Ep = 0.347V
ip = -2.727e-5A
Ah = -3.057e-5C

Segment 9:
Ep = 0.416V
ip = 2.485e-3A
Ah = 2.990e-3C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.470e-5, -3.470e-7, 1.000e-2
0.801, -3.448e-5, -6.918e-7, 2.000e-2
0.802, -3.428e-5, -1.035e-6, 3.000e-2
0.803, -3.420e-5, -1.377e-6, 4.000e-2
0.804, -3.398e-5, -1.716e-6, 5.000e-2
0.805, -3.383e-5, -2.055e-6, 6.000e-2
0.806, -3.370e-5, -2.392e-6, 7.000e-2
0.807, -3.373e-5, -2.729e-6, 8.000e-2
0.808, -3.345e-5, -3.063e-6, 9.000e-2
0.809, -3.365e-5, -3.400e-6, 1.000e-1
0.810, -3.330e-5, -3.733e-6, 1.100e-1
0.811, -3.348e-5, -4.068e-6, 1.200e-1
0.812, -3.316e-5, -4.399e-6, 1.300e-1
0.813, -3.323e-5, -4.732e-6, 1.400e-1
0.814, -3.285e-5, -5.060e-6, 1.500e-1
0.815, -3.287e-5, -5.389e-6, 1.600e-1
0.816, -3.285e-5, -5.717e-6, 1.700e-1
0.817, -3.291e-5, -6.046e-6, 1.800e-1
0.818, -3.272e-5, -6.374e-6, 1.900e-1
0.819, -3.290e-5, -6.703e-6, 2.000e-1
0.820, -3.270e-5, -7.030e-6, 2.100e-1
0.821, -3.273e-5, -7.357e-6, 2.200e-1
0.822, -3.245e-5, -7.682e-6, 2.300e-1
0.823, -3.254e-5, -8.007e-6, 2.400e-1
0.824, -3.225e-5, -8.329e-6, 2.500e-1
0.825, -3.252e-5, -8.655e-6, 2.600e-1
0.826, -3.225e-5, -8.977e-6, 2.700e-1
0.827, -3.246e-5, -9.302e-6, 2.800e-1
0.828, -3.220e-5, -9.624e-6, 2.900e-1
0.829, -3.233e-5, -9.947e-6, 3.000e-1
0.830, -3.204e-5, -1.027e-5, 3.100e-1
0.831, -3.220e-5, -1.059e-5, 3.200e-1
0.832, -3.187e-5, -1.091e-5, 3.300e-1
0.833, -3.221e-5, -1.123e-5, 3.400e-1
0.834, -3.193e-5, -1.155e-5, 3.500e-1
0.835, -3.183e-5, -1.187e-5, 3.600e-1
0.836, -3.165e-5, -1.218e-5, 3.700e-1
0.837, -3.186e-5, -1.250e-5, 3.800e-1
0.838, -3.156e-5, -1.282e-5, 3.900e-1
0.839, -3.176e-5, -1.314e-5, 4.000e-1
0.840, -3.141e-5, -1.345e-5, 4.100e-1
0.841, -3.153e-5, -1.377e-5, 4.200e-1
0.842, -3.159e-5, -1.408e-5, 4.300e-1
0.843, -3.148e-5, -1.440e-5, 4.400e-1
0.844, -3.131e-5, -1.471e-5, 4.500e-1
0.845, -3.164e-5, -1.503e-5, 4.600e-1
0.846, -3.125e-5, -1.534e-5, 4.700e-1
0.847, -3.145e-5, -1.565e-5, 4.800e-1
0.848, -3.116e-5, -1.596e-5, 4.900e-1
0.849, -3.142e-5, -1.628e-5, 5.000e-1
0.850, -3.098e-5, -1.659e-5, 5.100e-1
0.851, -3.140e-5, -1.690e-5, 5.200e-1
0.852, -3.090e-5, -1.721e-5, 5.300e-1
0.853, -3.119e-5, -1.752e-5, 5.400e-1
0.854, -3.088e-5, -1.783e-5, 5.500e-1
0.855, -3.115e-5, -1.814e-5, 5.600e-1
0.856, -3.056e-5, -1.845e-5, 5.700e-1
0.857, -3.111e-5, -1.876e-5, 5.800e-1
0.858, -3.083e-5, -1.907e-5, 5.900e-1
0.859, -3.076e-5, -1.938e-5, 6.000e-1
0.860, -3.045e-5, -1.968e-5, 6.100e-1
0.861, -3.083e-5, -1.999e-5, 6.200e-1
0.862, -3.047e-5, -2.029e-5, 6.300e-1
0.863, -3.063e-5, -2.060e-5, 6.400e-1
0.864, -3.041e-5, -2.090e-5, 6.500e-1
0.865, -3.052e-5, -2.121e-5, 6.600e-1
0.866, -3.027e-5, -2.151e-5, 6.700e-1
0.867, -3.065e-5, -2.182e-5, 6.800e-1
0.868, -3.013e-5, -2.212e-5, 6.900e-1
0.869, -3.043e-5, -2.242e-5, 7.000e-1
0.870, -3.008e-5, -2.272e-5, 7.100e-1
0.871, -3.033e-5, -2.303e-5, 7.200e-1
0.872, -2.992e-5, -2.333e-5, 7.300e-1
0.873, -3.021e-5, -2.363e-5, 7.400e-1
0.874, -2.974e-5, -2.393e-5, 7.500e-1
0.875, -3.010e-5, -2.423e-5, 7.600e-1
0.876, -2.987e-5, -2.453e-5, 7.700e-1
0.877, -3.005e-5, -2.483e-5, 7.800e-1
0.878, -2.984e-5, -2.513e-5, 7.900e-1
0.879, -3.000e-5, -2.543e-5, 8.000e-1
0.880, -2.968e-5, -2.572e-5, 8.100e-1
0.881, -2.980e-5, -2.602e-5, 8.200e-1
0.882, -2.957e-5, -2.632e-5, 8.300e-1
0.883, -2.997e-5, -2.662e-5, 8.400e-1
0.884, -2.945e-5, -2.691e-5, 8.500e-1
0.885, -2.969e-5, -2.721e-5, 8.600e-1
0.886, -2.956e-5, -2.750e-5, 8.700e-1
0.887, -2.964e-5, -2.780e-5, 8.800e-1
0.888, -2.925e-5, -2.809e-5, 8.900e-1
0.889, -2.943e-5, -2.839e-5, 9.000e-1
0.890, -2.911e-5, -2.868e-5, 9.100e-1
0.891, -2.956e-5, -2.897e-5, 9.200e-1
0.892, -2.899e-5, -2.926e-5, 9.300e-1
0.893, -2.926e-5, -2.956e-5, 9.400e-1
0.894, -2.889e-5, -2.984e-5, 9.500e-1
0.895, -2.934e-5, -3.014e-5, 9.600e-1
0.896, -2.896e-5, -3.043e-5, 9.700e-1
0.897, -2.913e-5, -3.072e-5, 9.800e-1
0.898, -2.883e-5, -3.101e-5, 9.900e-1
0.899, -2.913e-5, -3.130e-5, 1.000e+0
0.900, -2.885e-5, -3.159e-5, 1.010e+0
0.901, -2.906e-5, -3.188e-5, 1.020e+0
0.902, -2.861e-5, -3.216e-5, 1.030e+0
0.903, -2.888e-5, -3.245e-5, 1.040e+0
0.904, -2.855e-5, -3.274e-5, 1.050e+0
0.905, -2.882e-5, -3.303e-5, 1.060e+0
0.906, -2.845e-5, -3.331e-5, 1.070e+0
0.907, -2.871e-5, -3.360e-5, 1.080e+0
0.908, -2.840e-5, -3.388e-5, 1.090e+0
0.909, -2.864e-5, -3.417e-5, 1.100e+0
0.910, -2.830e-5, -3.445e-5, 1.110e+0
0.911, -2.871e-5, -3.474e-5, 1.120e+0
0.912, -2.813e-5, -3.502e-5, 1.130e+0
0.913, -2.847e-5, -3.530e-5, 1.140e+0
0.914, -2.794e-5, -3.558e-5, 1.150e+0
0.915, -2.837e-5, -3.587e-5, 1.160e+0
0.916, -2.809e-5, -3.615e-5, 1.170e+0
0.917, -2.823e-5, -3.643e-5, 1.180e+0
0.918, -2.801e-5, -3.671e-5, 1.190e+0
0.919, -2.834e-5, -3.699e-5, 1.200e+0
0.920, -2.782e-5, -3.727e-5, 1.210e+0
0.921, -2.822e-5, -3.755e-5, 1.220e+0
0.922, -2.778e-5, -3.783e-5, 1.230e+0
0.923, -2.804e-5, -3.811e-5, 1.240e+0
0.924, -2.783e-5, -3.839e-5, 1.250e+0
0.925, -2.794e-5, -3.867e-5, 1.260e+0
0.926, -2.755e-5, -3.895e-5, 1.270e+0
0.927, -2.795e-5, -3.922e-5, 1.280e+0
0.928, -2.758e-5, -3.950e-5, 1.290e+0
0.929, -2.777e-5, -3.978e-5, 1.300e+0
0.930, -2.750e-5, -4.005e-5, 1.310e+0
0.931, -2.775e-5, -4.033e-5, 1.320e+0
0.932, -2.733e-5, -4.060e-5, 1.330e+0
0.933, -2.779e-5, -4.088e-5, 1.340e+0
0.934, -2.723e-5, -4.115e-5, 1.350e+0
0.935, -2.766e-5, -4.143e-5, 1.360e+0
0.936, -2.710e-5, -4.170e-5, 1.370e+0
0.937, -2.742e-5, -4.198e-5, 1.380e+0
0.938, -2.719e-5, -4.225e-5, 1.390e+0
0.939, -2.759e-5, -4.252e-5, 1.400e+0
0.940, -2.718e-5, -4.280e-5, 1.410e+0
0.941, -2.728e-5, -4.307e-5, 1.420e+0
0.942, -2.688e-5, -4.334e-5, 1.430e+0
0.943, -2.708e-5, -4.361e-5, 1.440e+0
0.944, -2.684e-5, -4.388e-5, 1.450e+0
0.945, -2.702e-5, -4.415e-5, 1.460e+0
0.946, -2.687e-5, -4.442e-5, 1.470e+0
