Segment 1:

Segment 2:
Ep = 0.357V
ip = -5.279e-5A
Ah = -4.031e-5C

Segment 3:
Ep = 0.412V
ip = 2.503e-3A
Ah = 2.623e-3C

Segment 4:
Ep = 0.390V
ip = -4.171e-5A
Ah = -3.482e-5C

Segment 5:
Ep = 0.416V
ip = 2.422e-3A
Ah = 2.677e-3C

Segment 6:
Ep = 0.391V
ip = -4.185e-5A
Ah = -3.345e-5C

Segment 7:
Ep = 0.416V
ip = 2.418e-3A
Ah = 2.630e-3C

Ep = 0.960V
ip = 1.002e-5A
Ah = 7.481e-6C

Segment 8:
Ep = 0.390V
ip = -4.292e-5A
Ah = -3.502e-5C

Segment 9:
Ep = 0.416V
ip = 2.396e-3A
Ah = 2.612e-3C

Ep = 1.046V
ip = 2.382e-5A
Ah = 1.910e-6C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.991e-5, -3.991e-7, 1.000e-2
0.801, -3.972e-5, -7.963e-7, 2.000e-2
0.802, -3.934e-5, -1.190e-6, 3.000e-2
0.803, -3.934e-5, -1.583e-6, 4.000e-2
0.804, -3.878e-5, -1.971e-6, 5.000e-2
0.805, -3.898e-5, -2.361e-6, 6.000e-2
0.806, -3.869e-5, -2.748e-6, 7.000e-2
0.807, -3.864e-5, -3.134e-6, 8.000e-2
0.808, -3.843e-5, -3.518e-6, 9.000e-2
0.809, -3.853e-5, -3.904e-6, 1.000e-1
0.810, -3.803e-5, -4.284e-6, 1.100e-1
0.811, -3.835e-5, -4.667e-6, 1.200e-1
0.812, -3.777e-5, -5.045e-6, 1.300e-1
0.813, -3.815e-5, -5.427e-6, 1.400e-1
0.814, -3.746e-5, -5.801e-6, 1.500e-1
0.815, -3.793e-5, -6.181e-6, 1.600e-1
0.816, -3.728e-5, -6.553e-6, 1.700e-1
0.817, -3.773e-5, -6.931e-6, 1.800e-1
0.818, -3.710e-5, -7.302e-6, 1.900e-1
0.819, -3.739e-5, -7.675e-6, 2.000e-1
0.820, -3.692e-5, -8.045e-6, 2.100e-1
0.821, -3.722e-5, -8.417e-6, 2.200e-1
0.822, -3.667e-5, -8.784e-6, 2.300e-1
0.823, -3.721e-5, -9.156e-6, 2.400e-1
0.824, -3.662e-5, -9.522e-6, 2.500e-1
0.825, -3.691e-5, -9.891e-6, 2.600e-1
0.826, -3.642e-5, -1.026e-5, 2.700e-1
0.827, -3.701e-5, -1.063e-5, 2.800e-1
0.828, -3.649e-5, -1.099e-5, 2.900e-1
0.829, -3.654e-5, -1.136e-5, 3.000e-1
0.830, -3.620e-5, -1.172e-5, 3.100e-1
0.831, -3.654e-5, -1.208e-5, 3.200e-1
0.832, -3.588e-5, -1.244e-5, 3.300e-1
0.833, -3.617e-5, -1.280e-5, 3.400e-1
0.834, -3.601e-5, -1.316e-5, 3.500e-1
0.835, -3.629e-5, -1.353e-5, 3.600e-1
0.836, -3.595e-5, -1.389e-5, 3.700e-1
0.837, -3.601e-5, -1.425e-5, 3.800e-1
0.838, -3.575e-5, -1.460e-5, 3.900e-1
0.839, -3.598e-5, -1.496e-5, 4.000e-1
0.840, -3.569e-5, -1.532e-5, 4.100e-1
0.841, -3.584e-5, -1.568e-5, 4.200e-1
0.842, -3.532e-5, -1.603e-5, 4.300e-1
0.843, -3.572e-5, -1.639e-5, 4.400e-1
0.844, -3.515e-5, -1.674e-5, 4.500e-1
0.845, -3.547e-5, -1.710e-5, 4.600e-1
0.846, -3.506e-5, -1.745e-5, 4.700e-1
0.847, -3.524e-5, -1.780e-5, 4.800e-1
0.848, -3.505e-5, -1.815e-5, 4.900e-1
0.849, -3.519e-5, -1.850e-5, 5.000e-1
0.850, -3.466e-5, -1.885e-5, 5.100e-1
0.851, -3.495e-5, -1.920e-5, 5.200e-1
0.852, -3.460e-5, -1.954e-5, 5.300e-1
0.853, -3.475e-5, -1.989e-5, 5.400e-1
0.854, -3.442e-5, -2.023e-5, 5.500e-1
0.855, -3.472e-5, -2.058e-5, 5.600e-1
0.856, -3.416e-5, -2.092e-5, 5.700e-1
0.857, -3.458e-5, -2.127e-5, 5.800e-1
0.858, -3.391e-5, -2.161e-5, 5.900e-1
0.859, -3.423e-5, -2.195e-5, 6.000e-1
0.860, -3.406e-5, -2.229e-5, 6.100e-1
0.861, -3.419e-5, -2.263e-5, 6.200e-1
0.862, -3.391e-5, -2.297e-5, 6.300e-1
0.863, -3.426e-5, -2.331e-5, 6.400e-1
0.864, -3.366e-5, -2.365e-5, 6.500e-1
0.865, -3.396e-5, -2.399e-5, 6.600e-1
0.866, -3.363e-5, -2.433e-5, 6.700e-1
0.867, -3.402e-5, -2.467e-5, 6.800e-1
0.868, -3.352e-5, -2.500e-5, 6.900e-1
0.869, -3.375e-5, -2.534e-5, 7.000e-1
0.870, -3.326e-5, -2.567e-5, 7.100e-1
0.871, -3.377e-5, -2.601e-5, 7.200e-1
0.872, -3.313e-5, -2.634e-5, 7.300e-1
0.873, -3.351e-5, -2.668e-5, 7.400e-1
0.874, -3.306e-5, -2.701e-5, 7.500e-1
0.875, -3.332e-5, -2.734e-5, 7.600e-1
0.876, -3.277e-5, -2.767e-5, 7.700e-1
0.877, -3.302e-5, -2.800e-5, 7.800e-1
0.878, -3.266e-5, -2.833e-5, 7.900e-1
0.879, -3.305e-5, -2.866e-5, 8.000e-1
0.880, -3.234e-5, -2.898e-5, 8.100e-1
0.881, -3.285e-5, -2.931e-5, 8.200e-1
0.882, -3.219e-5, -2.963e-5, 8.300e-1
0.883, -3.279e-5, -2.996e-5, 8.400e-1
0.884, -3.253e-5, -3.028e-5, 8.500e-1
0.885, -3.256e-5, -3.061e-5, 8.600e-1
0.886, -3.225e-5, -3.093e-5, 8.700e-1
0.887, -3.256e-5, -3.126e-5, 8.800e-1
0.888, -3.194e-5, -3.158e-5, 8.900e-1
0.889, -3.230e-5, -3.190e-5, 9.000e-1
0.890, -3.200e-5, -3.222e-5, 9.100e-1
0.891, -3.227e-5, -3.254e-5, 9.200e-1
0.892, -3.192e-5, -3.286e-5, 9.300e-1
0.893, -3.209e-5, -3.318e-5, 9.400e-1
0.894, -3.163e-5, -3.350e-5, 9.500e-1
0.895, -3.194e-5, -3.382e-5, 9.600e-1
0.896, -3.138e-5, -3.413e-5, 9.700e-1
0.897, -3.177e-5, -3.445e-5, 9.800e-1
0.898, -3.136e-5, -3.476e-5, 9.900e-1
0.899, -3.192e-5, -3.508e-5, 1.000e+0
0.900, -3.135e-5, -3.539e-5, 1.010e+0
0.901, -3.175e-5, -3.571e-5, 1.020e+0
0.902, -3.122e-5, -3.602e-5, 1.030e+0
0.903, -3.172e-5, -3.634e-5, 1.040e+0
0.904, -3.115e-5, -3.665e-5, 1.050e+0
0.905, -3.146e-5, -3.697e-5, 1.060e+0
0.906, -3.091e-5, -3.728e-5, 1.070e+0
0.907, -3.121e-5, -3.759e-5, 1.080e+0
0.908, -3.074e-5, -3.790e-5, 1.090e+0
0.909, -3.114e-5, -3.821e-5, 1.100e+0
0.910, -3.070e-5, -3.851e-5, 1.110e+0
0.911, -3.102e-5, -3.883e-5, 1.120e+0
0.912, -3.062e-5, -3.913e-5, 1.130e+0
0.913, -3.103e-5, -3.944e-5, 1.140e+0
0.914, -3.048e-5, -3.975e-5, 1.150e+0
0.915, -3.098e-5, -4.006e-5, 1.160e+0
0.916, -3.031e-5, -4.036e-5, 1.170e+0
0.917, -3.065e-5, -4.067e-5, 1.180e+0
0.918, -3.031e-5, -4.097e-5, 1.190e+0
0.919, -3.069e-5, -4.128e-5, 1.200e+0
0.920, -3.014e-5, -4.158e-5, 1.210e+0
0.921, -3.035e-5, -4.188e-5, 1.220e+0
0.922, -3.009e-5, -4.218e-5, 1.230e+0
0.923, -3.041e-5, -4.249e-5, 1.240e+0
0.924, -3.014e-5, -4.279e-5, 1.250e+0
0.925, -3.023e-5, -4.309e-5, 1.260e+0
0.926, -2.985e-5, -4.339e-5, 1.270e+0
0.927, -3.010e-5, -4.369e-5, 1.280e+0
0.928, -2.960e-5, -4.398e-5, 1.290e+0
0.929, -2.996e-5, -4.428e-5, 1.300e+0
0.930, -2.964e-5, -4.458e-5, 1.310e+0
0.931, -2.993e-5, -4.488e-5, 1.320e+0
0.932, -2.957e-5, -4.518e-5, 1.330e+0
0.933, -2.992e-5, -4.548e-5, 1.340e+0
0.934, -2.958e-5, -4.577e-5, 1.350e+0
0.935, -2.966e-5, -4.607e-5, 1.360e+0
0.936, -2.918e-5, -4.636e-5, 1.370e+0
0.937, -2.951e-5, -4.665e-5, 1.380e+0
0.938, -2.892e-5, -4.694e-5, 1.390e+0
0.939, -2.946e-5, -4.724e-5, 1.400e+0
0.940, -2.898e-5, -4.753e-5, 1.410e+0
0.941, -2.941e-5, -4.782e-5, 1.420e+0
0.942, -2.913e-5, -4.811e-5, 1.430e+0
0.943, -2.924e-5, -4.841e-5, 1.440e+0
0.944, -2.872e-5, -4.869e-5, 1.450e+0
0.945, -2.918e-5, -4.898e-5, 1.460e+0
0.946, -2.854e-5, -4.927e-5, 1.470e+0
0.947, -2.916e-5, -4.956e-5, 1.480e+0
0.948, -2.876e-5, -4.985e-5, 1.490e+0
0.949, -2.902e-5, -5.014e-5, 1.500e+0
0.950, -2.843e-5, -5.042e-5, 1.510e+0
0.951, -2.905e-5, -5.071e-5, 1.520e+0
0.952, -2.839e-5, -5.100e-5, 1.530e+0
0.953, -2.871e-5, -5.129e-5, 1.540e+0
0.954, -2.839e-5, -5.157e-5, 1.550e+0
0.955, -2.856e-5, -5.185e-5, 1.560e+0
0.956, -2.814e-5, -5.214e-5, 1.570e+0
0.957, -2.887e-5, -5.242e-5, 1.580e+0
0.958, -2.826e-5, -5.271e-5, 1.590e+0
0.959, -2.839e-5, -5.299e-5, 1.600e+0
0.960, -2.794e-5, -5.327e-5, 1.610e+0
0.961, -2.851e-5, -5.356e-5, 1.620e+0
0.962, -2.779e-5, -5.383e-5, 1.630e+0
0.963, -2.828e-5, -5.412e-5, 1.640e+0
0.964, -2.776e-5, -5.439e-5, 1.650e+0
0.965, -2.821e-5, -5.468e-5, 1.660e+0
0.966, -2.790e-5, -5.495e-5, 1.670e+0
0.967, -2.808e-5, -5.524e-5, 1.680e+0
0.968, -2.763e-5, -5.551e-5, 1.690e+0
0.969, -2.821e-5, -5.579e-5, 1.700e+0
0.970, -2.756e-5, -5.607e-5, 1.710e+0
0.971, -2.793e-5, -5.635e-5, 1.720e+0
0.972, -2.741e-5, -5.662e-5, 1.730e+0
0.973, -2.790e-5, -5.690e-5, 1.740e+0
0.974, -2.748e-5, -5.718e-5, 1.750e+0
0.975, -2.760e-5, -5.745e-5, 1.760e+0
0.976, -2.723e-5, -5.773e-5, 1.770e+0
0.977, -2.776e-5, -5.800e-5, 1.780e+0
0.978, -2.722e-5, -5.828e-5, 1.790e+0
0.979, -2.752e-5, -5.855e-5, 1.800e+0
0.980, -2.711e-5, -5.882e-5, 1.810e+0
0.981, -2.752e-5, -5.910e-5, 1.820e+0
0.982, -2.694e-5, -5.937e-5, 1.830e+0
0.983, -2.762e-5, -5.964e-5, 1.840e+0
0.984, -2.694e-5, -5.991e-5, 1.850e+0
0.985, -2.726e-5, -6.018e-5, 1.860e+0
0.986, -2.664e-5, -6.045e-5, 1.870e+0
0.987, -2.726e-5, -6.072e-5, 1.880e+0
0.988, -2.655e-5, -6.099e-5, 1.890e+0
0.989, -2.700e-5, -6.126e-5, 1.900e+0
0.990, -2.650e-5, -6.152e-5, 1.910e+0
0.991, -2.699e-5, -6.179e-5, 1.920e+0
0.992, -2.642e-5, -6.206e-5, 1.930e+0
0.993, -2.721e-5, -6.233e-5, 1.940e+0
0.994, -2.632e-5, -6.259e-5, 1.950e+0
0.995, -2.668e-5, -6.286e-5, 1.960e+0
0.996, -2.633e-5, -6.312e-5, 1.970e+0
0.997, -2.675e-5, -6.339e-5, 1.980e+0
0.998, -2.599e-5, -6.365e-5, 1.990e+0
0.999, -2.686e-5, -6.392e-5, 2.000e+0
1.000, -2.618e-5, -6.418e-5, 2.010e+0
1.001, -2.656e-5, -6.445e-5, 2.020e+0
1.002, -2.619e-5, -6.471e-5, 2.030e+0
1.003, -2.644e-5, -6.497e-5, 2.040e+0
1.004, -2.584e-5, -6.523e-5, 2.050e+0
1.005, -2.650e-5, -6.550e-5, 2.060e+0
1.006, -2.587e-5, -6.575e-5, 2.070e+0
1.007, -2.647e-5, -6.602e-5, 2.080e+0
1.008, -2.575e-5, -6.628e-5, 2.090e+0
1.009, -2.612e-5, -6.654e-5, 2.100e+0
1.010, -2.564e-5, -6.679e-5, 2.110e+0
1.011, -2.600e-5, -6.705e-5, 2.120e+0
1.012, -2.550e-5, -6.731e-5, 2.130e+0
1.013, -2.594e-5, -6.757e-5, 2.140e+0
1.014, -2.552e-5, -6.782e-5, 2.150e+0
1.015, -2.601e-5, -6.808e-5, 2.160e+0
1.016, -2.546e-5, -6.834e-5, 2.170e+0
1.017, -2.574e-5, -6.860e-5, 2.180e+0
1.018, -2.527e-5, -6.885e-5, 2.190e+0
1.019, -2.564e-5, -6.911e-5, 2.200e+0
1.020, -2.505e-5, -6.936e-5, 2.210e+0
1.021, -2.550e-5, -6.961e-5, 2.220e+0
1.022, -2.499e-5, -6.986e-5, 2.230e+0
1.023, -2.582e-5, -7.012e-5, 2.240e+0
1.024, -2.494e-5, -7.037e-5, 2.250e+0
1.025, -2.558e-5, -7.062e-5, 2.260e+0
1.026, -2.499e-5, -7.087e-5, 2.270e+0
1.027, -2.508e-5, -7.113e-5, 2.280e+0
1.028, -2.494e-5, -7.137e-5, 2.290e+0
1.029, -2.516e-5, -7.163e-5, 2.300e+0
1.030, -2.451e-5, -7.187e-5, 2.310e+0
1.031, -2.519e-5, -7.212e-5, 2.320e+0
1.032, -2.439e-5, -7.237e-5, 2.330e+0
1.033, -2.506e-5, -7.262e-5, 2.340e+0
1.034, -2.451e-5, -7.286e-5, 2.350e+0
1.035, -2.499e-5, -7.311e-5, 2.360e+0
1.036, -2.418e-5, -7.335e-5, 2.370e+0
1.037, -2.480e-5, -7.360e-5, 2.380e+0
1.038, -2.428e-5, -7.385e-5, 2.390e+0
1.039, -2.469e-5, -7.409e-5, 2.400e+0
1.040, -2.413e-5, -7.433e-5, 2.410e+0
1.041, -2.470e-5, -7.458e-5, 2.420e+0
1.042, -2.388e-5, -7.482e-5, 2.430e+0
1.043, -2.466e-5, -7.507e-5, 2.440e+0
1.044, -2.405e-5, -7.531e-5, 2.450e+0
1.045, -2.447e-5, -7.555e-5, 2.460e+0
1.046, -2.406e-5, -7.579e-5, 2.470e+0
1.047, -2.439e-5, -7.604e-5, 2.480e+0
1.048, -2.400e-5, -7.628e-5, 2.490e+0
1.049, -2.432e-5, -7.652e-5, 2.500e+0
1.050, -2.386e-5, -7.676e-5, 2.510e+0
1.051, -2.419e-5, -7.700e-5, 2.520e+0
1.052, -2.374e-5, -7.724e-5, 2.530e+0
1.053, -2.425e-5, -7.748e-5, 2.540e+0
1.054, -2.357e-5, -7.771e-5, 2.550e+0
1.055, -2.417e-5, -7.796e-5, 2.560e+0
1.056, -2.338e-5, -7.819e-5, 2.570e+0
1.057, -2.390e-5, -7.843e-5, 2.580e+0
1.058, -2.320e-5, -7.866e-5, 2.590e+0
1.059, -2.373e-5, -7.890e-5, 2.600e+0
1.060, -2.310e-5, -7.913e-5, 2.610e+0
1.061, -2.376e-5, -7.937e-5, 2.620e+0
1.062, -2.335e-5, -7.960e-5, 2.630e+0
1.063, -2.379e-5, -7.984e-5, 2.640e+0
1.064, -2.338e-5, -8.007e-5, 2.650e+0
1.065, -2.369e-5, -8.031e-5, 2.660e+0
1.066, -2.311e-5, -8.054e-5, 2.670e+0
1.067, -2.354e-5, -8.078e-5, 2.680e+0
1.068, -2.320e-5, -8.101e-5, 2.690e+0
1.069, -2.348e-5, -8.124e-5, 2.700e+0
1.070, -2.307e-5, -8.147e-5, 2.710e+0
1.071, -2.339e-5, -8.171e-5, 2.720e+0
1.072, -2.310e-5, -8.194e-5, 2.730e+0
1.073, -2.320e-5, -8.217e-5, 2.740e+0
1.074, -2.257e-5, -8.240e-5, 2.750e+0
1.075, -2.271e-5, -8.262e-5, 2.760e+0
