Segment 1:

Segment 2:
Ep = 0.343V
ip = -4.062e-5A
Ah = -3.613e-5C

Segment 3:
Ep = 0.398V
ip = 2.476e-3A
Ah = 2.607e-3C

Ep = 1.037V
ip = 2.546e-5A
Ah = 2.098e-6C

Segment 4:
Ep = 0.359V
ip = -3.241e-5A
Ah = -3.196e-5C

Segment 5:
Ep = 0.416V
ip = 2.219e-3A
Ah = 2.957e-3C

Ep = 0.926V
ip = 9.645e-6A
Ah = 2.523e-6C

Segment 6:
Ep = 0.357V
ip = -3.288e-5A
Ah = -3.239e-5C

Segment 7:
Ep = 0.420V
ip = 2.173e-3A
Ah = 3.011e-3C

Ep = 0.899V
ip = 1.887e-5A
Ah = 2.683e-6C

Segment 8:
Ep = 0.357V
ip = -3.285e-5A
Ah = -3.252e-5C

Segment 9:
Ep = 0.417V
ip = 2.241e-3A
Ah = 2.934e-3C

Ep = 1.017V
ip = 1.849e-5A
Ah = 9.160e-6C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.404e-5, -3.404e-7, 1.000e-2
0.801, -3.387e-5, -6.791e-7, 2.000e-2
0.802, -3.322e-5, -1.011e-6, 3.000e-2
0.803, -3.379e-5, -1.349e-6, 4.000e-2
0.804, -3.309e-5, -1.680e-6, 5.000e-2
0.805, -3.330e-5, -2.013e-6, 6.000e-2
0.806, -3.303e-5, -2.343e-6, 7.000e-2
0.807, -3.325e-5, -2.676e-6, 8.000e-2
0.808, -3.260e-5, -3.002e-6, 9.000e-2
0.809, -3.296e-5, -3.331e-6, 1.000e-1
0.810, -3.248e-5, -3.656e-6, 1.100e-1
0.811, -3.262e-5, -3.982e-6, 1.200e-1
0.812, -3.220e-5, -4.304e-6, 1.300e-1
0.813, -3.271e-5, -4.632e-6, 1.400e-1
0.814, -3.217e-5, -4.953e-6, 1.500e-1
0.815, -3.251e-5, -5.278e-6, 1.600e-1
0.816, -3.214e-5, -5.600e-6, 1.700e-1
0.817, -3.229e-5, -5.923e-6, 1.800e-1
0.818, -3.186e-5, -6.241e-6, 1.900e-1
0.819, -3.230e-5, -6.564e-6, 2.000e-1
0.820, -3.166e-5, -6.881e-6, 2.100e-1
0.821, -3.212e-5, -7.202e-6, 2.200e-1
0.822, -3.179e-5, -7.520e-6, 2.300e-1
0.823, -3.212e-5, -7.841e-6, 2.400e-1
0.824, -3.150e-5, -8.156e-6, 2.500e-1
0.825, -3.186e-5, -8.475e-6, 2.600e-1
0.826, -3.143e-5, -8.789e-6, 2.700e-1
0.827, -3.196e-5, -9.109e-6, 2.800e-1
0.828, -3.145e-5, -9.423e-6, 2.900e-1
0.829, -3.163e-5, -9.739e-6, 3.000e-1
0.830, -3.117e-5, -1.005e-5, 3.100e-1
0.831, -3.148e-5, -1.037e-5, 3.200e-1
0.832, -3.115e-5, -1.068e-5, 3.300e-1
0.833, -3.154e-5, -1.099e-5, 3.400e-1
0.834, -3.105e-5, -1.130e-5, 3.500e-1
0.835, -3.136e-5, -1.162e-5, 3.600e-1
0.836, -3.086e-5, -1.193e-5, 3.700e-1
0.837, -3.134e-5, -1.224e-5, 3.800e-1
0.838, -3.086e-5, -1.255e-5, 3.900e-1
0.839, -3.144e-5, -1.286e-5, 4.000e-1
0.840, -3.085e-5, -1.317e-5, 4.100e-1
0.841, -3.114e-5, -1.348e-5, 4.200e-1
0.842, -3.064e-5, -1.379e-5, 4.300e-1
0.843, -3.101e-5, -1.410e-5, 4.400e-1
0.844, -3.064e-5, -1.440e-5, 4.500e-1
0.845, -3.098e-5, -1.471e-5, 4.600e-1
0.846, -3.055e-5, -1.502e-5, 4.700e-1
0.847, -3.075e-5, -1.533e-5, 4.800e-1
0.848, -3.025e-5, -1.563e-5, 4.900e-1
0.849, -3.078e-5, -1.594e-5, 5.000e-1
0.850, -3.037e-5, -1.624e-5, 5.100e-1
0.851, -3.069e-5, -1.655e-5, 5.200e-1
0.852, -3.023e-5, -1.685e-5, 5.300e-1
0.853, -3.057e-5, -1.716e-5, 5.400e-1
0.854, -3.017e-5, -1.746e-5, 5.500e-1
0.855, -3.051e-5, -1.776e-5, 5.600e-1
0.856, -3.001e-5, -1.806e-5, 5.700e-1
0.857, -3.051e-5, -1.837e-5, 5.800e-1
0.858, -2.988e-5, -1.867e-5, 5.900e-1
0.859, -3.008e-5, -1.897e-5, 6.000e-1
0.860, -2.970e-5, -1.927e-5, 6.100e-1
0.861, -3.020e-5, -1.957e-5, 6.200e-1
0.862, -2.982e-5, -1.987e-5, 6.300e-1
0.863, -3.009e-5, -2.017e-5, 6.400e-1
0.864, -2.959e-5, -2.046e-5, 6.500e-1
0.865, -3.008e-5, -2.076e-5, 6.600e-1
0.866, -2.941e-5, -2.106e-5, 6.700e-1
0.867, -2.983e-5, -2.136e-5, 6.800e-1
0.868, -2.945e-5, -2.165e-5, 6.900e-1
0.869, -2.972e-5, -2.195e-5, 7.000e-1
0.870, -2.942e-5, -2.224e-5, 7.100e-1
0.871, -2.979e-5, -2.254e-5, 7.200e-1
0.872, -2.929e-5, -2.283e-5, 7.300e-1
0.873, -2.964e-5, -2.313e-5, 7.400e-1
0.874, -2.939e-5, -2.342e-5, 7.500e-1
