Segment 1:

Segment 2:
Ep = 0.343V
ip = -3.840e-5A
Ah = -3.671e-5C

Segment 3:
Ep = 0.398V
ip = 2.416e-3A
Ah = 2.683e-3C

Ep = 0.942V
ip = 6.259e-6A
Ah = 3.854e-6C

Segment 4:
Ep = 0.346V
ip = -3.135e-5A
Ah = -3.564e-5C

Segment 5:
Ep = 0.399V
ip = 2.466e-3A
Ah = 2.758e-3C

Segment 6:
Ep = 0.345V
ip = -3.109e-5A
Ah = -3.583e-5C

Segment 7:
Ep = 0.398V
ip = 2.467e-3A
Ah = 2.730e-3C

Ep = 0.978V
ip = 2.805e-5A
Ah = 5.055e-6C

Segment 8:
Ep = 0.341V
ip = -3.060e-5A
Ah = -3.623e-5C

Segment 9:
Ep = 0.399V
ip = 2.451e-3A
Ah = 2.745e-3C

Ep = 0.914V
ip = 3.174e-5A
Ah = 3.450e-6C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.323e-5, -3.323e-7, 1.000e-2
0.801, -3.304e-5, -6.627e-7, 2.000e-2
0.802, -3.261e-5, -9.887e-7, 3.000e-2
0.803, -3.254e-5, -1.314e-6, 4.000e-2
0.804, -3.236e-5, -1.638e-6, 5.000e-2
0.805, -3.230e-5, -1.961e-6, 6.000e-2
0.806, -3.211e-5, -2.282e-6, 7.000e-2
0.807, -3.229e-5, -2.605e-6, 8.000e-2
0.808, -3.185e-5, -2.923e-6, 9.000e-2
0.809, -3.207e-5, -3.244e-6, 1.000e-1
0.810, -3.184e-5, -3.562e-6, 1.100e-1
0.811, -3.193e-5, -3.882e-6, 1.200e-1
0.812, -3.150e-5, -4.197e-6, 1.300e-1
0.813, -3.151e-5, -4.512e-6, 1.400e-1
0.814, -3.171e-5, -4.829e-6, 1.500e-1
0.815, -3.167e-5, -5.146e-6, 1.600e-1
0.816, -3.133e-5, -5.459e-6, 1.700e-1
0.817, -3.145e-5, -5.773e-6, 1.800e-1
0.818, -3.123e-5, -6.086e-6, 1.900e-1
0.819, -3.133e-5, -6.399e-6, 2.000e-1
0.820, -3.120e-5, -6.711e-6, 2.100e-1
0.821, -3.114e-5, -7.022e-6, 2.200e-1
0.822, -3.103e-5, -7.333e-6, 2.300e-1
0.823, -3.118e-5, -7.645e-6, 2.400e-1
0.824, -3.101e-5, -7.955e-6, 2.500e-1
0.825, -3.092e-5, -8.264e-6, 2.600e-1
0.826, -3.100e-5, -8.574e-6, 2.700e-1
0.827, -3.092e-5, -8.883e-6, 2.800e-1
0.828, -3.085e-5, -9.191e-6, 2.900e-1
0.829, -3.074e-5, -9.499e-6, 3.000e-1
0.830, -3.056e-5, -9.805e-6, 3.100e-1
0.831, -3.095e-5, -1.011e-5, 3.200e-1
0.832, -3.058e-5, -1.042e-5, 3.300e-1
0.833, -3.076e-5, -1.073e-5, 3.400e-1
0.834, -3.046e-5, -1.103e-5, 3.500e-1
0.835, -3.060e-5, -1.134e-5, 3.600e-1
0.836, -3.040e-5, -1.164e-5, 3.700e-1
0.837, -3.047e-5, -1.195e-5, 3.800e-1
0.838, -3.048e-5, -1.225e-5, 3.900e-1
0.839, -3.045e-5, -1.256e-5, 4.000e-1
0.840, -3.028e-5, -1.286e-5, 4.100e-1
0.841, -3.047e-5, -1.316e-5, 4.200e-1
0.842, -3.045e-5, -1.347e-5, 4.300e-1
0.843, -3.010e-5, -1.377e-5, 4.400e-1
0.844, -3.011e-5, -1.407e-5, 4.500e-1
0.845, -3.022e-5, -1.437e-5, 4.600e-1
