Segment 1:

Segment 2:
Ep = 0.368V
ip = -4.543e-5A
Ah = -3.470e-5C

Segment 3:
Ep = 0.412V
ip = 2.399e-3A
Ah = 2.565e-3C

Segment 4:
Ep = 0.382V
ip = -3.845e-5A
Ah = -3.266e-5C

Segment 5:
Ep = 0.413V
ip = 2.407e-3A
Ah = 2.624e-3C

Ep = 0.983V
ip = 1.283e-5A
Ah = 9.484e-6C

Segment 6:
Ep = 0.383V
ip = -3.804e-5A
Ah = -3.149e-5C

Segment 7:
Ep = 0.414V
ip = 2.402e-3A
Ah = 2.673e-3C

Segment 8:
Ep = 0.384V
ip = -3.707e-5A
Ah = -2.992e-5C

Segment 9:
Ep = 0.414V
ip = 2.435e-3A
Ah = 2.671e-3C

Ep = 1.034V
ip = 5.615e-6A
Ah = 6.673e-6C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.461e-5, -3.461e-7, 1.000e-2
0.801, -3.461e-5, -6.922e-7, 2.000e-2
0.802, -3.407e-5, -1.033e-6, 3.000e-2
0.803, -3.425e-5, -1.375e-6, 4.000e-2
0.804, -3.394e-5, -1.715e-6, 5.000e-2
0.805, -3.392e-5, -2.054e-6, 6.000e-2
0.806, -3.376e-5, -2.392e-6, 7.000e-2
0.807, -3.360e-5, -2.728e-6, 8.000e-2
0.808, -3.363e-5, -3.064e-6, 9.000e-2
0.809, -3.356e-5, -3.400e-6, 1.000e-1
0.810, -3.345e-5, -3.734e-6, 1.100e-1
0.811, -3.363e-5, -4.070e-6, 1.200e-1
0.812, -3.322e-5, -4.403e-6, 1.300e-1
0.813, -3.322e-5, -4.735e-6, 1.400e-1
0.814, -3.308e-5, -5.066e-6, 1.500e-1
0.815, -3.322e-5, -5.398e-6, 1.600e-1
0.816, -3.298e-5, -5.728e-6, 1.700e-1
0.817, -3.327e-5, -6.060e-6, 1.800e-1
0.818, -3.291e-5, -6.389e-6, 1.900e-1
0.819, -3.318e-5, -6.721e-6, 2.000e-1
0.820, -3.274e-5, -7.049e-6, 2.100e-1
0.821, -3.275e-5, -7.376e-6, 2.200e-1
