Segment 1:

Segment 2:
Ep = 0.354V
ip = -4.519e-5A
Ah = -3.682e-5C

Segment 3:
Ep = 0.407V
ip = 2.477e-3A
Ah = 2.665e-3C

Segment 4:
Ep = 0.376V
ip = -3.546e-5A
Ah = -3.060e-5C

Segment 5:
Ep = 0.408V
ip = 2.457e-3A
Ah = 2.785e-3C

Segment 6:
Ep = 0.372V
ip = -3.434e-5A
Ah = -3.095e-5C

Segment 7:
Ep = 0.408V
ip = 2.438e-3A
Ah = 2.772e-3C

Segment 8:
Ep = 0.372V
ip = -3.476e-5A
Ah = -3.165e-5C

Segment 9:
Ep = 0.406V
ip = 2.451e-3A
Ah = 2.727e-3C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.283e-5, -3.283e-7, 1.000e-2
0.801, -3.224e-5, -6.508e-7, 2.000e-2
0.802, -3.225e-5, -9.733e-7, 3.000e-2
0.803, -3.182e-5, -1.292e-6, 4.000e-2
0.804, -3.237e-5, -1.615e-6, 5.000e-2
0.805, -3.150e-5, -1.930e-6, 6.000e-2
0.806, -3.200e-5, -2.250e-6, 7.000e-2
0.807, -3.152e-5, -2.566e-6, 8.000e-2
0.808, -3.184e-5, -2.884e-6, 9.000e-2
0.809, -3.120e-5, -3.196e-6, 1.000e-1
0.810, -3.161e-5, -3.512e-6, 1.100e-1
0.811, -3.110e-5, -3.823e-6, 1.200e-1
0.812, -3.153e-5, -4.138e-6, 1.300e-1
0.813, -3.087e-5, -4.447e-6, 1.400e-1
0.814, -3.144e-5, -4.761e-6, 1.500e-1
0.815, -3.087e-5, -5.070e-6, 1.600e-1
0.816, -3.122e-5, -5.382e-6, 1.700e-1
0.817, -3.075e-5, -5.690e-6, 1.800e-1
0.818, -3.119e-5, -6.002e-6, 1.900e-1
0.819, -3.071e-5, -6.309e-6, 2.000e-1
0.820, -3.101e-5, -6.619e-6, 2.100e-1
0.821, -3.038e-5, -6.923e-6, 2.200e-1
0.822, -3.080e-5, -7.231e-6, 2.300e-1
0.823, -3.032e-5, -7.534e-6, 2.400e-1
0.824, -3.090e-5, -7.843e-6, 2.500e-1
0.825, -3.020e-5, -8.145e-6, 2.600e-1
0.826, -3.058e-5, -8.451e-6, 2.700e-1
0.827, -3.010e-5, -8.752e-6, 2.800e-1
0.828, -3.055e-5, -9.057e-6, 2.900e-1
0.829, -2.985e-5, -9.356e-6, 3.000e-1
0.830, -3.049e-5, -9.661e-6, 3.100e-1
0.831, -3.002e-5, -9.961e-6, 3.200e-1
0.832, -3.047e-5, -1.027e-5, 3.300e-1
0.833, -2.981e-5, -1.056e-5, 3.400e-1
0.834, -3.018e-5, -1.087e-5, 3.500e-1
0.835, -2.998e-5, -1.117e-5, 3.600e-1
0.836, -3.011e-5, -1.147e-5, 3.700e-1
0.837, -2.952e-5, -1.176e-5, 3.800e-1
0.838, -3.003e-5, -1.206e-5, 3.900e-1
0.839, -2.959e-5, -1.236e-5, 4.000e-1
0.840, -2.993e-5, -1.266e-5, 4.100e-1
0.841, -2.935e-5, -1.295e-5, 4.200e-1
0.842, -2.987e-5, -1.325e-5, 4.300e-1
0.843, -2.948e-5, -1.354e-5, 4.400e-1
0.844, -2.984e-5, -1.384e-5, 4.500e-1
0.845, -2.926e-5, -1.413e-5, 4.600e-1
0.846, -2.969e-5, -1.443e-5, 4.700e-1
0.847, -2.927e-5, -1.472e-5, 4.800e-1
0.848, -2.963e-5, -1.502e-5, 4.900e-1
0.849, -2.914e-5, -1.531e-5, 5.000e-1
0.850, -2.962e-5, -1.561e-5, 5.100e-1
0.851, -2.905e-5, -1.590e-5, 5.200e-1
0.852, -2.944e-5, -1.619e-5, 5.300e-1
