Segment 1:

Segment 2:
Ep = 0.404V
ip = -5.527e-5A
Ah = -3.837e-5C

Segment 3:

Segment 4:
Ep = 0.421V
ip = -4.637e-5A
Ah = -3.852e-5C

Segment 5:
Ep = 0.516V
ip = 1.821e-3A
Ah = 2.379e-3C

Segment 6:
Ep = 0.425V
ip = -4.609e-5A
Ah = -3.549e-5C

Segment 7:
Ep = 0.515V
ip = 1.814e-3A
Ah = 2.314e-3C

Segment 8:
Ep = 0.422V
ip = -4.629e-5A
Ah = -3.761e-5C

Segment 9:
Ep = 1.088V
ip = 4.075e-5A
Ah = 6.096e-7C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.750e-5, -3.750e-7, 1.000e-2
0.801, -3.640e-5, -7.390e-7, 2.000e-2
0.802, -3.672e-5, -1.106e-6, 3.000e-2
0.803, -3.594e-5, -1.466e-6, 4.000e-2
0.804, -3.636e-5, -1.829e-6, 5.000e-2
0.805, -3.540e-5, -2.183e-6, 6.000e-2
0.806, -3.589e-5, -2.542e-6, 7.000e-2
0.807, -3.505e-5, -2.893e-6, 8.000e-2
0.808, -3.553e-5, -3.248e-6, 9.000e-2
0.809, -3.489e-5, -3.597e-6, 1.000e-1
0.810, -3.527e-5, -3.949e-6, 1.100e-1
0.811, -3.471e-5, -4.297e-6, 1.200e-1
0.812, -3.507e-5, -4.647e-6, 1.300e-1
0.813, -3.431e-5, -4.990e-6, 1.400e-1
0.814, -3.482e-5, -5.339e-6, 1.500e-1
0.815, -3.437e-5, -5.682e-6, 1.600e-1
0.816, -3.464e-5, -6.029e-6, 1.700e-1
0.817, -3.398e-5, -6.369e-6, 1.800e-1
0.818, -3.444e-5, -6.713e-6, 1.900e-1
0.819, -3.368e-5, -7.050e-6, 2.000e-1
0.820, -3.421e-5, -7.392e-6, 2.100e-1
0.821, -3.349e-5, -7.727e-6, 2.200e-1
0.822, -3.394e-5, -8.066e-6, 2.300e-1
0.823, -3.334e-5, -8.399e-6, 2.400e-1
0.824, -3.422e-5, -8.742e-6, 2.500e-1
0.825, -3.325e-5, -9.074e-6, 2.600e-1
0.826, -3.356e-5, -9.410e-6, 2.700e-1
0.827, -3.309e-5, -9.741e-6, 2.800e-1
0.828, -3.369e-5, -1.008e-5, 2.900e-1
0.829, -3.302e-5, -1.041e-5, 3.000e-1
0.830, -3.332e-5, -1.074e-5, 3.100e-1
0.831, -3.278e-5, -1.107e-5, 3.200e-1
0.832, -3.308e-5, -1.140e-5, 3.300e-1
0.833, -3.253e-5, -1.172e-5, 3.400e-1
0.834, -3.291e-5, -1.205e-5, 3.500e-1
0.835, -3.236e-5, -1.238e-5, 3.600e-1
0.836, -3.279e-5, -1.271e-5, 3.700e-1
0.837, -3.229e-5, -1.303e-5, 3.800e-1
0.838, -3.278e-5, -1.336e-5, 3.900e-1
0.839, -3.202e-5, -1.368e-5, 4.000e-1
0.840, -3.258e-5, -1.400e-5, 4.100e-1
0.841, -3.185e-5, -1.432e-5, 4.200e-1
0.842, -3.250e-5, -1.465e-5, 4.300e-1
0.843, -3.171e-5, -1.496e-5, 4.400e-1
0.844, -3.241e-5, -1.529e-5, 4.500e-1
0.845, -3.174e-5, -1.560e-5, 4.600e-1
