Segment 1:

Segment 2:

Segment 3:
Ep = 0.404V
ip = 2.424e-3A
Ah = 2.658e-3C

Segment 4:

Segment 5:
Ep = 0.405V
ip = 2.431e-3A
Ah = 2.656e-3C

Segment 6:

Segment 7:
Ep = 0.409V
ip = 2.414e-3A
Ah = 2.785e-3C

Segment 8:

Segment 9:
Ep = 0.406V
ip = 2.477e-3A
Ah = 2.714e-3C

Ep = 0.898V
ip = 6.131e-6A
Ah = 2.285e-6C

Ep = 1.367V
ip = 4.798e-5A
Ah = 8.602e-6C

Potential/V, Current/A, Charge/C, Time/s

0.800, -5.040e-5, -5.040e-7, 1.000e-2
0.801, -4.967e-5, -1.001e-6, 2.000e-2
0.802, -4.944e-5, -1.495e-6, 3.000e-2
0.803, -4.901e-5, -1.985e-6, 4.000e-2
0.804, -4.896e-5, -2.475e-6, 5.000e-2
0.805, -4.892e-5, -2.964e-6, 6.000e-2
0.806, -4.877e-5, -3.452e-6, 7.000e-2
0.807, -4.852e-5, -3.937e-6, 8.000e-2
0.808, -4.828e-5, -4.420e-6, 9.000e-2
0.809, -4.829e-5, -4.903e-6, 1.000e-1
0.810, -4.832e-5, -5.386e-6, 1.100e-1
0.811, -4.812e-5, -5.867e-6, 1.200e-1
0.812, -4.799e-5, -6.347e-6, 1.300e-1
0.813, -4.790e-5, -6.826e-6, 1.400e-1
0.814, -4.787e-5, -7.305e-6, 1.500e-1
0.815, -4.768e-5, -7.781e-6, 1.600e-1
0.816, -4.773e-5, -8.259e-6, 1.700e-1
0.817, -4.757e-5, -8.734e-6, 1.800e-1
0.818, -4.746e-5, -9.209e-6, 1.900e-1
0.819, -4.738e-5, -9.683e-6, 2.000e-1
0.820, -4.717e-5, -1.015e-5, 2.100e-1
0.821, -4.690e-5, -1.062e-5, 2.200e-1
0.822, -4.707e-5, -1.109e-5, 2.300e-1
0.823, -4.699e-5, -1.156e-5, 2.400e-1
0.824, -4.706e-5, -1.203e-5, 2.500e-1
0.825, -4.672e-5, -1.250e-5, 2.600e-1
0.826, -4.659e-5, -1.297e-5, 2.700e-1
0.827, -4.668e-5, -1.343e-5, 2.800e-1
0.828, -4.661e-5, -1.390e-5, 2.900e-1
0.829, -4.656e-5, -1.437e-5, 3.000e-1
0.830, -4.645e-5, -1.483e-5, 3.100e-1
0.831, -4.626e-5, -1.529e-5, 3.200e-1
0.832, -4.635e-5, -1.576e-5, 3.300e-1
0.833, -4.625e-5, -1.622e-5, 3.400e-1
0.834, -4.617e-5, -1.668e-5, 3.500e-1
0.835, -4.609e-5, -1.714e-5, 3.600e-1
0.836, -4.589e-5, -1.760e-5, 3.700e-1
0.837, -4.567e-5, -1.806e-5, 3.800e-1
0.838, -4.572e-5, -1.851e-5, 3.900e-1
0.839, -4.571e-5, -1.897e-5, 4.000e-1
0.840, -4.572e-5, -1.943e-5, 4.100e-1
0.841, -4.546e-5, -1.988e-5, 4.200e-1
0.842, -4.543e-5, -2.034e-5, 4.300e-1
0.843, -4.535e-5, -2.079e-5, 4.400e-1
0.844, -4.538e-5, -2.124e-5, 4.500e-1
0.845, -4.529e-5, -2.170e-5, 4.600e-1
0.846, -4.538e-5, -2.215e-5, 4.700e-1
0.847, -4.510e-5, -2.260e-5, 4.800e-1
0.848, -4.520e-5, -2.305e-5, 4.900e-1
0.849, -4.505e-5, -2.351e-5, 5.000e-1
0.850, -4.495e-5, -2.395e-5, 5.100e-1
0.851, -4.467e-5, -2.440e-5, 5.200e-1
0.852, -4.474e-5, -2.485e-5, 5.300e-1
0.853, -4.475e-5, -2.530e-5, 5.400e-1
0.854, -4.468e-5, -2.574e-5, 5.500e-1
0.855, -4.450e-5, -2.619e-5, 5.600e-1
0.856, -4.446e-5, -2.663e-5, 5.700e-1
0.857, -4.440e-5, -2.708e-5, 5.800e-1
0.858, -4.438e-5, -2.752e-5, 5.900e-1
