Segment 1:

Segment 2:
Ep = 0.341V
ip = -5.435e-5A
Ah = -4.383e-5C

Segment 3:
Ep = 0.417V
ip = 2.266e-3A
Ah = 2.487e-3C

Segment 4:
Ep = 0.373V
ip = -4.121e-5A
Ah = -3.638e-5C

Segment 5:
Ep = 0.420V
ip = 2.236e-3A
Ah = 2.527e-3C

Ep = 0.975V
ip = 1.369e-5A
Ah = 8.803e-6C

Segment 6:
Ep = 0.383V
ip = -4.402e-5A
Ah = -3.663e-5C

Segment 7:
Ep = 0.424V
ip = 2.126e-3A
Ah = 2.491e-3C

Ep = 1.011V
ip = 1.589e-5A
Ah = 9.221e-6C

Segment 8:
Ep = 0.382V
ip = -4.480e-5A
Ah = -3.706e-5C

Segment 9:
Ep = 0.421V
ip = 2.223e-3A
Ah = 2.460e-3C

Ep = 1.088V
ip = 7.341e-6A
Ah = 3.130e-7C

Potential/V, Current/A, Charge/C, Time/s

0.800, -5.113e-5, -5.113e-7, 1.000e-2
0.801, -5.105e-5, -1.022e-6, 2.000e-2
0.802, -5.006e-5, -1.522e-6, 3.000e-2
0.803, -5.044e-5, -2.027e-6, 4.000e-2
0.804, -4.969e-5, -2.524e-6, 5.000e-2
0.805, -4.989e-5, -3.023e-6, 6.000e-2
0.806, -4.929e-5, -3.515e-6, 7.000e-2
0.807, -4.984e-5, -4.014e-6, 8.000e-2
0.808, -4.916e-5, -4.505e-6, 9.000e-2
0.809, -4.939e-5, -4.999e-6, 1.000e-1
0.810, -4.876e-5, -5.487e-6, 1.100e-1
0.811, -4.919e-5, -5.979e-6, 1.200e-1
0.812, -4.860e-5, -6.465e-6, 1.300e-1
0.813, -4.899e-5, -6.955e-6, 1.400e-1
0.814, -4.821e-5, -7.437e-6, 1.500e-1
0.815, -4.866e-5, -7.923e-6, 1.600e-1
0.816, -4.797e-5, -8.403e-6, 1.700e-1
0.817, -4.844e-5, -8.888e-6, 1.800e-1
0.818, -4.760e-5, -9.363e-6, 1.900e-1
0.819, -4.822e-5, -9.846e-6, 2.000e-1
0.820, -4.729e-5, -1.032e-5, 2.100e-1
0.821, -4.780e-5, -1.080e-5, 2.200e-1
0.822, -4.686e-5, -1.127e-5, 2.300e-1
0.823, -4.743e-5, -1.174e-5, 2.400e-1
0.824, -4.679e-5, -1.221e-5, 2.500e-1
0.825, -4.713e-5, -1.268e-5, 2.600e-1
0.826, -4.647e-5, -1.314e-5, 2.700e-1
0.827, -4.699e-5, -1.361e-5, 2.800e-1
0.828, -4.632e-5, -1.408e-5, 2.900e-1
0.829, -4.685e-5, -1.454e-5, 3.000e-1
0.830, -4.617e-5, -1.501e-5, 3.100e-1
0.831, -4.654e-5, -1.547e-5, 3.200e-1
0.832, -4.588e-5, -1.593e-5, 3.300e-1
0.833, -4.628e-5, -1.639e-5, 3.400e-1
0.834, -4.584e-5, -1.685e-5, 3.500e-1
0.835, -4.593e-5, -1.731e-5, 3.600e-1
0.836, -4.540e-5, -1.777e-5, 3.700e-1
0.837, -4.570e-5, -1.822e-5, 3.800e-1
0.838, -4.504e-5, -1.867e-5, 3.900e-1
0.839, -4.564e-5, -1.913e-5, 4.000e-1
0.840, -4.511e-5, -1.958e-5, 4.100e-1
0.841, -4.537e-5, -2.003e-5, 4.200e-1
0.842, -4.467e-5, -2.048e-5, 4.300e-1
0.843, -4.514e-5, -2.093e-5, 4.400e-1
0.844, -4.434e-5, -2.138e-5, 4.500e-1
0.845, -4.502e-5, -2.183e-5, 4.600e-1
0.846, -4.415e-5, -2.227e-5, 4.700e-1
0.847, -4.441e-5, -2.271e-5, 4.800e-1
0.848, -4.402e-5, -2.315e-5, 4.900e-1
0.849, -4.451e-5, -2.360e-5, 5.000e-1
0.850, -4.371e-5, -2.403e-5, 5.100e-1
0.851, -4.433e-5, -2.448e-5, 5.200e-1
0.852, -4.342e-5, -2.491e-5, 5.300e-1
0.853, -4.397e-5, -2.535e-5, 5.400e-1
0.854, -4.327e-5, -2.578e-5, 5.500e-1
0.855, -4.372e-5, -2.622e-5, 5.600e-1
0.856, -4.295e-5, -2.665e-5, 5.700e-1
0.857, -4.343e-5, -2.708e-5, 5.800e-1
0.858, -4.282e-5, -2.751e-5, 5.900e-1
0.859, -4.322e-5, -2.794e-5, 6.000e-1
0.860, -4.264e-5, -2.837e-5, 6.100e-1
0.861, -4.300e-5, -2.880e-5, 6.200e-1
0.862, -4.246e-5, -2.923e-5, 6.300e-1
0.863, -4.290e-5, -2.965e-5, 6.400e-1
0.864, -4.220e-5, -3.008e-5, 6.500e-1
0.865, -4.260e-5, -3.050e-5, 6.600e-1
0.866, -4.172e-5, -3.092e-5, 6.700e-1
0.867, -4.228e-5, -3.134e-5, 6.800e-1
0.868, -4.194e-5, -3.176e-5, 6.900e-1
0.869, -4.211e-5, -3.218e-5, 7.000e-1
0.870, -4.159e-5, -3.260e-5, 7.100e-1
0.871, -4.193e-5, -3.302e-5, 7.200e-1
0.872, -4.116e-5, -3.343e-5, 7.300e-1
0.873, -4.182e-5, -3.385e-5, 7.400e-1
0.874, -4.096e-5, -3.426e-5, 7.500e-1
0.875, -4.137e-5, -3.467e-5, 7.600e-1
0.876, -4.079e-5, -3.508e-5, 7.700e-1
0.877, -4.136e-5, -3.549e-5, 7.800e-1
0.878, -4.073e-5, -3.590e-5, 7.900e-1
0.879, -4.103e-5, -3.631e-5, 8.000e-1
0.880, -4.018e-5, -3.671e-5, 8.100e-1
0.881, -4.077e-5, -3.712e-5, 8.200e-1
0.882, -4.022e-5, -3.752e-5, 8.300e-1
0.883, -4.084e-5, -3.793e-5, 8.400e-1
0.884, -4.016e-5, -3.833e-5, 8.500e-1
0.885, -4.025e-5, -3.873e-5, 8.600e-1
0.886, -3.964e-5, -3.913e-5, 8.700e-1
0.887, -4.019e-5, -3.953e-5, 8.800e-1
0.888, -3.949e-5, -3.993e-5, 8.900e-1
0.889, -4.006e-5, -4.033e-5, 9.000e-1
0.890, -3.938e-5, -4.072e-5, 9.100e-1
0.891, -3.984e-5, -4.112e-5, 9.200e-1
0.892, -3.897e-5, -4.151e-5, 9.300e-1
0.893, -3.968e-5, -4.191e-5, 9.400e-1
0.894, -3.894e-5, -4.230e-5, 9.500e-1
0.895, -3.953e-5, -4.269e-5, 9.600e-1
0.896, -3.883e-5, -4.308e-5, 9.700e-1
0.897, -3.906e-5, -4.347e-5, 9.800e-1
0.898, -3.876e-5, -4.386e-5, 9.900e-1
0.899, -3.897e-5, -4.425e-5, 1.000e+0
0.900, -3.829e-5, -4.463e-5, 1.010e+0
0.901, -3.875e-5, -4.502e-5, 1.020e+0
0.902, -3.787e-5, -4.540e-5, 1.030e+0
0.903, -3.872e-5, -4.578e-5, 1.040e+0
0.904, -3.793e-5, -4.616e-5, 1.050e+0
0.905, -3.833e-5, -4.655e-5, 1.060e+0
0.906, -3.786e-5, -4.693e-5, 1.070e+0
0.907, -3.839e-5, -4.731e-5, 1.080e+0
0.908, -3.774e-5, -4.769e-5, 1.090e+0
0.909, -3.810e-5, -4.807e-5, 1.100e+0
0.910, -3.730e-5, -4.844e-5, 1.110e+0
0.911, -3.785e-5, -4.882e-5, 1.120e+0
0.912, -3.734e-5, -4.919e-5, 1.130e+0
0.913, -3.756e-5, -4.957e-5, 1.140e+0
0.914, -3.689e-5, -4.994e-5, 1.150e+0
0.915, -3.745e-5, -5.031e-5, 1.160e+0
0.916, -3.693e-5, -5.068e-5, 1.170e+0
0.917, -3.725e-5, -5.105e-5, 1.180e+0
0.918, -3.659e-5, -5.142e-5, 1.190e+0
0.919, -3.721e-5, -5.179e-5, 1.200e+0
0.920, -3.664e-5, -5.216e-5, 1.210e+0
0.921, -3.693e-5, -5.253e-5, 1.220e+0
0.922, -3.620e-5, -5.289e-5, 1.230e+0
0.923, -3.689e-5, -5.326e-5, 1.240e+0
0.924, -3.624e-5, -5.362e-5, 1.250e+0
0.925, -3.665e-5, -5.399e-5, 1.260e+0
0.926, -3.589e-5, -5.435e-5, 1.270e+0
0.927, -3.656e-5, -5.471e-5, 1.280e+0
0.928, -3.586e-5, -5.507e-5, 1.290e+0
0.929, -3.618e-5, -5.543e-5, 1.300e+0
0.930, -3.575e-5, -5.579e-5, 1.310e+0
0.931, -3.635e-5, -5.615e-5, 1.320e+0
0.932, -3.550e-5, -5.651e-5, 1.330e+0
0.933, -3.592e-5, -5.687e-5, 1.340e+0
0.934, -3.557e-5, -5.722e-5, 1.350e+0
0.935, -3.599e-5, -5.758e-5, 1.360e+0
0.936, -3.512e-5, -5.793e-5, 1.370e+0
0.937, -3.565e-5, -5.829e-5, 1.380e+0
0.938, -3.504e-5, -5.864e-5, 1.390e+0
0.939, -3.541e-5, -5.899e-5, 1.400e+0
0.940, -3.487e-5, -5.934e-5, 1.410e+0
0.941, -3.538e-5, -5.970e-5, 1.420e+0
0.942, -3.463e-5, -6.004e-5, 1.430e+0
0.943, -3.531e-5, -6.040e-5, 1.440e+0
0.944, -3.478e-5, -6.074e-5, 1.450e+0
0.945, -3.514e-5, -6.110e-5, 1.460e+0
0.946, -3.440e-5, -6.144e-5, 1.470e+0
0.947, -3.503e-5, -6.179e-5, 1.480e+0
0.948, -3.433e-5, -6.213e-5, 1.490e+0
0.949, -3.477e-5, -6.248e-5, 1.500e+0
0.950, -3.423e-5, -6.282e-5, 1.510e+0
0.951, -3.458e-5, -6.317e-5, 1.520e+0
0.952, -3.399e-5, -6.351e-5, 1.530e+0
0.953, -3.479e-5, -6.386e-5, 1.540e+0
0.954, -3.385e-5, -6.420e-5, 1.550e+0
0.955, -3.447e-5, -6.454e-5, 1.560e+0
0.956, -3.376e-5, -6.488e-5, 1.570e+0
0.957, -3.416e-5, -6.522e-5, 1.580e+0
0.958, -3.361e-5, -6.556e-5, 1.590e+0
0.959, -3.429e-5, -6.590e-5, 1.600e+0
0.960, -3.340e-5, -6.623e-5, 1.610e+0
0.961, -3.397e-5, -6.657e-5, 1.620e+0
0.962, -3.351e-5, -6.691e-5, 1.630e+0
0.963, -3.393e-5, -6.725e-5, 1.640e+0
0.964, -3.343e-5, -6.758e-5, 1.650e+0
0.965, -3.383e-5, -6.792e-5, 1.660e+0
0.966, -3.297e-5, -6.825e-5, 1.670e+0
0.967, -3.356e-5, -6.858e-5, 1.680e+0
0.968, -3.295e-5, -6.891e-5, 1.690e+0
0.969, -3.341e-5, -6.925e-5, 1.700e+0
0.970, -3.287e-5, -6.958e-5, 1.710e+0
0.971, -3.332e-5, -6.991e-5, 1.720e+0
0.972, -3.277e-5, -7.024e-5, 1.730e+0
