Segment 1:

Segment 2:
Ep = 0.359V
ip = -4.799e-5A
Ah = -3.715e-5C

Segment 3:
Ep = 0.409V
ip = 2.514e-3A
Ah = 2.642e-3C

Segment 4:
Ep = 0.369V
ip = -3.681e-5A
Ah = -3.421e-5C

Segment 5:
Ep = 0.408V
ip = 2.546e-3A
Ah = 2.692e-3C

Segment 6:
Ep = 0.373V
ip = -3.699e-5A
Ah = -3.307e-5C

Segment 7:
Ep = 0.407V
ip = 2.598e-3A
Ah = 2.761e-3C

Segment 8:
Ep = 0.376V
ip = -3.706e-5A
Ah = -3.159e-5C

Segment 9:
Ep = 0.409V
ip = 2.527e-3A
Ah = 2.757e-3C

Ep = 1.106V
ip = 1.544e-6A
Ah = 3.502e-7C

Potential/V, Current/A, Charge/C, Time/s

0.800, -4.274e-5, -4.274e-7, 1.000e-2
0.801, -4.294e-5, -8.568e-7, 2.000e-2
0.802, -4.218e-5, -1.279e-6, 3.000e-2
0.803, -4.229e-5, -1.702e-6, 4.000e-2
0.804, -4.188e-5, -2.120e-6, 5.000e-2
0.805, -4.200e-5, -2.540e-6, 6.000e-2
0.806, -4.149e-5, -2.955e-6, 7.000e-2
0.807, -4.197e-5, -3.375e-6, 8.000e-2
0.808, -4.158e-5, -3.791e-6, 9.000e-2
0.809, -4.164e-5, -4.207e-6, 1.000e-1
0.810, -4.136e-5, -4.621e-6, 1.100e-1
0.811, -4.178e-5, -5.038e-6, 1.200e-1
0.812, -4.123e-5, -5.451e-6, 1.300e-1
0.813, -4.128e-5, -5.864e-6, 1.400e-1
0.814, -4.120e-5, -6.276e-6, 1.500e-1
0.815, -4.143e-5, -6.690e-6, 1.600e-1
0.816, -4.095e-5, -7.099e-6, 1.700e-1
0.817, -4.112e-5, -7.511e-6, 1.800e-1
0.818, -4.052e-5, -7.916e-6, 1.900e-1
0.819, -4.104e-5, -8.326e-6, 2.000e-1
0.820, -4.059e-5, -8.732e-6, 2.100e-1
0.821, -4.072e-5, -9.139e-6, 2.200e-1
0.822, -4.048e-5, -9.544e-6, 2.300e-1
0.823, -4.091e-5, -9.953e-6, 2.400e-1
0.824, -4.068e-5, -1.036e-5, 2.500e-1
0.825, -4.074e-5, -1.077e-5, 2.600e-1
0.826, -4.046e-5, -1.117e-5, 2.700e-1
0.827, -4.073e-5, -1.158e-5, 2.800e-1
0.828, -4.037e-5, -1.198e-5, 2.900e-1
0.829, -4.053e-5, -1.239e-5, 3.000e-1
0.830, -4.036e-5, -1.279e-5, 3.100e-1
0.831, -4.043e-5, -1.320e-5, 3.200e-1
0.832, -4.016e-5, -1.360e-5, 3.300e-1
0.833, -4.021e-5, -1.400e-5, 3.400e-1
0.834, -4.001e-5, -1.440e-5, 3.500e-1
0.835, -4.040e-5, -1.480e-5, 3.600e-1
0.836, -3.994e-5, -1.520e-5, 3.700e-1
0.837, -4.027e-5, -1.561e-5, 3.800e-1
0.838, -3.977e-5, -1.600e-5, 3.900e-1
0.839, -4.007e-5, -1.640e-5, 4.000e-1
0.840, -3.964e-5, -1.680e-5, 4.100e-1
0.841, -4.008e-5, -1.720e-5, 4.200e-1
0.842, -3.955e-5, -1.760e-5, 4.300e-1
0.843, -3.992e-5, -1.800e-5, 4.400e-1
0.844, -3.944e-5, -1.839e-5, 4.500e-1
0.845, -3.994e-5, -1.879e-5, 4.600e-1
0.846, -3.955e-5, -1.919e-5, 4.700e-1
0.847, -3.973e-5, -1.958e-5, 4.800e-1
0.848, -3.933e-5, -1.998e-5, 4.900e-1
0.849, -3.963e-5, -2.037e-5, 5.000e-1
