Segment 1:

Segment 2:
Ep = 0.306V
ip = -3.155e-5A
Ah = -4.066e-5C

Segment 3:
Ep = 0.393V
ip = 2.232e-3A
Ah = 2.608e-3C

Ep = 0.936V
ip = 2.537e-5A
Ah = 4.140e-6C

Segment 4:

Segment 5:
Ep = 0.392V
ip = 2.324e-3A
Ah = 2.610e-3C

Segment 6:

Segment 7:
Ep = 0.390V
ip = 2.369e-3A
Ah = 2.559e-3C

Segment 8:
Ep = 0.334V
ip = -2.514e-5A
Ah = -3.273e-5C

Segment 9:
Ep = 0.393V
ip = 2.387e-3A
Ah = 2.654e-3C

Ep = 1.149V
ip = 6.397e-6A
Ah = 2.035e-6C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.309e-5, -3.309e-7, 1.000e-2
0.801, -3.285e-5, -6.595e-7, 2.000e-2
0.802, -3.247e-5, -9.841e-7, 3.000e-2
0.803, -3.224e-5, -1.307e-6, 4.000e-2
0.804, -3.234e-5, -1.630e-6, 5.000e-2
0.805, -3.212e-5, -1.951e-6, 6.000e-2
0.806, -3.192e-5, -2.270e-6, 7.000e-2
0.807, -3.185e-5, -2.589e-6, 8.000e-2
0.808, -3.191e-5, -2.908e-6, 9.000e-2
0.809, -3.174e-5, -3.225e-6, 1.000e-1
0.810, -3.142e-5, -3.540e-6, 1.100e-1
0.811, -3.146e-5, -3.854e-6, 1.200e-1
0.812, -3.146e-5, -4.169e-6, 1.300e-1
0.813, -3.133e-5, -4.482e-6, 1.400e-1
0.814, -3.125e-5, -4.795e-6, 1.500e-1
0.815, -3.114e-5, -5.106e-6, 1.600e-1
0.816, -3.108e-5, -5.417e-6, 1.700e-1
0.817, -3.090e-5, -5.726e-6, 1.800e-1
0.818, -3.105e-5, -6.036e-6, 1.900e-1
0.819, -3.095e-5, -6.346e-6, 2.000e-1
0.820, -3.108e-5, -6.657e-6, 2.100e-1
0.821, -3.090e-5, -6.966e-6, 2.200e-1
0.822, -3.087e-5, -7.274e-6, 2.300e-1
0.823, -3.068e-5, -7.581e-6, 2.400e-1
0.824, -3.053e-5, -7.887e-6, 2.500e-1
0.825, -3.055e-5, -8.192e-6, 2.600e-1
0.826, -3.052e-5, -8.497e-6, 2.700e-1
0.827, -3.035e-5, -8.801e-6, 2.800e-1
0.828, -3.045e-5, -9.105e-6, 2.900e-1
0.829, -3.027e-5, -9.408e-6, 3.000e-1
0.830, -3.051e-5, -9.713e-6, 3.100e-1
0.831, -3.006e-5, -1.001e-5, 3.200e-1
0.832, -3.013e-5, -1.031e-5, 3.300e-1
0.833, -3.012e-5, -1.062e-5, 3.400e-1
0.834, -3.002e-5, -1.092e-5, 3.500e-1
0.835, -2.997e-5, -1.122e-5, 3.600e-1
0.836, -3.006e-5, -1.152e-5, 3.700e-1
0.837, -2.968e-5, -1.181e-5, 3.800e-1
0.838, -2.993e-5, -1.211e-5, 3.900e-1
0.839, -2.972e-5, -1.241e-5, 4.000e-1
0.840, -2.955e-5, -1.271e-5, 4.100e-1
0.841, -2.939e-5, -1.300e-5, 4.200e-1
0.842, -2.963e-5, -1.330e-5, 4.300e-1
0.843, -2.949e-5, -1.359e-5, 4.400e-1
0.844, -2.940e-5, -1.388e-5, 4.500e-1
0.845, -2.947e-5, -1.418e-5, 4.600e-1
0.846, -2.935e-5, -1.447e-5, 4.700e-1
0.847, -2.954e-5, -1.477e-5, 4.800e-1
0.848, -2.937e-5, -1.506e-5, 4.900e-1
0.849, -2.926e-5, -1.535e-5, 5.000e-1
0.850, -2.925e-5, -1.565e-5, 5.100e-1
0.851, -2.899e-5, -1.594e-5, 5.200e-1
0.852, -2.912e-5, -1.623e-5, 5.300e-1
0.853, -2.912e-5, -1.652e-5, 5.400e-1
0.854, -2.907e-5, -1.681e-5, 5.500e-1
0.855, -2.871e-5, -1.710e-5, 5.600e-1
0.856, -2.888e-5, -1.739e-5, 5.700e-1
0.857, -2.876e-5, -1.767e-5, 5.800e-1
0.858, -2.865e-5, -1.796e-5, 5.900e-1
0.859, -2.856e-5, -1.825e-5, 6.000e-1
0.860, -2.873e-5, -1.853e-5, 6.100e-1
0.861, -2.835e-5, -1.882e-5, 6.200e-1
0.862, -2.849e-5, -1.910e-5, 6.300e-1
0.863, -2.836e-5, -1.938e-5, 6.400e-1
0.864, -2.842e-5, -1.967e-5, 6.500e-1
0.865, -2.824e-5, -1.995e-5, 6.600e-1
0.866, -2.808e-5, -2.023e-5, 6.700e-1
0.867, -2.817e-5, -2.051e-5, 6.800e-1
0.868, -2.830e-5, -2.080e-5, 6.900e-1
0.869, -2.795e-5, -2.108e-5, 7.000e-1
0.870, -2.827e-5, -2.136e-5, 7.100e-1
0.871, -2.785e-5, -2.164e-5, 7.200e-1
0.872, -2.793e-5, -2.192e-5, 7.300e-1
0.873, -2.776e-5, -2.219e-5, 7.400e-1
0.874, -2.779e-5, -2.247e-5, 7.500e-1
0.875, -2.761e-5, -2.275e-5, 7.600e-1
0.876, -2.759e-5, -2.302e-5, 7.700e-1
0.877, -2.764e-5, -2.330e-5, 7.800e-1
0.878, -2.770e-5, -2.358e-5, 7.900e-1
0.879, -2.750e-5, -2.385e-5, 8.000e-1
0.880, -2.754e-5, -2.413e-5, 8.100e-1
0.881, -2.733e-5, -2.440e-5, 8.200e-1
0.882, -2.744e-5, -2.468e-5, 8.300e-1
0.883, -2.713e-5, -2.495e-5, 8.400e-1
0.884, -2.718e-5, -2.522e-5, 8.500e-1
0.885, -2.711e-5, -2.549e-5, 8.600e-1
0.886, -2.709e-5, -2.576e-5, 8.700e-1
0.887, -2.715e-5, -2.603e-5, 8.800e-1
0.888, -2.697e-5, -2.630e-5, 8.900e-1
0.889, -2.695e-5, -2.657e-5, 9.000e-1
0.890, -2.699e-5, -2.684e-5, 9.100e-1
0.891, -2.668e-5, -2.711e-5, 9.200e-1
0.892, -2.668e-5, -2.738e-5, 9.300e-1
0.893, -2.668e-5, -2.764e-5, 9.400e-1
0.894, -2.678e-5, -2.791e-5, 9.500e-1
0.895, -2.651e-5, -2.817e-5, 9.600e-1
0.896, -2.684e-5, -2.844e-5, 9.700e-1
0.897, -2.639e-5, -2.871e-5, 9.800e-1
0.898, -2.672e-5, -2.897e-5, 9.900e-1
0.899, -2.616e-5, -2.924e-5, 1.000e+0
