Segment 1:

Segment 2:
Ep = 0.354V
ip = -4.766e-5A
Ah = -3.650e-5C

Segment 3:
Ep = 0.402V
ip = 2.519e-3A
Ah = 2.763e-3C

Segment 4:
Ep = 0.380V
ip = -3.779e-5A
Ah = -3.241e-5C

Segment 5:
Ep = 0.407V
ip = 2.423e-3A
Ah = 2.804e-3C

Ep = 0.890V
ip = 1.366e-5A
Ah = 3.496e-6C

Segment 6:
Ep = 0.382V
ip = -3.934e-5A
Ah = -3.338e-5C

Segment 7:
Ep = 0.406V
ip = 2.438e-3A
Ah = 2.728e-3C

Segment 8:
Ep = 0.384V
ip = -4.050e-5A
Ah = -3.444e-5C

Segment 9:
Ep = 0.405V
ip = 2.491e-3A
Ah = 2.724e-3C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.760e-5, -3.760e-7, 1.000e-2
0.801, -3.688e-5, -7.448e-7, 2.000e-2
0.802, -3.698e-5, -1.115e-6, 3.000e-2
0.803, -3.634e-5, -1.478e-6, 4.000e-2
0.804, -3.665e-5, -1.844e-6, 5.000e-2
0.805, -3.619e-5, -2.206e-6, 6.000e-2
0.806, -3.648e-5, -2.571e-6, 7.000e-2
0.807, -3.602e-5, -2.931e-6, 8.000e-2
0.808, -3.627e-5, -3.294e-6, 9.000e-2
0.809, -3.586e-5, -3.653e-6, 1.000e-1
0.810, -3.611e-5, -4.014e-6, 1.100e-1
0.811, -3.543e-5, -4.368e-6, 1.200e-1
0.812, -3.577e-5, -4.726e-6, 1.300e-1
0.813, -3.538e-5, -5.080e-6, 1.400e-1
0.814, -3.569e-5, -5.437e-6, 1.500e-1
0.815, -3.509e-5, -5.787e-6, 1.600e-1
0.816, -3.569e-5, -6.144e-6, 1.700e-1
0.817, -3.515e-5, -6.496e-6, 1.800e-1
0.818, -3.536e-5, -6.849e-6, 1.900e-1
0.819, -3.500e-5, -7.199e-6, 2.000e-1
0.820, -3.548e-5, -7.554e-6, 2.100e-1
0.821, -3.493e-5, -7.904e-6, 2.200e-1
0.822, -3.525e-5, -8.256e-6, 2.300e-1
0.823, -3.468e-5, -8.603e-6, 2.400e-1
0.824, -3.516e-5, -8.954e-6, 2.500e-1
0.825, -3.461e-5, -9.301e-6, 2.600e-1
0.826, -3.497e-5, -9.650e-6, 2.700e-1
0.827, -3.475e-5, -9.998e-6, 2.800e-1
0.828, -3.461e-5, -1.034e-5, 2.900e-1
0.829, -3.464e-5, -1.069e-5, 3.000e-1
0.830, -3.479e-5, -1.104e-5, 3.100e-1
0.831, -3.428e-5, -1.138e-5, 3.200e-1
0.832, -3.466e-5, -1.173e-5, 3.300e-1
0.833, -3.444e-5, -1.207e-5, 3.400e-1
0.834, -3.455e-5, -1.242e-5, 3.500e-1
0.835, -3.406e-5, -1.276e-5, 3.600e-1
0.836, -3.448e-5, -1.310e-5, 3.700e-1
0.837, -3.390e-5, -1.344e-5, 3.800e-1
0.838, -3.445e-5, -1.379e-5, 3.900e-1
0.839, -3.387e-5, -1.412e-5, 4.000e-1
0.840, -3.429e-5, -1.447e-5, 4.100e-1
0.841, -3.389e-5, -1.481e-5, 4.200e-1
0.842, -3.426e-5, -1.515e-5, 4.300e-1
0.843, -3.372e-5, -1.549e-5, 4.400e-1
0.844, -3.409e-5, -1.583e-5, 4.500e-1
0.845, -3.361e-5, -1.616e-5, 4.600e-1
0.846, -3.423e-5, -1.651e-5, 4.700e-1
0.847, -3.370e-5, -1.684e-5, 4.800e-1
0.848, -3.400e-5, -1.718e-5, 4.900e-1
0.849, -3.340e-5, -1.752e-5, 5.000e-1
0.850, -3.393e-5, -1.786e-5, 5.100e-1
0.851, -3.324e-5, -1.819e-5, 5.200e-1
0.852, -3.366e-5, -1.853e-5, 5.300e-1
0.853, -3.341e-5, -1.886e-5, 5.400e-1
0.854, -3.381e-5, -1.920e-5, 5.500e-1
0.855, -3.333e-5, -1.953e-5, 5.600e-1
0.856, -3.343e-5, -1.986e-5, 5.700e-1
0.857, -3.324e-5, -2.020e-5, 5.800e-1
0.858, -3.349e-5, -2.053e-5, 5.900e-1
0.859, -3.316e-5, -2.086e-5, 6.000e-1
0.860, -3.348e-5, -2.120e-5, 6.100e-1
0.861, -3.308e-5, -2.153e-5, 6.200e-1
0.862, -3.328e-5, -2.186e-5, 6.300e-1
0.863, -3.307e-5, -2.219e-5, 6.400e-1
0.864, -3.343e-5, -2.253e-5, 6.500e-1
0.865, -3.278e-5, -2.285e-5, 6.600e-1
0.866, -3.332e-5, -2.319e-5, 6.700e-1
0.867, -3.295e-5, -2.352e-5, 6.800e-1
0.868, -3.311e-5, -2.385e-5, 6.900e-1
0.869, -3.246e-5, -2.417e-5, 7.000e-1
0.870, -3.315e-5, -2.450e-5, 7.100e-1
0.871, -3.261e-5, -2.483e-5, 7.200e-1
0.872, -3.304e-5, -2.516e-5, 7.300e-1
0.873, -3.238e-5, -2.549e-5, 7.400e-1
0.874, -3.316e-5, -2.582e-5, 7.500e-1
0.875, -3.237e-5, -2.614e-5, 7.600e-1
0.876, -3.297e-5, -2.647e-5, 7.700e-1
0.877, -3.239e-5, -2.679e-5, 7.800e-1
0.878, -3.275e-5, -2.712e-5, 7.900e-1
0.879, -3.235e-5, -2.744e-5, 8.000e-1
0.880, -3.262e-5, -2.777e-5, 8.100e-1
0.881, -3.235e-5, -2.809e-5, 8.200e-1
0.882, -3.266e-5, -2.842e-5, 8.300e-1
0.883, -3.220e-5, -2.874e-5, 8.400e-1
0.884, -3.229e-5, -2.907e-5, 8.500e-1
0.885, -3.205e-5, -2.939e-5, 8.600e-1
0.886, -3.240e-5, -2.971e-5, 8.700e-1
0.887, -3.209e-5, -3.003e-5, 8.800e-1
0.888, -3.200e-5, -3.035e-5, 8.900e-1
0.889, -3.203e-5, -3.067e-5, 9.000e-1
0.890, -3.227e-5, -3.099e-5, 9.100e-1
0.891, -3.190e-5, -3.131e-5, 9.200e-1
0.892, -3.237e-5, -3.164e-5, 9.300e-1
0.893, -3.170e-5, -3.195e-5, 9.400e-1
0.894, -3.231e-5, -3.228e-5, 9.500e-1
0.895, -3.171e-5, -3.259e-5, 9.600e-1
0.896, -3.227e-5, -3.292e-5, 9.700e-1
0.897, -3.164e-5, -3.323e-5, 9.800e-1
0.898, -3.192e-5, -3.355e-5, 9.900e-1
0.899, -3.160e-5, -3.387e-5, 1.000e+0
0.900, -3.196e-5, -3.419e-5, 1.010e+0
0.901, -3.159e-5, -3.450e-5, 1.020e+0
0.902, -3.189e-5, -3.482e-5, 1.030e+0
0.903, -3.144e-5, -3.514e-5, 1.040e+0
0.904, -3.179e-5, -3.546e-5, 1.050e+0
0.905, -3.138e-5, -3.577e-5, 1.060e+0
0.906, -3.165e-5, -3.609e-5, 1.070e+0
0.907, -3.121e-5, -3.640e-5, 1.080e+0
0.908, -3.152e-5, -3.671e-5, 1.090e+0
0.909, -3.117e-5, -3.702e-5, 1.100e+0
0.910, -3.149e-5, -3.734e-5, 1.110e+0
0.911, -3.113e-5, -3.765e-5, 1.120e+0
0.912, -3.169e-5, -3.797e-5, 1.130e+0
0.913, -3.123e-5, -3.828e-5, 1.140e+0
0.914, -3.140e-5, -3.859e-5, 1.150e+0
0.915, -3.110e-5, -3.891e-5, 1.160e+0
0.916, -3.129e-5, -3.922e-5, 1.170e+0
0.917, -3.109e-5, -3.953e-5, 1.180e+0
0.918, -3.143e-5, -3.984e-5, 1.190e+0
0.919, -3.090e-5, -4.015e-5, 1.200e+0
0.920, -3.132e-5, -4.047e-5, 1.210e+0
0.921, -3.090e-5, -4.077e-5, 1.220e+0
0.922, -3.124e-5, -4.109e-5, 1.230e+0
0.923, -3.099e-5, -4.140e-5, 1.240e+0
0.924, -3.109e-5, -4.171e-5, 1.250e+0
0.925, -3.077e-5, -4.202e-5, 1.260e+0
0.926, -3.102e-5, -4.233e-5, 1.270e+0
0.927, -3.073e-5, -4.263e-5, 1.280e+0
0.928, -3.117e-5, -4.294e-5, 1.290e+0
0.929, -3.077e-5, -4.325e-5, 1.300e+0
0.930, -3.100e-5, -4.356e-5, 1.310e+0
0.931, -3.060e-5, -4.387e-5, 1.320e+0
0.932, -3.124e-5, -4.418e-5, 1.330e+0
0.933, -3.049e-5, -4.449e-5, 1.340e+0
0.934, -3.100e-5, -4.480e-5, 1.350e+0
0.935, -3.068e-5, -4.510e-5, 1.360e+0
0.936, -3.091e-5, -4.541e-5, 1.370e+0
0.937, -3.061e-5, -4.572e-5, 1.380e+0
0.938, -3.075e-5, -4.603e-5, 1.390e+0
0.939, -3.035e-5, -4.633e-5, 1.400e+0
0.940, -3.091e-5, -4.664e-5, 1.410e+0
0.941, -3.047e-5, -4.694e-5, 1.420e+0
0.942, -3.078e-5, -4.725e-5, 1.430e+0
0.943, -3.018e-5, -4.755e-5, 1.440e+0
0.944, -3.068e-5, -4.786e-5, 1.450e+0
0.945, -3.022e-5, -4.816e-5, 1.460e+0
0.946, -3.078e-5, -4.847e-5, 1.470e+0
0.947, -3.021e-5, -4.877e-5, 1.480e+0
0.948, -3.070e-5, -4.908e-5, 1.490e+0
0.949, -3.027e-5, -4.938e-5, 1.500e+0
0.950, -3.057e-5, -4.969e-5, 1.510e+0
0.951, -3.013e-5, -4.999e-5, 1.520e+0
0.952, -3.055e-5, -5.029e-5, 1.530e+0
0.953, -3.022e-5, -5.060e-5, 1.540e+0
0.954, -3.054e-5, -5.090e-5, 1.550e+0
0.955, -2.999e-5, -5.120e-5, 1.560e+0
0.956, -3.055e-5, -5.151e-5, 1.570e+0
0.957, -2.973e-5, -5.180e-5, 1.580e+0
0.958, -3.041e-5, -5.211e-5, 1.590e+0
0.959, -3.005e-5, -5.241e-5, 1.600e+0
0.960, -3.048e-5, -5.271e-5, 1.610e+0
0.961, -2.979e-5, -5.301e-5, 1.620e+0
0.962, -3.023e-5, -5.331e-5, 1.630e+0
0.963, -2.978e-5, -5.361e-5, 1.640e+0
0.964, -3.010e-5, -5.391e-5, 1.650e+0
0.965, -2.982e-5, -5.421e-5, 1.660e+0
0.966, -3.030e-5, -5.451e-5, 1.670e+0
0.967, -2.971e-5, -5.481e-5, 1.680e+0
0.968, -3.009e-5, -5.511e-5, 1.690e+0
0.969, -2.990e-5, -5.541e-5, 1.700e+0
0.970, -3.010e-5, -5.571e-5, 1.710e+0
0.971, -2.973e-5, -5.601e-5, 1.720e+0
0.972, -3.007e-5, -5.631e-5, 1.730e+0
0.973, -2.982e-5, -5.661e-5, 1.740e+0
0.974, -3.005e-5, -5.691e-5, 1.750e+0
0.975, -2.951e-5, -5.720e-5, 1.760e+0
0.976, -3.004e-5, -5.750e-5, 1.770e+0
0.977, -2.946e-5, -5.780e-5, 1.780e+0
0.978, -3.006e-5, -5.810e-5, 1.790e+0
0.979, -2.954e-5, -5.839e-5, 1.800e+0
0.980, -2.984e-5, -5.869e-5, 1.810e+0
0.981, -2.946e-5, -5.899e-5, 1.820e+0
0.982, -2.991e-5, -5.929e-5, 1.830e+0
0.983, -2.948e-5, -5.958e-5, 1.840e+0
0.984, -2.990e-5, -5.988e-5, 1.850e+0
0.985, -2.939e-5, -6.017e-5, 1.860e+0
