Segment 1:

Segment 2:
Ep = 0.359V
ip = -4.506e-5A
Ah = -3.437e-5C

Segment 3:
Ep = 0.411V
ip = 2.530e-3A
Ah = 2.863e-3C

Segment 4:
Ep = 0.384V
ip = -3.610e-5A
Ah = -2.945e-5C

Segment 5:
Ep = 0.411V
ip = 2.565e-3A
Ah = 2.803e-3C

Segment 6:
Ep = 0.386V
ip = -3.724e-5A
Ah = -3.088e-5C

Segment 7:
Ep = 0.414V
ip = 2.489e-3A
Ah = 2.803e-3C

Segment 8:
Ep = 0.388V
ip = -3.698e-5A
Ah = -2.966e-5C

Segment 9:
Ep = 0.414V
ip = 2.497e-3A
Ah = 2.768e-3C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.519e-5, -3.519e-7, 1.000e-2
0.801, -3.514e-5, -7.032e-7, 2.000e-2
0.802, -3.467e-5, -1.050e-6, 3.000e-2
0.803, -3.462e-5, -1.396e-6, 4.000e-2
0.804, -3.450e-5, -1.741e-6, 5.000e-2
0.805, -3.434e-5, -2.084e-6, 6.000e-2
0.806, -3.411e-5, -2.426e-6, 7.000e-2
0.807, -3.430e-5, -2.769e-6, 8.000e-2
0.808, -3.391e-5, -3.108e-6, 9.000e-2
0.809, -3.398e-5, -3.447e-6, 1.000e-1
0.810, -3.395e-5, -3.787e-6, 1.100e-1
0.811, -3.383e-5, -4.125e-6, 1.200e-1
0.812, -3.372e-5, -4.462e-6, 1.300e-1
0.813, -3.390e-5, -4.801e-6, 1.400e-1
0.814, -3.347e-5, -5.136e-6, 1.500e-1
0.815, -3.367e-5, -5.473e-6, 1.600e-1
0.816, -3.337e-5, -5.806e-6, 1.700e-1
0.817, -3.354e-5, -6.142e-6, 1.800e-1
0.818, -3.337e-5, -6.476e-6, 1.900e-1
0.819, -3.345e-5, -6.810e-6, 2.000e-1
0.820, -3.305e-5, -7.141e-6, 2.100e-1
0.821, -3.330e-5, -7.474e-6, 2.200e-1
0.822, -3.313e-5, -7.805e-6, 2.300e-1
0.823, -3.326e-5, -8.137e-6, 2.400e-1
0.824, -3.288e-5, -8.466e-6, 2.500e-1
0.825, -3.319e-5, -8.798e-6, 2.600e-1
0.826, -3.284e-5, -9.127e-6, 2.700e-1
0.827, -3.262e-5, -9.453e-6, 2.800e-1
0.828, -3.284e-5, -9.781e-6, 2.900e-1
0.829, -3.283e-5, -1.011e-5, 3.000e-1
0.830, -3.239e-5, -1.043e-5, 3.100e-1
0.831, -3.277e-5, -1.076e-5, 3.200e-1
0.832, -3.251e-5, -1.109e-5, 3.300e-1
0.833, -3.252e-5, -1.141e-5, 3.400e-1
0.834, -3.257e-5, -1.174e-5, 3.500e-1
0.835, -3.258e-5, -1.206e-5, 3.600e-1
0.836, -3.219e-5, -1.238e-5, 3.700e-1
0.837, -3.240e-5, -1.271e-5, 3.800e-1
0.838, -3.229e-5, -1.303e-5, 3.900e-1
0.839, -3.226e-5, -1.335e-5, 4.000e-1
0.840, -3.211e-5, -1.368e-5, 4.100e-1
0.841, -3.220e-5, -1.400e-5, 4.200e-1
0.842, -3.201e-5, -1.432e-5, 4.300e-1
0.843, -3.190e-5, -1.464e-5, 4.400e-1
0.844, -3.200e-5, -1.496e-5, 4.500e-1
0.845, -3.192e-5, -1.528e-5, 4.600e-1
0.846, -3.191e-5, -1.559e-5, 4.700e-1
0.847, -3.210e-5, -1.592e-5, 4.800e-1
0.848, -3.180e-5, -1.623e-5, 4.900e-1
0.849, -3.165e-5, -1.655e-5, 5.000e-1
0.850, -3.166e-5, -1.687e-5, 5.100e-1
0.851, -3.161e-5, -1.718e-5, 5.200e-1
0.852, -3.148e-5, -1.750e-5, 5.300e-1
0.853, -3.171e-5, -1.781e-5, 5.400e-1
0.854, -3.148e-5, -1.813e-5, 5.500e-1
0.855, -3.142e-5, -1.844e-5, 5.600e-1
0.856, -3.149e-5, -1.876e-5, 5.700e-1
0.857, -3.136e-5, -1.907e-5, 5.800e-1
0.858, -3.140e-5, -1.939e-5, 5.900e-1
0.859, -3.113e-5, -1.970e-5, 6.000e-1
0.860, -3.139e-5, -2.001e-5, 6.100e-1
0.861, -3.110e-5, -2.032e-5, 6.200e-1
0.862, -3.114e-5, -2.063e-5, 6.300e-1
0.863, -3.129e-5, -2.095e-5, 6.400e-1
0.864, -3.104e-5, -2.126e-5, 6.500e-1
0.865, -3.122e-5, -2.157e-5, 6.600e-1
0.866, -3.127e-5, -2.188e-5, 6.700e-1
0.867, -3.109e-5, -2.219e-5, 6.800e-1
0.868, -3.076e-5, -2.250e-5, 6.900e-1
0.869, -3.103e-5, -2.281e-5, 7.000e-1
0.870, -3.095e-5, -2.312e-5, 7.100e-1
0.871, -3.084e-5, -2.343e-5, 7.200e-1
0.872, -3.080e-5, -2.374e-5, 7.300e-1
0.873, -3.090e-5, -2.405e-5, 7.400e-1
0.874, -3.069e-5, -2.435e-5, 7.500e-1
0.875, -3.056e-5, -2.466e-5, 7.600e-1
0.876, -3.056e-5, -2.496e-5, 7.700e-1
0.877, -3.067e-5, -2.527e-5, 7.800e-1
0.878, -3.042e-5, -2.557e-5, 7.900e-1
0.879, -3.070e-5, -2.588e-5, 8.000e-1
0.880, -3.043e-5, -2.619e-5, 8.100e-1
0.881, -3.037e-5, -2.649e-5, 8.200e-1
0.882, -3.021e-5, -2.679e-5, 8.300e-1
0.883, -3.053e-5, -2.710e-5, 8.400e-1
0.884, -3.024e-5, -2.740e-5, 8.500e-1
0.885, -3.024e-5, -2.770e-5, 8.600e-1
0.886, -3.034e-5, -2.801e-5, 8.700e-1
0.887, -3.013e-5, -2.831e-5, 8.800e-1
0.888, -3.029e-5, -2.861e-5, 8.900e-1
0.889, -3.024e-5, -2.891e-5, 9.000e-1
0.890, -3.013e-5, -2.921e-5, 9.100e-1
0.891, -3.013e-5, -2.951e-5, 9.200e-1
0.892, -3.001e-5, -2.981e-5, 9.300e-1
0.893, -3.010e-5, -3.012e-5, 9.400e-1
0.894, -2.989e-5, -3.041e-5, 9.500e-1
0.895, -2.992e-5, -3.071e-5, 9.600e-1
0.896, -3.000e-5, -3.101e-5, 9.700e-1
0.897, -2.999e-5, -3.131e-5, 9.800e-1
0.898, -2.953e-5, -3.161e-5, 9.900e-1
0.899, -2.972e-5, -3.191e-5, 1.000e+0
0.900, -2.974e-5, -3.220e-5, 1.010e+0
0.901, -2.953e-5, -3.250e-5, 1.020e+0
0.902, -2.980e-5, -3.280e-5, 1.030e+0
0.903, -2.962e-5, -3.309e-5, 1.040e+0
0.904, -2.957e-5, -3.339e-5, 1.050e+0
0.905, -2.946e-5, -3.368e-5, 1.060e+0
0.906, -2.963e-5, -3.398e-5, 1.070e+0
0.907, -2.954e-5, -3.428e-5, 1.080e+0
0.908, -2.951e-5, -3.457e-5, 1.090e+0
0.909, -2.947e-5, -3.486e-5, 1.100e+0
0.910, -2.938e-5, -3.516e-5, 1.110e+0
0.911, -2.956e-5, -3.545e-5, 1.120e+0
