Segment 1:

Segment 2:
Ep = 0.330V
ip = -4.501e-5A
Ah = -4.527e-5C

Segment 3:
Ep = 0.401V
ip = 2.587e-3A
Ah = 2.804e-3C

Segment 4:
Ep = 0.335V
ip = -3.287e-5A
Ah = -3.971e-5C

Segment 5:
Ep = 0.400V
ip = 2.642e-3A
Ah = 2.827e-3C

Ep = 1.146V
ip = 3.050e-6A
Ah = 6.219e-7C

Segment 6:
Ep = 0.346V
ip = -3.429e-5A
Ah = -3.740e-5C

Segment 7:
Ep = 0.399V
ip = 2.681e-3A
Ah = 2.828e-3C

Ep = 1.013V
ip = 9.196e-6A
Ah = 7.712e-6C

Segment 8:
Ep = 0.340V
ip = -3.351e-5A
Ah = -3.901e-5C

Segment 9:
Ep = 0.405V
ip = 2.570e-3A
Ah = 2.949e-3C

Potential/V, Current/A, Charge/C, Time/s

0.800, -4.712e-5, -4.712e-7, 1.000e-2
0.801, -4.634e-5, -9.346e-7, 2.000e-2
0.802, -4.631e-5, -1.398e-6, 3.000e-2
0.803, -4.576e-5, -1.855e-6, 4.000e-2
0.804, -4.602e-5, -2.315e-6, 5.000e-2
0.805, -4.576e-5, -2.773e-6, 6.000e-2
0.806, -4.588e-5, -3.232e-6, 7.000e-2
0.807, -4.534e-5, -3.685e-6, 8.000e-2
0.808, -4.552e-5, -4.140e-6, 9.000e-2
0.809, -4.534e-5, -4.594e-6, 1.000e-1
0.810, -4.544e-5, -5.048e-6, 1.100e-1
0.811, -4.496e-5, -5.498e-6, 1.200e-1
0.812, -4.526e-5, -5.950e-6, 1.300e-1
0.813, -4.509e-5, -6.401e-6, 1.400e-1
0.814, -4.515e-5, -6.853e-6, 1.500e-1
0.815, -4.446e-5, -7.297e-6, 1.600e-1
0.816, -4.477e-5, -7.745e-6, 1.700e-1
0.817, -4.461e-5, -8.191e-6, 1.800e-1
0.818, -4.468e-5, -8.638e-6, 1.900e-1
0.819, -4.444e-5, -9.082e-6, 2.000e-1
0.820, -4.465e-5, -9.529e-6, 2.100e-1
0.821, -4.407e-5, -9.970e-6, 2.200e-1
0.822, -4.451e-5, -1.041e-5, 2.300e-1
0.823, -4.412e-5, -1.086e-5, 2.400e-1
0.824, -4.435e-5, -1.130e-5, 2.500e-1
0.825, -4.391e-5, -1.174e-5, 2.600e-1
0.826, -4.421e-5, -1.218e-5, 2.700e-1
0.827, -4.386e-5, -1.262e-5, 2.800e-1
0.828, -4.410e-5, -1.306e-5, 2.900e-1
0.829, -4.365e-5, -1.350e-5, 3.000e-1
0.830, -4.374e-5, -1.393e-5, 3.100e-1
0.831, -4.376e-5, -1.437e-5, 3.200e-1
0.832, -4.376e-5, -1.481e-5, 3.300e-1
0.833, -4.357e-5, -1.524e-5, 3.400e-1
0.834, -4.383e-5, -1.568e-5, 3.500e-1
0.835, -4.349e-5, -1.612e-5, 3.600e-1
