Segment 1:

Segment 2:
Ep = 0.339V
ip = -4.082e-5A
Ah = -3.704e-5C

Segment 3:
Ep = 0.415V
ip = 2.329e-3A
Ah = 2.922e-3C

Ep = 1.052V
ip = 4.034e-6A
Ah = 8.837e-7C

Segment 4:
Ep = 0.349V
ip = -2.974e-5A
Ah = -3.122e-5C

Segment 5:
Ep = 0.416V
ip = 2.366e-3A
Ah = 2.985e-3C

Ep = 1.081V
ip = 1.936e-5A
Ah = 5.549e-6C

Segment 6:
Ep = 0.354V
ip = -3.247e-5A
Ah = -3.317e-5C

Segment 7:
Ep = 0.417V
ip = 2.357e-3A
Ah = 3.011e-3C

Ep = 1.016V
ip = 1.122e-5A
Ah = 1.009e-5C

Segment 8:
Ep = 0.344V
ip = -3.046e-5A
Ah = -3.539e-5C

Segment 9:
Ep = 0.414V
ip = 2.441e-3A
Ah = 3.057e-3C

Ep = 1.085V
ip = 1.480e-5A
Ah = 5.253e-6C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.353e-5, -3.353e-7, 1.000e-2
0.801, -3.375e-5, -6.728e-7, 2.000e-2
0.802, -3.327e-5, -1.006e-6, 3.000e-2
0.803, -3.319e-5, -1.337e-6, 4.000e-2
0.804, -3.285e-5, -1.666e-6, 5.000e-2
0.805, -3.302e-5, -1.996e-6, 6.000e-2
0.806, -3.261e-5, -2.322e-6, 7.000e-2
0.807, -3.273e-5, -2.650e-6, 8.000e-2
0.808, -3.244e-5, -2.974e-6, 9.000e-2
0.809, -3.249e-5, -3.299e-6, 1.000e-1
0.810, -3.248e-5, -3.624e-6, 1.100e-1
0.811, -3.242e-5, -3.948e-6, 1.200e-1
0.812, -3.218e-5, -4.270e-6, 1.300e-1
0.813, -3.225e-5, -4.592e-6, 1.400e-1
0.814, -3.196e-5, -4.912e-6, 1.500e-1
0.815, -3.199e-5, -5.232e-6, 1.600e-1
0.816, -3.183e-5, -5.550e-6, 1.700e-1
0.817, -3.204e-5, -5.870e-6, 1.800e-1
0.818, -3.150e-5, -6.185e-6, 1.900e-1
0.819, -3.194e-5, -6.505e-6, 2.000e-1
0.820, -3.138e-5, -6.819e-6, 2.100e-1
0.821, -3.163e-5, -7.135e-6, 2.200e-1
0.822, -3.144e-5, -7.449e-6, 2.300e-1
0.823, -3.169e-5, -7.766e-6, 2.400e-1
0.824, -3.128e-5, -8.079e-6, 2.500e-1
0.825, -3.166e-5, -8.396e-6, 2.600e-1
0.826, -3.114e-5, -8.707e-6, 2.700e-1
0.827, -3.119e-5, -9.019e-6, 2.800e-1
0.828, -3.094e-5, -9.328e-6, 2.900e-1
0.829, -3.129e-5, -9.641e-6, 3.000e-1
0.830, -3.094e-5, -9.951e-6, 3.100e-1
0.831, -3.120e-5, -1.026e-5, 3.200e-1
0.832, -3.052e-5, -1.057e-5, 3.300e-1
0.833, -3.096e-5, -1.088e-5, 3.400e-1
0.834, -3.064e-5, -1.118e-5, 3.500e-1
0.835, -3.103e-5, -1.149e-5, 3.600e-1
0.836, -3.047e-5, -1.180e-5, 3.700e-1
0.837, -3.094e-5, -1.211e-5, 3.800e-1
0.838, -3.048e-5, -1.241e-5, 3.900e-1
0.839, -3.057e-5, -1.272e-5, 4.000e-1
0.840, -3.025e-5, -1.302e-5, 4.100e-1
0.841, -3.051e-5, -1.333e-5, 4.200e-1
0.842, -3.026e-5, -1.363e-5, 4.300e-1
0.843, -3.052e-5, -1.393e-5, 4.400e-1
0.844, -3.016e-5, -1.424e-5, 4.500e-1
0.845, -3.030e-5, -1.454e-5, 4.600e-1
0.846, -2.987e-5, -1.484e-5, 4.700e-1
0.847, -3.021e-5, -1.514e-5, 4.800e-1
0.848, -2.997e-5, -1.544e-5, 4.900e-1
0.849, -3.006e-5, -1.574e-5, 5.000e-1
0.850, -2.976e-5, -1.604e-5, 5.100e-1
0.851, -2.984e-5, -1.634e-5, 5.200e-1
0.852, -2.959e-5, -1.663e-5, 5.300e-1
0.853, -2.975e-5, -1.693e-5, 5.400e-1
0.854, -2.951e-5, -1.722e-5, 5.500e-1
0.855, -2.985e-5, -1.752e-5, 5.600e-1
0.856, -2.935e-5, -1.782e-5, 5.700e-1
0.857, -2.950e-5, -1.811e-5, 5.800e-1
0.858, -2.916e-5, -1.840e-5, 5.900e-1
0.859, -2.948e-5, -1.870e-5, 6.000e-1
0.860, -2.924e-5, -1.899e-5, 6.100e-1
0.861, -2.932e-5, -1.928e-5, 6.200e-1
0.862, -2.909e-5, -1.957e-5, 6.300e-1
0.863, -2.918e-5, -1.987e-5, 6.400e-1
0.864, -2.889e-5, -2.015e-5, 6.500e-1
0.865, -2.925e-5, -2.045e-5, 6.600e-1
0.866, -2.889e-5, -2.074e-5, 6.700e-1
0.867, -2.904e-5, -2.103e-5, 6.800e-1
0.868, -2.850e-5, -2.131e-5, 6.900e-1
0.869, -2.891e-5, -2.160e-5, 7.000e-1
0.870, -2.857e-5, -2.189e-5, 7.100e-1
0.871, -2.880e-5, -2.217e-5, 7.200e-1
0.872, -2.839e-5, -2.246e-5, 7.300e-1
0.873, -2.859e-5, -2.274e-5, 7.400e-1
0.874, -2.831e-5, -2.303e-5, 7.500e-1
0.875, -2.864e-5, -2.331e-5, 7.600e-1
0.876, -2.826e-5, -2.360e-5, 7.700e-1
0.877, -2.851e-5, -2.388e-5, 7.800e-1
0.878, -2.813e-5, -2.416e-5, 7.900e-1
0.879, -2.832e-5, -2.445e-5, 8.000e-1
0.880, -2.804e-5, -2.473e-5, 8.100e-1
0.881, -2.824e-5, -2.501e-5, 8.200e-1
0.882, -2.788e-5, -2.529e-5, 8.300e-1
0.883, -2.812e-5, -2.557e-5, 8.400e-1
0.884, -2.777e-5, -2.585e-5, 8.500e-1
0.885, -2.810e-5, -2.613e-5, 8.600e-1
0.886, -2.756e-5, -2.640e-5, 8.700e-1
0.887, -2.794e-5, -2.668e-5, 8.800e-1
