Segment 1:

Segment 2:
Ep = 0.358V
ip = -4.381e-5A
Ah = -3.515e-5C

Segment 3:
Ep = 0.407V
ip = 2.424e-3A
Ah = 2.815e-3C

Segment 4:
Ep = 0.363V
ip = -3.496e-5A
Ah = -3.403e-5C

Segment 5:
Ep = 0.408V
ip = 2.435e-3A
Ah = 2.870e-3C

Segment 6:
Ep = 0.365V
ip = -3.482e-5A
Ah = -3.314e-5C

Segment 7:
Ep = 0.406V
ip = 2.421e-3A
Ah = 2.760e-3C

Ep = 1.085V
ip = 4.328e-6A
Ah = 1.169e-6C

Segment 8:
Ep = 0.360V
ip = -3.374e-5A
Ah = -3.360e-5C

Segment 9:
Ep = 0.407V
ip = 2.419e-3A
Ah = 2.773e-3C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.436e-5, -3.436e-7, 1.000e-2
0.801, -3.336e-5, -6.771e-7, 2.000e-2
0.802, -3.362e-5, -1.013e-6, 3.000e-2
0.803, -3.304e-5, -1.344e-6, 4.000e-2
0.804, -3.337e-5, -1.677e-6, 5.000e-2
0.805, -3.257e-5, -2.003e-6, 6.000e-2
0.806, -3.311e-5, -2.334e-6, 7.000e-2
0.807, -3.240e-5, -2.658e-6, 8.000e-2
0.808, -3.284e-5, -2.987e-6, 9.000e-2
0.809, -3.251e-5, -3.312e-6, 1.000e-1
0.810, -3.277e-5, -3.639e-6, 1.100e-1
0.811, -3.219e-5, -3.961e-6, 1.200e-1
0.812, -3.251e-5, -4.286e-6, 1.300e-1
0.813, -3.188e-5, -4.605e-6, 1.400e-1
0.814, -3.246e-5, -4.930e-6, 1.500e-1
0.815, -3.183e-5, -5.248e-6, 1.600e-1
0.816, -3.228e-5, -5.571e-6, 1.700e-1
0.817, -3.174e-5, -5.888e-6, 1.800e-1
0.818, -3.211e-5, -6.209e-6, 1.900e-1
0.819, -3.188e-5, -6.528e-6, 2.000e-1
0.820, -3.205e-5, -6.849e-6, 2.100e-1
0.821, -3.164e-5, -7.165e-6, 2.200e-1
0.822, -3.195e-5, -7.485e-6, 2.300e-1
0.823, -3.132e-5, -7.798e-6, 2.400e-1
0.824, -3.164e-5, -8.114e-6, 2.500e-1
0.825, -3.127e-5, -8.427e-6, 2.600e-1
0.826, -3.159e-5, -8.743e-6, 2.700e-1
0.827, -3.099e-5, -9.053e-6, 2.800e-1
0.828, -3.166e-5, -9.369e-6, 2.900e-1
0.829, -3.116e-5, -9.681e-6, 3.000e-1
0.830, -3.148e-5, -9.996e-6, 3.100e-1
0.831, -3.097e-5, -1.031e-5, 3.200e-1
0.832, -3.144e-5, -1.062e-5, 3.300e-1
0.833, -3.090e-5, -1.093e-5, 3.400e-1
0.834, -3.129e-5, -1.124e-5, 3.500e-1
0.835, -3.065e-5, -1.155e-5, 3.600e-1
0.836, -3.116e-5, -1.186e-5, 3.700e-1
0.837, -3.079e-5, -1.217e-5, 3.800e-1
0.838, -3.095e-5, -1.248e-5, 3.900e-1
0.839, -3.038e-5, -1.278e-5, 4.000e-1
0.840, -3.092e-5, -1.309e-5, 4.100e-1
0.841, -3.024e-5, -1.339e-5, 4.200e-1
0.842, -3.096e-5, -1.370e-5, 4.300e-1
0.843, -3.014e-5, -1.400e-5, 4.400e-1
0.844, -3.060e-5, -1.431e-5, 4.500e-1
0.845, -3.028e-5, -1.461e-5, 4.600e-1
0.846, -3.072e-5, -1.492e-5, 4.700e-1
0.847, -3.004e-5, -1.522e-5, 4.800e-1
0.848, -3.062e-5, -1.553e-5, 4.900e-1
0.849, -3.003e-5, -1.583e-5, 5.000e-1
0.850, -3.032e-5, -1.613e-5, 5.100e-1
0.851, -2.991e-5, -1.643e-5, 5.200e-1
0.852, -3.037e-5, -1.673e-5, 5.300e-1
0.853, -2.972e-5, -1.703e-5, 5.400e-1
0.854, -3.021e-5, -1.733e-5, 5.500e-1
0.855, -2.973e-5, -1.763e-5, 5.600e-1
0.856, -3.003e-5, -1.793e-5, 5.700e-1
0.857, -2.962e-5, -1.823e-5, 5.800e-1
0.858, -3.013e-5, -1.853e-5, 5.900e-1
0.859, -2.939e-5, -1.882e-5, 6.000e-1
0.860, -3.010e-5, -1.912e-5, 6.100e-1
0.861, -2.953e-5, -1.942e-5, 6.200e-1
0.862, -2.994e-5, -1.972e-5, 6.300e-1
0.863, -2.961e-5, -2.001e-5, 6.400e-1
0.864, -2.986e-5, -2.031e-5, 6.500e-1
0.865, -2.947e-5, -2.061e-5, 6.600e-1
0.866, -3.001e-5, -2.091e-5, 6.700e-1
0.867, -2.912e-5, -2.120e-5, 6.800e-1
0.868, -2.973e-5, -2.149e-5, 6.900e-1
0.869, -2.913e-5, -2.179e-5, 7.000e-1
0.870, -2.954e-5, -2.208e-5, 7.100e-1
0.871, -2.916e-5, -2.237e-5, 7.200e-1
0.872, -2.973e-5, -2.267e-5, 7.300e-1
0.873, -2.892e-5, -2.296e-5, 7.400e-1
0.874, -2.942e-5, -2.325e-5, 7.500e-1
0.875, -2.882e-5, -2.354e-5, 7.600e-1
0.876, -2.943e-5, -2.384e-5, 7.700e-1
0.877, -2.871e-5, -2.412e-5, 7.800e-1
0.878, -2.923e-5, -2.442e-5, 7.900e-1
0.879, -2.861e-5, -2.470e-5, 8.000e-1
0.880, -2.923e-5, -2.499e-5, 8.100e-1
0.881, -2.861e-5, -2.528e-5, 8.200e-1
0.882, -2.900e-5, -2.557e-5, 8.300e-1
0.883, -2.863e-5, -2.586e-5, 8.400e-1
0.884, -2.906e-5, -2.615e-5, 8.500e-1
0.885, -2.838e-5, -2.643e-5, 8.600e-1
0.886, -2.892e-5, -2.672e-5, 8.700e-1
0.887, -2.829e-5, -2.700e-5, 8.800e-1
0.888, -2.889e-5, -2.729e-5, 8.900e-1
0.889, -2.827e-5, -2.757e-5, 9.000e-1
0.890, -2.875e-5, -2.786e-5, 9.100e-1
0.891, -2.803e-5, -2.814e-5, 9.200e-1
0.892, -2.853e-5, -2.843e-5, 9.300e-1
0.893, -2.816e-5, -2.871e-5, 9.400e-1
0.894, -2.839e-5, -2.899e-5, 9.500e-1
0.895, -2.777e-5, -2.927e-5, 9.600e-1
0.896, -2.842e-5, -2.955e-5, 9.700e-1
0.897, -2.789e-5, -2.983e-5, 9.800e-1
