Segment 1:

Segment 2:
Ep = 0.344V
ip = -4.037e-5A
Ah = -3.781e-5C

Segment 3:

Segment 4:
Ep = 0.353V
ip = -3.109e-5A
Ah = -3.233e-5C

Segment 5:
Ep = 0.401V
ip = 2.449e-3A
Ah = 2.722e-3C

Segment 6:
Ep = 0.362V
ip = -3.262e-5A
Ah = -3.090e-5C

Segment 7:
Ep = 0.405V
ip = 2.385e-3A
Ah = 2.765e-3C

Segment 8:
Ep = 0.352V
ip = -3.125e-5A
Ah = -3.333e-5C

Segment 9:
Ep = 0.402V
ip = 2.444e-3A
Ah = 2.708e-3C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.454e-5, -3.454e-7, 1.000e-2
0.801, -3.403e-5, -6.857e-7, 2.000e-2
0.802, -3.417e-5, -1.027e-6, 3.000e-2
0.803, -3.366e-5, -1.364e-6, 4.000e-2
0.804, -3.388e-5, -1.703e-6, 5.000e-2
0.805, -3.353e-5, -2.038e-6, 6.000e-2
0.806, -3.352e-5, -2.373e-6, 7.000e-2
0.807, -3.318e-5, -2.705e-6, 8.000e-2
0.808, -3.332e-5, -3.038e-6, 9.000e-2
0.809, -3.312e-5, -3.370e-6, 1.000e-1
0.810, -3.323e-5, -3.702e-6, 1.100e-1
0.811, -3.288e-5, -4.031e-6, 1.200e-1
0.812, -3.287e-5, -4.359e-6, 1.300e-1
0.813, -3.282e-5, -4.688e-6, 1.400e-1
0.814, -3.287e-5, -5.016e-6, 1.500e-1
0.815, -3.273e-5, -5.344e-6, 1.600e-1
0.816, -3.285e-5, -5.672e-6, 1.700e-1
0.817, -3.260e-5, -5.998e-6, 1.800e-1
0.818, -3.257e-5, -6.324e-6, 1.900e-1
0.819, -3.251e-5, -6.649e-6, 2.000e-1
0.820, -3.241e-5, -6.973e-6, 2.100e-1
0.821, -3.238e-5, -7.297e-6, 2.200e-1
0.822, -3.248e-5, -7.622e-6, 2.300e-1
0.823, -3.232e-5, -7.945e-6, 2.400e-1
0.824, -3.221e-5, -8.267e-6, 2.500e-1
0.825, -3.219e-5, -8.589e-6, 2.600e-1
0.826, -3.231e-5, -8.912e-6, 2.700e-1
0.827, -3.204e-5, -9.232e-6, 2.800e-1
0.828, -3.198e-5, -9.552e-6, 2.900e-1
0.829, -3.186e-5, -9.871e-6, 3.000e-1
0.830, -3.219e-5, -1.019e-5, 3.100e-1
0.831, -3.189e-5, -1.051e-5, 3.200e-1
0.832, -3.206e-5, -1.083e-5, 3.300e-1
0.833, -3.170e-5, -1.115e-5, 3.400e-1
0.834, -3.174e-5, -1.147e-5, 3.500e-1
0.835, -3.187e-5, -1.179e-5, 3.600e-1
0.836, -3.187e-5, -1.210e-5, 3.700e-1
0.837, -3.146e-5, -1.242e-5, 3.800e-1
0.838, -3.175e-5, -1.274e-5, 3.900e-1
0.839, -3.149e-5, -1.305e-5, 4.000e-1
0.840, -3.156e-5, -1.337e-5, 4.100e-1
0.841, -3.158e-5, -1.368e-5, 4.200e-1
0.842, -3.140e-5, -1.400e-5, 4.300e-1
0.843, -3.115e-5, -1.431e-5, 4.400e-1
0.844, -3.138e-5, -1.462e-5, 4.500e-1
0.845, -3.109e-5, -1.493e-5, 4.600e-1
0.846, -3.115e-5, -1.524e-5, 4.700e-1
0.847, -3.098e-5, -1.555e-5, 4.800e-1
0.848, -3.128e-5, -1.587e-5, 4.900e-1
0.849, -3.110e-5, -1.618e-5, 5.000e-1
0.850, -3.122e-5, -1.649e-5, 5.100e-1
0.851, -3.092e-5, -1.680e-5, 5.200e-1
0.852, -3.113e-5, -1.711e-5, 5.300e-1
0.853, -3.095e-5, -1.742e-5, 5.400e-1
0.854, -3.095e-5, -1.773e-5, 5.500e-1
0.855, -3.077e-5, -1.804e-5, 5.600e-1
0.856, -3.090e-5, -1.835e-5, 5.700e-1
0.857, -3.064e-5, -1.865e-5, 5.800e-1
0.858, -3.084e-5, -1.896e-5, 5.900e-1
0.859, -3.056e-5, -1.927e-5, 6.000e-1
0.860, -3.075e-5, -1.957e-5, 6.100e-1
0.861, -3.066e-5, -1.988e-5, 6.200e-1
0.862, -3.069e-5, -2.019e-5, 6.300e-1
0.863, -3.056e-5, -2.049e-5, 6.400e-1
0.864, -3.052e-5, -2.080e-5, 6.500e-1
0.865, -3.044e-5, -2.110e-5, 6.600e-1
0.866, -3.063e-5, -2.141e-5, 6.700e-1
0.867, -3.030e-5, -2.171e-5, 6.800e-1
0.868, -3.045e-5, -2.202e-5, 6.900e-1
0.869, -3.021e-5, -2.232e-5, 7.000e-1
