Segment 1:

Segment 2:
Ep = 0.348V
ip = -4.197e-5A
Ah = -3.763e-5C

Segment 3:
Ep = 0.403V
ip = 2.423e-3A
Ah = 2.751e-3C

Segment 4:
Ep = 0.364V
ip = -3.458e-5A
Ah = -3.310e-5C

Segment 5:
Ep = 0.407V
ip = 2.370e-3A
Ah = 2.831e-3C

Ep = 0.990V
ip = 3.657e-5A
Ah = 8.042e-6C

Segment 6:
Ep = 0.364V
ip = -3.459e-5A
Ah = -3.294e-5C

Segment 7:
Ep = 0.404V
ip = 2.385e-3A
Ah = 2.726e-3C

Segment 8:
Ep = 0.365V
ip = -3.534e-5A
Ah = -3.339e-5C

Segment 9:
Ep = 0.405V
ip = 2.400e-3A
Ah = 2.793e-3C

Ep = 1.038V
ip = 3.212e-5A
Ah = 5.325e-6C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.462e-5, -3.462e-7, 1.000e-2
0.801, -3.449e-5, -6.911e-7, 2.000e-2
0.802, -3.401e-5, -1.031e-6, 3.000e-2
0.803, -3.420e-5, -1.373e-6, 4.000e-2
0.804, -3.374e-5, -1.711e-6, 5.000e-2
0.805, -3.392e-5, -2.050e-6, 6.000e-2
0.806, -3.349e-5, -2.385e-6, 7.000e-2
0.807, -3.375e-5, -2.722e-6, 8.000e-2
0.808, -3.332e-5, -3.055e-6, 9.000e-2
0.809, -3.352e-5, -3.391e-6, 1.000e-1
0.810, -3.317e-5, -3.722e-6, 1.100e-1
0.811, -3.349e-5, -4.057e-6, 1.200e-1
0.812, -3.300e-5, -4.387e-6, 1.300e-1
0.813, -3.307e-5, -4.718e-6, 1.400e-1
0.814, -3.287e-5, -5.046e-6, 1.500e-1
0.815, -3.298e-5, -5.376e-6, 1.600e-1
0.816, -3.280e-5, -5.704e-6, 1.700e-1
0.817, -3.306e-5, -6.035e-6, 1.800e-1
0.818, -3.281e-5, -6.363e-6, 1.900e-1
0.819, -3.291e-5, -6.692e-6, 2.000e-1
0.820, -3.253e-5, -7.017e-6, 2.100e-1
0.821, -3.286e-5, -7.346e-6, 2.200e-1
0.822, -3.244e-5, -7.670e-6, 2.300e-1
0.823, -3.274e-5, -7.998e-6, 2.400e-1
