Segment 1:

Segment 2:
Ep = 0.305V
ip = -4.312e-5A
Ah = -5.000e-5C

Segment 3:
Ep = 0.406V
ip = 2.726e-3A
Ah = 2.917e-3C

Ep = 1.285V
ip = 3.459e-5A
Ah = 5.291e-6C

Segment 4:

Segment 5:
Ep = 0.411V
ip = 2.695e-3A
Ah = 3.086e-3C

Segment 6:
Ep = 0.320V
ip = -3.298e-5A
Ah = -4.193e-5C

Segment 7:
Ep = 0.409V
ip = 2.705e-3A
Ah = 3.021e-3C

Ep = 1.092V
ip = 4.546e-5A
Ah = 4.936e-6C

Segment 8:
Ep = 0.321V
ip = -3.279e-5A
Ah = -4.145e-5C

Segment 9:
Ep = 0.407V
ip = 2.693e-3A
Ah = 2.933e-3C

Potential/V, Current/A, Charge/C, Time/s

0.800, -5.156e-5, -5.156e-7, 1.000e-2
0.801, -5.048e-5, -1.020e-6, 2.000e-2
0.802, -5.072e-5, -1.528e-6, 3.000e-2
0.803, -4.994e-5, -2.027e-6, 4.000e-2
0.804, -5.027e-5, -2.530e-6, 5.000e-2
0.805, -4.949e-5, -3.025e-6, 6.000e-2
0.806, -4.960e-5, -3.521e-6, 7.000e-2
0.807, -4.938e-5, -4.014e-6, 8.000e-2
0.808, -4.974e-5, -4.512e-6, 9.000e-2
0.809, -4.914e-5, -5.003e-6, 1.000e-1
0.810, -4.953e-5, -5.499e-6, 1.100e-1
0.811, -4.888e-5, -5.987e-6, 1.200e-1
0.812, -4.922e-5, -6.480e-6, 1.300e-1
0.813, -4.871e-5, -6.967e-6, 1.400e-1
0.814, -4.897e-5, -7.456e-6, 1.500e-1
0.815, -4.837e-5, -7.940e-6, 1.600e-1
0.816, -4.879e-5, -8.428e-6, 1.700e-1
0.817, -4.829e-5, -8.911e-6, 1.800e-1
0.818, -4.874e-5, -9.398e-6, 1.900e-1
0.819, -4.814e-5, -9.880e-6, 2.000e-1
0.820, -4.856e-5, -1.037e-5, 2.100e-1
0.821, -4.788e-5, -1.084e-5, 2.200e-1
0.822, -4.817e-5, -1.133e-5, 2.300e-1
0.823, -4.766e-5, -1.180e-5, 2.400e-1
0.824, -4.802e-5, -1.228e-5, 2.500e-1
0.825, -4.746e-5, -1.276e-5, 2.600e-1
0.826, -4.791e-5, -1.324e-5, 2.700e-1
0.827, -4.742e-5, -1.371e-5, 2.800e-1
0.828, -4.771e-5, -1.419e-5, 2.900e-1
0.829, -4.726e-5, -1.466e-5, 3.000e-1
0.830, -4.775e-5, -1.514e-5, 3.100e-1
0.831, -4.706e-5, -1.561e-5, 3.200e-1
0.832, -4.752e-5, -1.608e-5, 3.300e-1
0.833, -4.692e-5, -1.655e-5, 3.400e-1
0.834, -4.722e-5, -1.702e-5, 3.500e-1
0.835, -4.685e-5, -1.749e-5, 3.600e-1
0.836, -4.746e-5, -1.797e-5, 3.700e-1
0.837, -4.633e-5, -1.843e-5, 3.800e-1
0.838, -4.705e-5, -1.890e-5, 3.900e-1
0.839, -4.675e-5, -1.937e-5, 4.000e-1
0.840, -4.659e-5, -1.984e-5, 4.100e-1
0.841, -4.631e-5, -2.030e-5, 4.200e-1
0.842, -4.688e-5, -2.077e-5, 4.300e-1
0.843, -4.600e-5, -2.123e-5, 4.400e-1
0.844, -4.663e-5, -2.169e-5, 4.500e-1
0.845, -4.592e-5, -2.215e-5, 4.600e-1
0.846, -4.628e-5, -2.262e-5, 4.700e-1
0.847, -4.594e-5, -2.307e-5, 4.800e-1
0.848, -4.641e-5, -2.354e-5, 4.900e-1
0.849, -4.556e-5, -2.399e-5, 5.000e-1
0.850, -4.598e-5, -2.445e-5, 5.100e-1
0.851, -4.558e-5, -2.491e-5, 5.200e-1
0.852, -4.582e-5, -2.537e-5, 5.300e-1
0.853, -4.546e-5, -2.582e-5, 5.400e-1
