Segment 1:

Segment 2:
Ep = 0.326V
ip = -4.908e-5A
Ah = -4.766e-5C

Segment 3:
Ep = 0.410V
ip = 2.291e-3A
Ah = 2.833e-3C

Segment 4:
Ep = 0.340V
ip = -3.823e-5A
Ah = -4.049e-5C

Segment 5:
Ep = 0.407V
ip = 2.366e-3A
Ah = 2.790e-3C

Ep = 1.060V
ip = 8.665e-6A
Ah = 1.433e-6C

Segment 6:
Ep = 0.332V
ip = -3.721e-5A
Ah = -4.453e-5C

Segment 7:
Ep = 0.411V
ip = 2.304e-3A
Ah = 2.838e-3C

Ep = 1.067V
ip = 3.550e-6A
Ah = 9.300e-7C

Segment 8:
Ep = 0.331V
ip = -3.765e-5A
Ah = -4.409e-5C

Segment 9:
Ep = 0.411V
ip = 2.365e-3A
Ah = 2.866e-3C

Ep = 1.069V
ip = 1.614e-5A
Ah = 1.449e-6C

Potential/V, Current/A, Charge/C, Time/s

0.800, -5.106e-5, -5.106e-7, 1.000e-2
0.801, -5.122e-5, -1.023e-6, 2.000e-2
0.802, -5.046e-5, -1.527e-6, 3.000e-2
0.803, -5.068e-5, -2.034e-6, 4.000e-2
0.804, -4.992e-5, -2.533e-6, 5.000e-2
0.805, -5.014e-5, -3.035e-6, 6.000e-2
0.806, -4.963e-5, -3.531e-6, 7.000e-2
0.807, -4.996e-5, -4.031e-6, 8.000e-2
0.808, -4.910e-5, -4.522e-6, 9.000e-2
0.809, -4.971e-5, -5.019e-6, 1.000e-1
0.810, -4.912e-5, -5.510e-6, 1.100e-1
0.811, -4.928e-5, -6.003e-6, 1.200e-1
0.812, -4.880e-5, -6.491e-6, 1.300e-1
0.813, -4.902e-5, -6.981e-6, 1.400e-1
0.814, -4.871e-5, -7.468e-6, 1.500e-1
0.815, -4.904e-5, -7.958e-6, 1.600e-1
0.816, -4.853e-5, -8.444e-6, 1.700e-1
0.817, -4.887e-5, -8.932e-6, 1.800e-1
0.818, -4.829e-5, -9.415e-6, 1.900e-1
0.819, -4.858e-5, -9.901e-6, 2.000e-1
0.820, -4.798e-5, -1.038e-5, 2.100e-1
0.821, -4.857e-5, -1.087e-5, 2.200e-1
0.822, -4.792e-5, -1.135e-5, 2.300e-1
0.823, -4.829e-5, -1.183e-5, 2.400e-1
0.824, -4.760e-5, -1.230e-5, 2.500e-1
0.825, -4.808e-5, -1.279e-5, 2.600e-1
0.826, -4.752e-5, -1.326e-5, 2.700e-1
0.827, -4.790e-5, -1.374e-5, 2.800e-1
0.828, -4.733e-5, -1.421e-5, 2.900e-1
0.829, -4.780e-5, -1.469e-5, 3.000e-1
0.830, -4.714e-5, -1.516e-5, 3.100e-1
0.831, -4.761e-5, -1.564e-5, 3.200e-1
0.832, -4.700e-5, -1.611e-5, 3.300e-1
0.833, -4.737e-5, -1.658e-5, 3.400e-1
0.834, -4.694e-5, -1.705e-5, 3.500e-1
0.835, -4.719e-5, -1.752e-5, 3.600e-1
0.836, -4.662e-5, -1.799e-5, 3.700e-1
0.837, -4.727e-5, -1.846e-5, 3.800e-1
0.838, -4.667e-5, -1.893e-5, 3.900e-1
0.839, -4.700e-5, -1.940e-5, 4.000e-1
0.840, -4.642e-5, -1.986e-5, 4.100e-1
0.841, -4.693e-5, -2.033e-5, 4.200e-1
0.842, -4.602e-5, -2.079e-5, 4.300e-1
0.843, -4.670e-5, -2.126e-5, 4.400e-1
0.844, -4.597e-5, -2.172e-5, 4.500e-1
0.845, -4.659e-5, -2.219e-5, 4.600e-1
0.846, -4.600e-5, -2.265e-5, 4.700e-1
0.847, -4.647e-5, -2.311e-5, 4.800e-1
0.848, -4.570e-5, -2.357e-5, 4.900e-1
0.849, -4.632e-5, -2.403e-5, 5.000e-1
0.850, -4.559e-5, -2.449e-5, 5.100e-1
0.851, -4.610e-5, -2.495e-5, 5.200e-1
0.852, -4.549e-5, -2.540e-5, 5.300e-1
0.853, -4.603e-5, -2.586e-5, 5.400e-1
0.854, -4.521e-5, -2.631e-5, 5.500e-1
0.855, -4.590e-5, -2.677e-5, 5.600e-1
0.856, -4.517e-5, -2.723e-5, 5.700e-1
0.857, -4.562e-5, -2.768e-5, 5.800e-1
0.858, -4.504e-5, -2.813e-5, 5.900e-1
0.859, -4.546e-5, -2.859e-5, 6.000e-1
0.860, -4.486e-5, -2.904e-5, 6.100e-1
0.861, -4.533e-5, -2.949e-5, 6.200e-1
