Segment 1:

Segment 2:
Ep = 0.351V
ip = -5.310e-5A
Ah = -4.241e-5C

Segment 3:
Ep = 0.415V
ip = 2.322e-3A
Ah = 2.750e-3C

Ep = 1.177V
ip = 6.134e-6A
Ah = 2.909e-6C

Segment 4:
Ep = 0.360V
ip = -4.064e-5A
Ah = -3.812e-5C

Segment 5:
Ep = 0.415V
ip = 2.259e-3A
Ah = 2.737e-3C

Ep = 0.942V
ip = 1.139e-5A
Ah = 4.615e-6C

Segment 6:
Ep = 0.361V
ip = -3.976e-5A
Ah = -3.642e-5C

Segment 7:
Ep = 0.412V
ip = 2.296e-3A
Ah = 2.712e-3C

Segment 8:
Ep = 0.356V
ip = -4.077e-5A
Ah = -3.955e-5C

Segment 9:
Ep = 0.412V
ip = 2.303e-3A
Ah = 2.736e-3C

Ep = 1.237V
ip = 4.589e-5A
Ah = 2.034e-6C

Potential/V, Current/A, Charge/C, Time/s

0.800, -5.169e-5, -5.169e-7, 1.000e-2
0.801, -5.163e-5, -1.033e-6, 2.000e-2
0.802, -5.075e-5, -1.541e-6, 3.000e-2
0.803, -5.124e-5, -2.053e-6, 4.000e-2
0.804, -5.059e-5, -2.559e-6, 5.000e-2
0.805, -5.091e-5, -3.068e-6, 6.000e-2
0.806, -5.016e-5, -3.570e-6, 7.000e-2
0.807, -5.069e-5, -4.077e-6, 8.000e-2
0.808, -5.022e-5, -4.579e-6, 9.000e-2
0.809, -5.041e-5, -5.083e-6, 1.000e-1
0.810, -4.995e-5, -5.582e-6, 1.100e-1
0.811, -5.018e-5, -6.084e-6, 1.200e-1
0.812, -4.974e-5, -6.582e-6, 1.300e-1
0.813, -5.024e-5, -7.084e-6, 1.400e-1
0.814, -4.955e-5, -7.580e-6, 1.500e-1
0.815, -5.008e-5, -8.080e-6, 1.600e-1
0.816, -4.944e-5, -8.575e-6, 1.700e-1
0.817, -4.956e-5, -9.070e-6, 1.800e-1
0.818, -4.910e-5, -9.561e-6, 1.900e-1
0.819, -4.976e-5, -1.006e-5, 2.000e-1
0.820, -4.892e-5, -1.055e-5, 2.100e-1
0.821, -4.963e-5, -1.104e-5, 2.200e-1
0.822, -4.888e-5, -1.153e-5, 2.300e-1
0.823, -4.955e-5, -1.203e-5, 2.400e-1
0.824, -4.889e-5, -1.252e-5, 2.500e-1
0.825, -4.918e-5, -1.301e-5, 2.600e-1
0.826, -4.872e-5, -1.350e-5, 2.700e-1
0.827, -4.911e-5, -1.399e-5, 2.800e-1
0.828, -4.848e-5, -1.447e-5, 2.900e-1
0.829, -4.905e-5, -1.496e-5, 3.000e-1
0.830, -4.829e-5, -1.545e-5, 3.100e-1
0.831, -4.890e-5, -1.594e-5, 3.200e-1
0.832, -4.848e-5, -1.642e-5, 3.300e-1
0.833, -4.859e-5, -1.691e-5, 3.400e-1
0.834, -4.807e-5, -1.739e-5, 3.500e-1
0.835, -4.859e-5, -1.787e-5, 3.600e-1
0.836, -4.799e-5, -1.835e-5, 3.700e-1
0.837, -4.861e-5, -1.884e-5, 3.800e-1
0.838, -4.830e-5, -1.932e-5, 3.900e-1
0.839, -4.859e-5, -1.981e-5, 4.000e-1
0.840, -4.805e-5, -2.029e-5, 4.100e-1
0.841, -4.844e-5, -2.077e-5, 4.200e-1
0.842, -4.779e-5, -2.125e-5, 4.300e-1
0.843, -4.831e-5, -2.173e-5, 4.400e-1
0.844, -4.756e-5, -2.221e-5, 4.500e-1
0.845, -4.802e-5, -2.269e-5, 4.600e-1
0.846, -4.772e-5, -2.317e-5, 4.700e-1
0.847, -4.817e-5, -2.365e-5, 4.800e-1
0.848, -4.729e-5, -2.412e-5, 4.900e-1
0.849, -4.796e-5, -2.460e-5, 5.000e-1
0.850, -4.722e-5, -2.507e-5, 5.100e-1
0.851, -4.794e-5, -2.555e-5, 5.200e-1
0.852, -4.724e-5, -2.602e-5, 5.300e-1
0.853, -4.772e-5, -2.650e-5, 5.400e-1
0.854, -4.727e-5, -2.697e-5, 5.500e-1
0.855, -4.763e-5, -2.745e-5, 5.600e-1
0.856, -4.705e-5, -2.792e-5, 5.700e-1
0.857, -4.757e-5, -2.840e-5, 5.800e-1
0.858, -4.697e-5, -2.887e-5, 5.900e-1
0.859, -4.760e-5, -2.934e-5, 6.000e-1
0.860, -4.700e-5, -2.981e-5, 6.100e-1
0.861, -4.739e-5, -3.029e-5, 6.200e-1
0.862, -4.675e-5, -3.075e-5, 6.300e-1
0.863, -4.722e-5, -3.123e-5, 6.400e-1
0.864, -4.674e-5, -3.169e-5, 6.500e-1
0.865, -4.716e-5, -3.217e-5, 6.600e-1
0.866, -4.652e-5, -3.263e-5, 6.700e-1
0.867, -4.705e-5, -3.310e-5, 6.800e-1
0.868, -4.659e-5, -3.357e-5, 6.900e-1
0.869, -4.698e-5, -3.404e-5, 7.000e-1
0.870, -4.643e-5, -3.450e-5, 7.100e-1
0.871, -4.683e-5, -3.497e-5, 7.200e-1
0.872, -4.636e-5, -3.543e-5, 7.300e-1
0.873, -4.697e-5, -3.590e-5, 7.400e-1
0.874, -4.645e-5, -3.637e-5, 7.500e-1
0.875, -4.681e-5, -3.684e-5, 7.600e-1
0.876, -4.604e-5, -3.730e-5, 7.700e-1
0.877, -4.659e-5, -3.776e-5, 7.800e-1
0.878, -4.605e-5, -3.822e-5, 7.900e-1
0.879, -4.658e-5, -3.869e-5, 8.000e-1
0.880, -4.595e-5, -3.915e-5, 8.100e-1
0.881, -4.650e-5, -3.961e-5, 8.200e-1
0.882, -4.587e-5, -4.007e-5, 8.300e-1
0.883, -4.634e-5, -4.053e-5, 8.400e-1
0.884, -4.551e-5, -4.099e-5, 8.500e-1
0.885, -4.629e-5, -4.145e-5, 8.600e-1
0.886, -4.565e-5, -4.191e-5, 8.700e-1
0.887, -4.613e-5, -4.237e-5, 8.800e-1
0.888, -4.556e-5, -4.283e-5, 8.900e-1
0.889, -4.618e-5, -4.329e-5, 9.000e-1
0.890, -4.553e-5, -4.374e-5, 9.100e-1
0.891, -4.604e-5, -4.420e-5, 9.200e-1
0.892, -4.552e-5, -4.466e-5, 9.300e-1
0.893, -4.605e-5, -4.512e-5, 9.400e-1
0.894, -4.549e-5, -4.557e-5, 9.500e-1
0.895, -4.596e-5, -4.603e-5, 9.600e-1
0.896, -4.536e-5, -4.649e-5, 9.700e-1
0.897, -4.570e-5, -4.694e-5, 9.800e-1
0.898, -4.534e-5, -4.740e-5, 9.900e-1
0.899, -4.576e-5, -4.786e-5, 1.000e+0
0.900, -4.501e-5, -4.831e-5, 1.010e+0
0.901, -4.571e-5, -4.876e-5, 1.020e+0
0.902, -4.505e-5, -4.921e-5, 1.030e+0
0.903, -4.555e-5, -4.967e-5, 1.040e+0
0.904, -4.494e-5, -5.012e-5, 1.050e+0
0.905, -4.547e-5, -5.057e-5, 1.060e+0
0.906, -4.477e-5, -5.102e-5, 1.070e+0
0.907, -4.549e-5, -5.148e-5, 1.080e+0
0.908, -4.480e-5, -5.192e-5, 1.090e+0
0.909, -4.526e-5, -5.238e-5, 1.100e+0
0.910, -4.470e-5, -5.282e-5, 1.110e+0
0.911, -4.545e-5, -5.328e-5, 1.120e+0
0.912, -4.474e-5, -5.372e-5, 1.130e+0
0.913, -4.536e-5, -5.418e-5, 1.140e+0
0.914, -4.468e-5, -5.463e-5, 1.150e+0
0.915, -4.505e-5, -5.508e-5, 1.160e+0
0.916, -4.428e-5, -5.552e-5, 1.170e+0
0.917, -4.509e-5, -5.597e-5, 1.180e+0
0.918, -4.427e-5, -5.641e-5, 1.190e+0
0.919, -4.493e-5, -5.686e-5, 1.200e+0
0.920, -4.436e-5, -5.731e-5, 1.210e+0
0.921, -4.501e-5, -5.776e-5, 1.220e+0
0.922, -4.442e-5, -5.820e-5, 1.230e+0
0.923, -4.497e-5, -5.865e-5, 1.240e+0
0.924, -4.435e-5, -5.909e-5, 1.250e+0
0.925, -4.482e-5, -5.954e-5, 1.260e+0
0.926, -4.416e-5, -5.998e-5, 1.270e+0
0.927, -4.453e-5, -6.043e-5, 1.280e+0
0.928, -4.421e-5, -6.087e-5, 1.290e+0
0.929, -4.461e-5, -6.132e-5, 1.300e+0
0.930, -4.396e-5, -6.176e-5, 1.310e+0
