Segment 1:

Segment 2:
Ep = 0.344V
ip = -3.684e-5A
Ah = -3.456e-5C

Segment 3:
Ep = 0.395V
ip = 2.388e-3A
Ah = 2.645e-3C

Segment 4:
Ep = 0.355V
ip = -2.869e-5A
Ah = -3.023e-5C

Segment 5:
Ep = 0.395V
ip = 2.392e-3A
Ah = 2.674e-3C

Segment 6:
Ep = 0.353V
ip = -2.868e-5A
Ah = -3.098e-5C

Segment 7:
Ep = 0.395V
ip = 2.388e-3A
Ah = 2.660e-3C

Ep = 1.276V
ip = 3.696e-6A
Ah = 2.075e-6C

Segment 8:
Ep = 0.353V
ip = -2.812e-5A
Ah = -3.024e-5C

Segment 9:
Ep = 0.395V
ip = 2.379e-3A
Ah = 2.647e-3C

Ep = 1.086V
ip = 3.525e-5A
Ah = 1.819e-6C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.236e-5, -3.236e-7, 1.000e-2
0.801, -3.239e-5, -6.475e-7, 2.000e-2
0.802, -3.188e-5, -9.664e-7, 3.000e-2
0.803, -3.192e-5, -1.286e-6, 4.000e-2
0.804, -3.155e-5, -1.601e-6, 5.000e-2
0.805, -3.170e-5, -1.918e-6, 6.000e-2
0.806, -3.141e-5, -2.232e-6, 7.000e-2
0.807, -3.160e-5, -2.548e-6, 8.000e-2
0.808, -3.124e-5, -2.861e-6, 9.000e-2
0.809, -3.138e-5, -3.174e-6, 1.000e-1
0.810, -3.079e-5, -3.482e-6, 1.100e-1
0.811, -3.114e-5, -3.794e-6, 1.200e-1
0.812, -3.064e-5, -4.100e-6, 1.300e-1
0.813, -3.110e-5, -4.411e-6, 1.400e-1
0.814, -3.079e-5, -4.719e-6, 1.500e-1
0.815, -3.092e-5, -5.028e-6, 1.600e-1
0.816, -3.065e-5, -5.335e-6, 1.700e-1
0.817, -3.072e-5, -5.642e-6, 1.800e-1
0.818, -3.058e-5, -5.948e-6, 1.900e-1
0.819, -3.078e-5, -6.256e-6, 2.000e-1
0.820, -3.037e-5, -6.559e-6, 2.100e-1
0.821, -3.062e-5, -6.865e-6, 2.200e-1
0.822, -3.020e-5, -7.167e-6, 2.300e-1
0.823, -3.050e-5, -7.472e-6, 2.400e-1
0.824, -3.006e-5, -7.773e-6, 2.500e-1
0.825, -3.030e-5, -8.076e-6, 2.600e-1
0.826, -3.005e-5, -8.376e-6, 2.700e-1
0.827, -3.033e-5, -8.680e-6, 2.800e-1
0.828, -3.003e-5, -8.980e-6, 2.900e-1
0.829, -3.040e-5, -9.284e-6, 3.000e-1
0.830, -2.994e-5, -9.583e-6, 3.100e-1
0.831, -3.015e-5, -9.885e-6, 3.200e-1
0.832, -2.993e-5, -1.018e-5, 3.300e-1
0.833, -3.019e-5, -1.049e-5, 3.400e-1
0.834, -2.979e-5, -1.078e-5, 3.500e-1
0.835, -3.008e-5, -1.108e-5, 3.600e-1
0.836, -2.969e-5, -1.138e-5, 3.700e-1
0.837, -2.988e-5, -1.168e-5, 3.800e-1
0.838, -2.956e-5, -1.198e-5, 3.900e-1
0.839, -2.982e-5, -1.227e-5, 4.000e-1
0.840, -2.944e-5, -1.257e-5, 4.100e-1
0.841, -2.978e-5, -1.287e-5, 4.200e-1
0.842, -2.941e-5, -1.316e-5, 4.300e-1
0.843, -2.966e-5, -1.346e-5, 4.400e-1
0.844, -2.939e-5, -1.375e-5, 4.500e-1
0.845, -2.964e-5, -1.405e-5, 4.600e-1
0.846, -2.919e-5, -1.434e-5, 4.700e-1
0.847, -2.942e-5, -1.463e-5, 4.800e-1
0.848, -2.906e-5, -1.492e-5, 4.900e-1
0.849, -2.942e-5, -1.522e-5, 5.000e-1
0.850, -2.904e-5, -1.551e-5, 5.100e-1
0.851, -2.925e-5, -1.580e-5, 5.200e-1
0.852, -2.888e-5, -1.609e-5, 5.300e-1
0.853, -2.938e-5, -1.638e-5, 5.400e-1
0.854, -2.881e-5, -1.667e-5, 5.500e-1
0.855, -2.944e-5, -1.697e-5, 5.600e-1
0.856, -2.878e-5, -1.725e-5, 5.700e-1
0.857, -2.898e-5, -1.754e-5, 5.800e-1
0.858, -2.866e-5, -1.783e-5, 5.900e-1
0.859, -2.909e-5, -1.812e-5, 6.000e-1
0.860, -2.862e-5, -1.841e-5, 6.100e-1
0.861, -2.901e-5, -1.870e-5, 6.200e-1
0.862, -2.856e-5, -1.898e-5, 6.300e-1
0.863, -2.879e-5, -1.927e-5, 6.400e-1
0.864, -2.866e-5, -1.956e-5, 6.500e-1
0.865, -2.874e-5, -1.985e-5, 6.600e-1
0.866, -2.847e-5, -2.013e-5, 6.700e-1
0.867, -2.866e-5, -2.042e-5, 6.800e-1
0.868, -2.830e-5, -2.070e-5, 6.900e-1
0.869, -2.871e-5, -2.099e-5, 7.000e-1
0.870, -2.828e-5, -2.127e-5, 7.100e-1
0.871, -2.858e-5, -2.156e-5, 7.200e-1
0.872, -2.828e-5, -2.184e-5, 7.300e-1
0.873, -2.863e-5, -2.212e-5, 7.400e-1
0.874, -2.820e-5, -2.241e-5, 7.500e-1
0.875, -2.863e-5, -2.269e-5, 7.600e-1
0.876, -2.805e-5, -2.297e-5, 7.700e-1
0.877, -2.836e-5, -2.326e-5, 7.800e-1
0.878, -2.811e-5, -2.354e-5, 7.900e-1
0.879, -2.825e-5, -2.382e-5, 8.000e-1
0.880, -2.791e-5, -2.410e-5, 8.100e-1
0.881, -2.824e-5, -2.438e-5, 8.200e-1
0.882, -2.783e-5, -2.466e-5, 8.300e-1
0.883, -2.821e-5, -2.494e-5, 8.400e-1
0.884, -2.784e-5, -2.522e-5, 8.500e-1
0.885, -2.819e-5, -2.550e-5, 8.600e-1
0.886, -2.783e-5, -2.578e-5, 8.700e-1
0.887, -2.809e-5, -2.606e-5, 8.800e-1
0.888, -2.763e-5, -2.634e-5, 8.900e-1
0.889, -2.773e-5, -2.662e-5, 9.000e-1
0.890, -2.750e-5, -2.689e-5, 9.100e-1
0.891, -2.802e-5, -2.717e-5, 9.200e-1
0.892, -2.741e-5, -2.744e-5, 9.300e-1
0.893, -2.771e-5, -2.772e-5, 9.400e-1
0.894, -2.730e-5, -2.799e-5, 9.500e-1
0.895, -2.772e-5, -2.827e-5, 9.600e-1
0.896, -2.753e-5, -2.855e-5, 9.700e-1
0.897, -2.764e-5, -2.882e-5, 9.800e-1
0.898, -2.744e-5, -2.910e-5, 9.900e-1
0.899, -2.756e-5, -2.937e-5, 1.000e+0
0.900, -2.724e-5, -2.965e-5, 1.010e+0
0.901, -2.751e-5, -2.992e-5, 1.020e+0
0.902, -2.723e-5, -3.019e-5, 1.030e+0
0.903, -2.757e-5, -3.047e-5, 1.040e+0
0.904, -2.714e-5, -3.074e-5, 1.050e+0
0.905, -2.740e-5, -3.101e-5, 1.060e+0
0.906, -2.712e-5, -3.129e-5, 1.070e+0
0.907, -2.730e-5, -3.156e-5, 1.080e+0
0.908, -2.693e-5, -3.183e-5, 1.090e+0
0.909, -2.726e-5, -3.210e-5, 1.100e+0
0.910, -2.705e-5, -3.237e-5, 1.110e+0
0.911, -2.711e-5, -3.264e-5, 1.120e+0
0.912, -2.697e-5, -3.291e-5, 1.130e+0
0.913, -2.732e-5, -3.318e-5, 1.140e+0
0.914, -2.683e-5, -3.345e-5, 1.150e+0
0.915, -2.701e-5, -3.372e-5, 1.160e+0
0.916, -2.682e-5, -3.399e-5, 1.170e+0
0.917, -2.700e-5, -3.426e-5, 1.180e+0
0.918, -2.646e-5, -3.453e-5, 1.190e+0
0.919, -2.710e-5, -3.480e-5, 1.200e+0
0.920, -2.654e-5, -3.506e-5, 1.210e+0
0.921, -2.677e-5, -3.533e-5, 1.220e+0
0.922, -2.643e-5, -3.559e-5, 1.230e+0
0.923, -2.690e-5, -3.586e-5, 1.240e+0
0.924, -2.638e-5, -3.613e-5, 1.250e+0
0.925, -2.666e-5, -3.639e-5, 1.260e+0
0.926, -2.644e-5, -3.666e-5, 1.270e+0
0.927, -2.681e-5, -3.693e-5, 1.280e+0
0.928, -2.628e-5, -3.719e-5, 1.290e+0
0.929, -2.668e-5, -3.746e-5, 1.300e+0
0.930, -2.622e-5, -3.772e-5, 1.310e+0
0.931, -2.661e-5, -3.798e-5, 1.320e+0
0.932, -2.625e-5, -3.825e-5, 1.330e+0
0.933, -2.647e-5, -3.851e-5, 1.340e+0
0.934, -2.611e-5, -3.877e-5, 1.350e+0
0.935, -2.664e-5, -3.904e-5, 1.360e+0
0.936, -2.599e-5, -3.930e-5, 1.370e+0
0.937, -2.639e-5, -3.956e-5, 1.380e+0
0.938, -2.587e-5, -3.982e-5, 1.390e+0
0.939, -2.636e-5, -4.009e-5, 1.400e+0
0.940, -2.579e-5, -4.034e-5, 1.410e+0
0.941, -2.615e-5, -4.060e-5, 1.420e+0
0.942, -2.585e-5, -4.086e-5, 1.430e+0
0.943, -2.623e-5, -4.113e-5, 1.440e+0
0.944, -2.593e-5, -4.138e-5, 1.450e+0
0.945, -2.619e-5, -4.165e-5, 1.460e+0
0.946, -2.575e-5, -4.190e-5, 1.470e+0
0.947, -2.601e-5, -4.216e-5, 1.480e+0
0.948, -2.575e-5, -4.242e-5, 1.490e+0
0.949, -2.589e-5, -4.268e-5, 1.500e+0
0.950, -2.576e-5, -4.294e-5, 1.510e+0
0.951, -2.589e-5, -4.320e-5, 1.520e+0
0.952, -2.559e-5, -4.345e-5, 1.530e+0
0.953, -2.601e-5, -4.371e-5, 1.540e+0
0.954, -2.540e-5, -4.397e-5, 1.550e+0
0.955, -2.578e-5, -4.422e-5, 1.560e+0
0.956, -2.554e-5, -4.448e-5, 1.570e+0
0.957, -2.588e-5, -4.474e-5, 1.580e+0
0.958, -2.525e-5, -4.499e-5, 1.590e+0
0.959, -2.554e-5, -4.525e-5, 1.600e+0
0.960, -2.536e-5, -4.550e-5, 1.610e+0
0.961, -2.562e-5, -4.576e-5, 1.620e+0
0.962, -2.525e-5, -4.601e-5, 1.630e+0
0.963, -2.552e-5, -4.626e-5, 1.640e+0
0.964, -2.524e-5, -4.652e-5, 1.650e+0
0.965, -2.542e-5, -4.677e-5, 1.660e+0
0.966, -2.514e-5, -4.702e-5, 1.670e+0
0.967, -2.550e-5, -4.728e-5, 1.680e+0
0.968, -2.505e-5, -4.753e-5, 1.690e+0
0.969, -2.535e-5, -4.778e-5, 1.700e+0
0.970, -2.500e-5, -4.803e-5, 1.710e+0
0.971, -2.540e-5, -4.829e-5, 1.720e+0
0.972, -2.487e-5, -4.853e-5, 1.730e+0
0.973, -2.514e-5, -4.879e-5, 1.740e+0
0.974, -2.494e-5, -4.903e-5, 1.750e+0
0.975, -2.512e-5, -4.929e-5, 1.760e+0
0.976, -2.478e-5, -4.953e-5, 1.770e+0
0.977, -2.523e-5, -4.979e-5, 1.780e+0
0.978, -2.488e-5, -5.003e-5, 1.790e+0
0.979, -2.509e-5, -5.029e-5, 1.800e+0
0.980, -2.479e-5, -5.053e-5, 1.810e+0
0.981, -2.507e-5, -5.078e-5, 1.820e+0
0.982, -2.483e-5, -5.103e-5, 1.830e+0
0.983, -2.475e-5, -5.128e-5, 1.840e+0
0.984, -2.465e-5, -5.153e-5, 1.850e+0
0.985, -2.490e-5, -5.178e-5, 1.860e+0
0.986, -2.462e-5, -5.202e-5, 1.870e+0
0.987, -2.489e-5, -5.227e-5, 1.880e+0
0.988, -2.447e-5, -5.252e-5, 1.890e+0
0.989, -2.484e-5, -5.276e-5, 1.900e+0
0.990, -2.446e-5, -5.301e-5, 1.910e+0
0.991, -2.469e-5, -5.326e-5, 1.920e+0
0.992, -2.432e-5, -5.350e-5, 1.930e+0
0.993, -2.507e-5, -5.375e-5, 1.940e+0
0.994, -2.413e-5, -5.399e-5, 1.950e+0
0.995, -2.471e-5, -5.424e-5, 1.960e+0
0.996, -2.423e-5, -5.448e-5, 1.970e+0
0.997, -2.453e-5, -5.473e-5, 1.980e+0
0.998, -2.412e-5, -5.497e-5, 1.990e+0
0.999, -2.452e-5, -5.521e-5, 2.000e+0
1.000, -2.405e-5, -5.545e-5, 2.010e+0
1.001, -2.472e-5, -5.570e-5, 2.020e+0
