Segment 1:

Segment 2:
Ep = 0.348V
ip = -4.773e-5A
Ah = -3.831e-5C

Segment 3:
Ep = 0.413V
ip = 2.391e-3A
Ah = 2.693e-3C

Segment 4:
Ep = 0.383V
ip = -3.849e-5A
Ah = -3.298e-5C

Segment 5:
Ep = 0.417V
ip = 2.289e-3A
Ah = 2.685e-3C

Segment 6:
Ep = 0.387V
ip = -3.924e-5A
Ah = -3.266e-5C

Segment 7:
Ep = 0.415V
ip = 2.362e-3A
Ah = 2.635e-3C

Ep = 0.985V
ip = 8.353e-6A
Ah = 7.527e-6C

Segment 8:
Ep = 0.391V
ip = -4.074e-5A
Ah = -3.224e-5C

Segment 9:
Ep = 0.415V
ip = 2.346e-3A
Ah = 2.587e-3C

Ep = 1.031V
ip = 3.844e-6A
Ah = 1.304e-7C

Potential/V, Current/A, Charge/C, Time/s

0.800, -3.492e-5, -3.492e-7, 1.000e-2
0.801, -3.414e-5, -6.906e-7, 2.000e-2
0.802, -3.420e-5, -1.033e-6, 3.000e-2
0.803, -3.379e-5, -1.370e-6, 4.000e-2
0.804, -3.396e-5, -1.710e-6, 5.000e-2
0.805, -3.324e-5, -2.043e-6, 6.000e-2
0.806, -3.368e-5, -2.379e-6, 7.000e-2
0.807, -3.312e-5, -2.711e-6, 8.000e-2
0.808, -3.338e-5, -3.044e-6, 9.000e-2
0.809, -3.288e-5, -3.373e-6, 1.000e-1
0.810, -3.334e-5, -3.707e-6, 1.100e-1
0.811, -3.262e-5, -4.033e-6, 1.200e-1
0.812, -3.298e-5, -4.363e-6, 1.300e-1
0.813, -3.248e-5, -4.687e-6, 1.400e-1
0.814, -3.266e-5, -5.014e-6, 1.500e-1
0.815, -3.227e-5, -5.337e-6, 1.600e-1
0.816, -3.246e-5, -5.661e-6, 1.700e-1
0.817, -3.200e-5, -5.981e-6, 1.800e-1
0.818, -3.226e-5, -6.304e-6, 1.900e-1
0.819, -3.186e-5, -6.622e-6, 2.000e-1
0.820, -3.200e-5, -6.942e-6, 2.100e-1
0.821, -3.166e-5, -7.259e-6, 2.200e-1
0.822, -3.168e-5, -7.576e-6, 2.300e-1
0.823, -3.150e-5, -7.891e-6, 2.400e-1
0.824, -3.153e-5, -8.206e-6, 2.500e-1
0.825, -3.135e-5, -8.520e-6, 2.600e-1
0.826, -3.160e-5, -8.836e-6, 2.700e-1
0.827, -3.132e-5, -9.149e-6, 2.800e-1
0.828, -3.130e-5, -9.462e-6, 2.900e-1
0.829, -3.073e-5, -9.769e-6, 3.000e-1
0.830, -3.095e-5, -1.008e-5, 3.100e-1
0.831, -3.064e-5, -1.039e-5, 3.200e-1
0.832, -3.116e-5, -1.070e-5, 3.300e-1
0.833, -3.047e-5, -1.100e-5, 3.400e-1
0.834, -3.088e-5, -1.131e-5, 3.500e-1
0.835, -3.032e-5, -1.161e-5, 3.600e-1
0.836, -3.052e-5, -1.192e-5, 3.700e-1
0.837, -3.014e-5, -1.222e-5, 3.800e-1
0.838, -3.036e-5, -1.252e-5, 3.900e-1
0.839, -2.986e-5, -1.282e-5, 4.000e-1
0.840, -3.033e-5, -1.313e-5, 4.100e-1
0.841, -2.989e-5, -1.342e-5, 4.200e-1
0.842, -2.991e-5, -1.372e-5, 4.300e-1
0.843, -2.951e-5, -1.402e-5, 4.400e-1
0.844, -2.979e-5, -1.432e-5, 4.500e-1
0.845, -2.943e-5, -1.461e-5, 4.600e-1
0.846, -2.962e-5, -1.491e-5, 4.700e-1
0.847, -2.911e-5, -1.520e-5, 4.800e-1
0.848, -2.978e-5, -1.550e-5, 4.900e-1
0.849, -2.899e-5, -1.579e-5, 5.000e-1
0.850, -2.918e-5, -1.608e-5, 5.100e-1
0.851, -2.900e-5, -1.637e-5, 5.200e-1
0.852, -2.903e-5, -1.666e-5, 5.300e-1
0.853, -2.887e-5, -1.695e-5, 5.400e-1
0.854, -2.859e-5, -1.723e-5, 5.500e-1
0.855, -2.840e-5, -1.752e-5, 5.600e-1
0.856, -2.869e-5, -1.780e-5, 5.700e-1
0.857, -2.828e-5, -1.809e-5, 5.800e-1
