Segment 1:

Segment 2:
Ep = 0.311V
ip = -2.487e-5A
Ah = -3.180e-5C

Segment 3:
Ep = 0.383V
ip = 3.353e-3A
Ah = 3.347e-3C

Segment 4:

Segment 5:
Ep = 0.383V
ip = 3.385e-3A
Ah = 3.311e-3C

Ep = 1.070V
ip = 2.280e-5A
Ah = 1.045e-5C

Segment 6:
Ep = 0.711V
ip = -2.548e-6A
Ah = -8.102e-7C

Segment 7:
Ep = 0.384V
ip = 3.396e-3A
Ah = 3.330e-3C

Segment 8:

Segment 9:
Ep = 0.387V
ip = 3.392e-3A
Ah = 3.439e-3C

Potential/V, Current/A, Charge/C, Time/s

0.800, -4.736e-5, -4.736e-7, 1.000e-2
0.801, -4.716e-5, -9.452e-7, 2.000e-2
0.802, -4.677e-5, -1.413e-6, 3.000e-2
0.803, -4.662e-5, -1.879e-6, 4.000e-2
0.804, -4.640e-5, -2.343e-6, 5.000e-2
0.805, -4.661e-5, -2.809e-6, 6.000e-2
0.806, -4.631e-5, -3.272e-6, 7.000e-2
0.807, -4.645e-5, -3.737e-6, 8.000e-2
0.808, -4.594e-5, -4.196e-6, 9.000e-2
0.809, -4.628e-5, -4.659e-6, 1.000e-1
0.810, -4.570e-5, -5.116e-6, 1.100e-1
0.811, -4.597e-5, -5.576e-6, 1.200e-1
0.812, -4.574e-5, -6.033e-6, 1.300e-1
0.813, -4.578e-5, -6.491e-6, 1.400e-1
0.814, -4.571e-5, -6.948e-6, 1.500e-1
0.815, -4.556e-5, -7.404e-6, 1.600e-1
0.816, -4.547e-5, -7.858e-6, 1.700e-1
0.817, -4.559e-5, -8.314e-6, 1.800e-1
0.818, -4.520e-5, -8.766e-6, 1.900e-1
0.819, -4.550e-5, -9.221e-6, 2.000e-1
0.820, -4.485e-5, -9.670e-6, 2.100e-1
0.821, -4.515e-5, -1.012e-5, 2.200e-1
0.822, -4.488e-5, -1.057e-5, 2.300e-1
0.823, -4.492e-5, -1.102e-5, 2.400e-1
0.824, -4.465e-5, -1.147e-5, 2.500e-1
0.825, -4.484e-5, -1.191e-5, 2.600e-1
0.826, -4.458e-5, -1.236e-5, 2.700e-1
0.827, -4.468e-5, -1.281e-5, 2.800e-1
0.828, -4.440e-5, -1.325e-5, 2.900e-1
0.829, -4.456e-5, -1.370e-5, 3.000e-1
0.830, -4.419e-5, -1.414e-5, 3.100e-1
0.831, -4.457e-5, -1.458e-5, 3.200e-1
0.832, -4.401e-5, -1.502e-5, 3.300e-1
0.833, -4.444e-5, -1.547e-5, 3.400e-1
