Segment 1:

Segment 2:

Segment 3:
Ep = 0.368V
ip = 3.358e-3A
Ah = 3.168e-3C

Ep = 0.849V
ip = 1.268e-5A
Ah = 8.178e-7C

Segment 4:

Segment 5:
Ep = 0.368V
ip = 3.380e-3A
Ah = 3.156e-3C

Ep = 0.897V
ip = 6.851e-6A
Ah = 1.859e-6C

Ep = 1.297V
ip = 3.261e-6A
Ah = 2.735e-6C

Segment 6:

Segment 7:
Ep = 0.368V
ip = 3.372e-3A
Ah = 3.159e-3C

Segment 8:

Segment 9:
Ep = 0.368V
ip = 3.372e-3A
Ah = 3.154e-3C

Ep = 1.194V
ip = 8.614e-6A
Ah = 3.879e-6C

Potential/V, Current/A, Charge/C, Time/s

0.800, -4.552e-5, -4.552e-7, 1.000e-2
0.801, -4.588e-5, -9.140e-7, 2.000e-2
0.802, -4.503e-5, -1.364e-6, 3.000e-2
0.803, -4.524e-5, -1.817e-6, 4.000e-2
0.804, -4.467e-5, -2.263e-6, 5.000e-2
0.805, -4.500e-5, -2.713e-6, 6.000e-2
0.806, -4.446e-5, -3.158e-6, 7.000e-2
0.807, -4.454e-5, -3.603e-6, 8.000e-2
0.808, -4.418e-5, -4.045e-6, 9.000e-2
0.809, -4.451e-5, -4.490e-6, 1.000e-1
0.810, -4.408e-5, -4.931e-6, 1.100e-1
0.811, -4.413e-5, -5.372e-6, 1.200e-1
0.812, -4.387e-5, -5.811e-6, 1.300e-1
0.813, -4.413e-5, -6.252e-6, 1.400e-1
0.814, -4.354e-5, -6.688e-6, 1.500e-1
0.815, -4.407e-5, -7.128e-6, 1.600e-1
0.816, -4.374e-5, -7.566e-6, 1.700e-1
0.817, -4.384e-5, -8.004e-6, 1.800e-1
0.818, -4.345e-5, -8.439e-6, 1.900e-1
0.819, -4.350e-5, -8.874e-6, 2.000e-1
0.820, -4.324e-5, -9.306e-6, 2.100e-1
0.821, -4.336e-5, -9.740e-6, 2.200e-1
0.822, -4.297e-5, -1.017e-5, 2.300e-1
0.823, -4.340e-5, -1.060e-5, 2.400e-1
0.824, -4.290e-5, -1.103e-5, 2.500e-1
0.825, -4.330e-5, -1.147e-5, 2.600e-1
0.826, -4.281e-5, -1.189e-5, 2.700e-1
0.827, -4.293e-5, -1.232e-5, 2.800e-1
0.828, -4.255e-5, -1.275e-5, 2.900e-1
0.829, -4.305e-5, -1.318e-5, 3.000e-1
0.830, -4.264e-5, -1.361e-5, 3.100e-1
0.831, -4.290e-5, -1.403e-5, 3.200e-1
0.832, -4.251e-5, -1.446e-5, 3.300e-1
0.833, -4.264e-5, -1.489e-5, 3.400e-1
0.834, -4.223e-5, -1.531e-5, 3.500e-1
0.835, -4.275e-5, -1.574e-5, 3.600e-1
0.836, -4.201e-5, -1.616e-5, 3.700e-1
0.837, -4.242e-5, -1.658e-5, 3.800e-1
0.838, -4.216e-5, -1.700e-5, 3.900e-1
0.839, -4.257e-5, -1.743e-5, 4.000e-1
0.840, -4.213e-5, -1.785e-5, 4.100e-1
0.841, -4.241e-5, -1.827e-5, 4.200e-1
0.842, -4.186e-5, -1.869e-5, 4.300e-1
0.843, -4.227e-5, -1.911e-5, 4.400e-1
0.844, -4.182e-5, -1.953e-5, 4.500e-1
0.845, -4.217e-5, -1.995e-5, 4.600e-1
0.846, -4.178e-5, -2.037e-5, 4.700e-1
0.847, -4.227e-5, -2.079e-5, 4.800e-1
0.848, -4.174e-5, -2.121e-5, 4.900e-1
0.849, -4.186e-5, -2.163e-5, 5.000e-1
0.850, -4.168e-5, -2.205e-5, 5.100e-1
0.851, -4.173e-5, -2.246e-5, 5.200e-1
0.852, -4.147e-5, -2.288e-5, 5.300e-1
0.853, -4.175e-5, -2.330e-5, 5.400e-1
0.854, -4.137e-5, -2.371e-5, 5.500e-1
0.855, -4.167e-5, -2.413e-5, 5.600e-1
0.856, -4.133e-5, -2.454e-5, 5.700e-1
0.857, -4.166e-5, -2.496e-5, 5.800e-1
0.858, -4.124e-5, -2.537e-5, 5.900e-1
0.859, -4.159e-5, -2.579e-5, 6.000e-1
0.860, -4.120e-5, -2.620e-5, 6.100e-1
0.861, -4.140e-5, -2.661e-5, 6.200e-1
0.862, -4.089e-5, -2.702e-5, 6.300e-1
0.863, -4.124e-5, -2.743e-5, 6.400e-1
0.864, -4.096e-5, -2.784e-5, 6.500e-1
0.865, -4.134e-5, -2.826e-5, 6.600e-1
0.866, -4.085e-5, -2.866e-5, 6.700e-1
0.867, -4.117e-5, -2.908e-5, 6.800e-1
0.868, -4.077e-5, -2.948e-5, 6.900e-1
0.869, -4.116e-5, -2.990e-5, 7.000e-1
