Segment 1:

Segment 2:

Segment 3:
Ep = 0.361V
ip = 3.203e-3A
Ah = 3.008e-3C

Ep = 0.864V
ip = 3.133e-5A
Ah = 2.403e-6C

Segment 4:

Segment 5:
Ep = 0.364V
ip = 3.252e-3A
Ah = 3.097e-3C

Segment 6:

Segment 7:
Ep = 0.361V
ip = 3.256e-3A
Ah = 3.006e-3C

Ep = 1.098V
ip = 3.092e-6A
Ah = 1.319e-6C

Segment 8:

Segment 9:
Ep = 0.361V
ip = 3.275e-3A
Ah = 3.023e-3C

Potential/V, Current/A, Charge/C, Time/s

0.800, -4.268e-5, -4.268e-7, 1.000e-2
0.801, -4.273e-5, -8.541e-7, 2.000e-2
0.802, -4.197e-5, -1.274e-6, 3.000e-2
0.803, -4.219e-5, -1.696e-6, 4.000e-2
0.804, -4.154e-5, -2.111e-6, 5.000e-2
0.805, -4.170e-5, -2.528e-6, 6.000e-2
0.806, -4.144e-5, -2.942e-6, 7.000e-2
0.807, -4.169e-5, -3.359e-6, 8.000e-2
0.808, -4.104e-5, -3.770e-6, 9.000e-2
0.809, -4.133e-5, -4.183e-6, 1.000e-1
0.810, -4.083e-5, -4.591e-6, 1.100e-1
0.811, -4.147e-5, -5.006e-6, 1.200e-1
0.812, -4.061e-5, -5.412e-6, 1.300e-1
0.813, -4.087e-5, -5.821e-6, 1.400e-1
0.814, -4.045e-5, -6.225e-6, 1.500e-1
0.815, -4.066e-5, -6.632e-6, 1.600e-1
0.816, -4.021e-5, -7.034e-6, 1.700e-1
0.817, -4.039e-5, -7.438e-6, 1.800e-1
0.818, -3.987e-5, -7.837e-6, 1.900e-1
0.819, -4.048e-5, -8.242e-6, 2.000e-1
0.820, -3.984e-5, -8.640e-6, 2.100e-1
0.821, -4.015e-5, -9.041e-6, 2.200e-1
0.822, -3.979e-5, -9.439e-6, 2.300e-1
0.823, -4.011e-5, -9.840e-6, 2.400e-1
0.824, -3.942e-5, -1.023e-5, 2.500e-1
0.825, -3.965e-5, -1.063e-5, 2.600e-1
0.826, -3.934e-5, -1.102e-5, 2.700e-1
0.827, -3.966e-5, -1.142e-5, 2.800e-1
0.828, -3.899e-5, -1.181e-5, 2.900e-1
0.829, -3.938e-5, -1.220e-5, 3.000e-1
0.830, -3.882e-5, -1.259e-5, 3.100e-1
0.831, -3.914e-5, -1.298e-5, 3.200e-1
0.832, -3.871e-5, -1.337e-5, 3.300e-1
