Segment 1:

Segment 2:
Ep = 0.347V
ip = -4.281e-5A
Ah = -3.755e-5C

Segment 3:
Ep = 0.388V
ip = 3.637e-3A
Ah = 3.532e-3C

Segment 4:
Ep = 0.344V
ip = -2.612e-5A
Ah = -2.966e-5C

Segment 5:
Ep = 0.386V
ip = 3.514e-3A
Ah = 3.410e-3C

Segment 6:
Ep = 0.333V
ip = -2.182e-5A
Ah = -2.804e-5C

Segment 7:
Ep = 0.385V
ip = 3.455e-3A
Ah = 3.385e-3C

Segment 8:

Segment 9:
Ep = 0.384V
ip = 3.411e-3A
Ah = 3.317e-3C

Potential/V, Current/A, Charge/C, Time/s

0.800, -4.839e-5, -4.839e-7, 1.000e-2
0.801, -4.824e-5, -9.663e-7, 2.000e-2
0.802, -4.748e-5, -1.441e-6, 3.000e-2
0.803, -4.804e-5, -1.921e-6, 4.000e-2
0.804, -4.741e-5, -2.396e-6, 5.000e-2
0.805, -4.754e-5, -2.871e-6, 6.000e-2
0.806, -4.719e-5, -3.343e-6, 7.000e-2
0.807, -4.738e-5, -3.817e-6, 8.000e-2
0.808, -4.679e-5, -4.285e-6, 9.000e-2
0.809, -4.745e-5, -4.759e-6, 1.000e-1
0.810, -4.654e-5, -5.225e-6, 1.100e-1
0.811, -4.706e-5, -5.695e-6, 1.200e-1
0.812, -4.639e-5, -6.159e-6, 1.300e-1
0.813, -4.693e-5, -6.628e-6, 1.400e-1
0.814, -4.657e-5, -7.094e-6, 1.500e-1
0.815, -4.657e-5, -7.560e-6, 1.600e-1
0.816, -4.613e-5, -8.021e-6, 1.700e-1
0.817, -4.641e-5, -8.485e-6, 1.800e-1
0.818, -4.603e-5, -8.945e-6, 1.900e-1
0.819, -4.648e-5, -9.410e-6, 2.000e-1
0.820, -4.583e-5, -9.869e-6, 2.100e-1
0.821, -4.615e-5, -1.033e-5, 2.200e-1
0.822, -4.572e-5, -1.079e-5, 2.300e-1
0.823, -4.604e-5, -1.125e-5, 2.400e-1
0.824, -4.560e-5, -1.170e-5, 2.500e-1
0.825, -4.577e-5, -1.216e-5, 2.600e-1
0.826, -4.538e-5, -1.262e-5, 2.700e-1
0.827, -4.583e-5, -1.307e-5, 2.800e-1
0.828, -4.516e-5, -1.352e-5, 2.900e-1
0.829, -4.588e-5, -1.398e-5, 3.000e-1
0.830, -4.518e-5, -1.444e-5, 3.100e-1
0.831, -4.542e-5, -1.489e-5, 3.200e-1
0.832, -4.514e-5, -1.534e-5, 3.300e-1
0.833, -4.520e-5, -1.579e-5, 3.400e-1
0.834, -4.485e-5, -1.624e-5, 3.500e-1
0.835, -4.535e-5, -1.670e-5, 3.600e-1
0.836, -4.474e-5, -1.714e-5, 3.700e-1
0.837, -4.495e-5, -1.759e-5, 3.800e-1
0.838, -4.451e-5, -1.804e-5, 3.900e-1
0.839, -4.490e-5, -1.849e-5, 4.000e-1
0.840, -4.438e-5, -1.893e-5, 4.100e-1
0.841, -4.470e-5, -1.938e-5, 4.200e-1
0.842, -4.447e-5, -1.982e-5, 4.300e-1
0.843, -4.477e-5, -2.027e-5, 4.400e-1
0.844, -4.425e-5, -2.071e-5, 4.500e-1
0.845, -4.469e-5, -2.116e-5, 4.600e-1
0.846, -4.408e-5, -2.160e-5, 4.700e-1
0.847, -4.441e-5, -2.204e-5, 4.800e-1
0.848, -4.398e-5, -2.248e-5, 4.900e-1
0.849, -4.439e-5, -2.293e-5, 5.000e-1
0.850, -4.394e-5, -2.337e-5, 5.100e-1
0.851, -4.423e-5, -2.381e-5, 5.200e-1
0.852, -4.373e-5, -2.425e-5, 5.300e-1
0.853, -4.422e-5, -2.469e-5, 5.400e-1
0.854, -4.365e-5, -2.513e-5, 5.500e-1
0.855, -4.397e-5, -2.556e-5, 5.600e-1
0.856, -4.355e-5, -2.600e-5, 5.700e-1
0.857, -4.384e-5, -2.644e-5, 5.800e-1
0.858, -4.351e-5, -2.687e-5, 5.900e-1
0.859, -4.374e-5, -2.731e-5, 6.000e-1
0.860, -4.329e-5, -2.774e-5, 6.100e-1
0.861, -4.354e-5, -2.818e-5, 6.200e-1
0.862, -4.327e-5, -2.861e-5, 6.300e-1
0.863, -4.340e-5, -2.905e-5, 6.400e-1
0.864, -4.302e-5, -2.948e-5, 6.500e-1
0.865, -4.337e-5, -2.991e-5, 6.600e-1
0.866, -4.289e-5, -3.034e-5, 6.700e-1
0.867, -4.316e-5, -3.077e-5, 6.800e-1
0.868, -4.282e-5, -3.120e-5, 6.900e-1
0.869, -4.289e-5, -3.163e-5, 7.000e-1
0.870, -4.276e-5, -3.206e-5, 7.100e-1
0.871, -4.305e-5, -3.249e-5, 7.200e-1
0.872, -4.245e-5, -3.291e-5, 7.300e-1
0.873, -4.299e-5, -3.334e-5, 7.400e-1
0.874, -4.229e-5, -3.376e-5, 7.500e-1
0.875, -4.274e-5, -3.419e-5, 7.600e-1
0.876, -4.227e-5, -3.461e-5, 7.700e-1
0.877, -4.281e-5, -3.504e-5, 7.800e-1
0.878, -4.214e-5, -3.546e-5, 7.900e-1
0.879, -4.260e-5, -3.589e-5, 8.000e-1
0.880, -4.220e-5, -3.631e-5, 8.100e-1
0.881, -4.262e-5, -3.674e-5, 8.200e-1
0.882, -4.191e-5, -3.716e-5, 8.300e-1
0.883, -4.238e-5, -3.758e-5, 8.400e-1
0.884, -4.178e-5, -3.800e-5, 8.500e-1
0.885, -4.246e-5, -3.842e-5, 8.600e-1
0.886, -4.173e-5, -3.884e-5, 8.700e-1
0.887, -4.218e-5, -3.926e-5, 8.800e-1
0.888, -4.149e-5, -3.968e-5, 8.900e-1
0.889, -4.207e-5, -4.010e-5, 9.000e-1
0.890, -4.150e-5, -4.051e-5, 9.100e-1
0.891, -4.194e-5, -4.093e-5, 9.200e-1
0.892, -4.139e-5, -4.134e-5, 9.300e-1
0.893, -4.204e-5, -4.177e-5, 9.400e-1
0.894, -4.119e-5, -4.218e-5, 9.500e-1
0.895, -4.175e-5, -4.259e-5, 9.600e-1
0.896, -4.131e-5, -4.301e-5, 9.700e-1
0.897, -4.152e-5, -4.342e-5, 9.800e-1
0.898, -4.104e-5, -4.383e-5, 9.900e-1
0.899, -4.166e-5, -4.425e-5, 1.000e+0
0.900, -4.090e-5, -4.466e-5, 1.010e+0
0.901, -4.120e-5, -4.507e-5, 1.020e+0
0.902, -4.089e-5, -4.548e-5, 1.030e+0
0.903, -4.129e-5, -4.589e-5, 1.040e+0
0.904, -4.069e-5, -4.630e-5, 1.050e+0
0.905, -4.127e-5, -4.671e-5, 1.060e+0
0.906, -4.052e-5, -4.712e-5, 1.070e+0
0.907, -4.103e-5, -4.753e-5, 1.080e+0
0.908, -4.055e-5, -4.793e-5, 1.090e+0
0.909, -4.086e-5, -4.834e-5, 1.100e+0
0.910, -4.057e-5, -4.875e-5, 1.110e+0
0.911, -4.076e-5, -4.916e-5, 1.120e+0
0.912, -4.060e-5, -4.956e-5, 1.130e+0
0.913, -4.055e-5, -4.997e-5, 1.140e+0
0.914, -4.034e-5, -5.037e-5, 1.150e+0
0.915, -4.052e-5, -5.078e-5, 1.160e+0
0.916, -4.031e-5, -5.118e-5, 1.170e+0
0.917, -4.026e-5, -5.158e-5, 1.180e+0
0.918, -4.024e-5, -5.198e-5, 1.190e+0
0.919, -4.034e-5, -5.239e-5, 1.200e+0
