Segment 1:

Segment 2:
Ep = 0.356V
ip = -4.439e-5A
Ah = -3.724e-5C

Segment 3:
Ep = 0.428V
ip = 1.653e-3A
Ah = 2.066e-3C

Segment 4:
Ep = 0.378V
ip = -3.722e-5A
Ah = -3.164e-5C

Segment 5:
Ep = 0.435V
ip = 1.394e-3A
Ah = 1.884e-3C

Segment 6:
Ep = 0.375V
ip = -3.708e-5A
Ah = -3.260e-5C

Segment 7:
Ep = 0.435V
ip = 1.386e-3A
Ah = 1.827e-3C

Segment 8:
Ep = 0.378V
ip = -3.861e-5A
Ah = -3.318e-5C

Segment 9:
Ep = 0.436V
ip = 1.352e-3A
Ah = 1.813e-3C

Ep = 1.184V
ip = 1.797e-5A
Ah = 5.369e-6C

Potential/V, Current/A, Charge/C, Time/s

0.800, -4.900e-5, -4.900e-7, 1.000e-2
0.801, -4.860e-5, -9.760e-7, 2.000e-2
0.802, -4.821e-5, -1.458e-6, 3.000e-2
0.803, -4.813e-5, -1.939e-6, 4.000e-2
0.804, -4.802e-5, -2.420e-6, 5.000e-2
0.805, -4.795e-5, -2.899e-6, 6.000e-2
0.806, -4.795e-5, -3.379e-6, 7.000e-2
0.807, -4.774e-5, -3.856e-6, 8.000e-2
0.808, -4.786e-5, -4.335e-6, 9.000e-2
0.809, -4.766e-5, -4.811e-6, 1.000e-1
0.810, -4.759e-5, -5.287e-6, 1.100e-1
0.811, -4.734e-5, -5.760e-6, 1.200e-1
0.812, -4.717e-5, -6.232e-6, 1.300e-1
0.813, -4.720e-5, -6.704e-6, 1.400e-1
0.814, -4.708e-5, -7.175e-6, 1.500e-1
0.815, -4.691e-5, -7.644e-6, 1.600e-1
0.816, -4.687e-5, -8.113e-6, 1.700e-1
0.817, -4.684e-5, -8.581e-6, 1.800e-1
0.818, -4.685e-5, -9.050e-6, 1.900e-1
0.819, -4.686e-5, -9.518e-6, 2.000e-1
0.820, -4.686e-5, -9.987e-6, 2.100e-1
0.821, -4.659e-5, -1.045e-5, 2.200e-1
0.822, -4.655e-5, -1.092e-5, 2.300e-1
0.823, -4.657e-5, -1.138e-5, 2.400e-1
0.824, -4.635e-5, -1.185e-5, 2.500e-1
0.825, -4.631e-5, -1.231e-5, 2.600e-1
0.826, -4.619e-5, -1.277e-5, 2.700e-1
0.827, -4.620e-5, -1.323e-5, 2.800e-1
0.828, -4.605e-5, -1.369e-5, 2.900e-1
0.829, -4.598e-5, -1.415e-5, 3.000e-1
0.830, -4.582e-5, -1.461e-5, 3.100e-1
0.831, -4.583e-5, -1.507e-5, 3.200e-1
0.832, -4.587e-5, -1.553e-5, 3.300e-1
0.833, -4.575e-5, -1.599e-5, 3.400e-1
0.834, -4.550e-5, -1.644e-5, 3.500e-1
0.835, -4.586e-5, -1.690e-5, 3.600e-1
0.836, -4.567e-5, -1.736e-5, 3.700e-1
0.837, -4.575e-5, -1.782e-5, 3.800e-1
0.838, -4.547e-5, -1.827e-5, 3.900e-1
0.839, -4.558e-5, -1.873e-5, 4.000e-1
0.840, -4.548e-5, -1.918e-5, 4.100e-1
0.841, -4.530e-5, -1.963e-5, 4.200e-1
0.842, -4.563e-5, -2.009e-5, 4.300e-1
0.843, -4.541e-5, -2.054e-5, 4.400e-1
0.844, -4.530e-5, -2.100e-5, 4.500e-1
0.845, -4.528e-5, -2.145e-5, 4.600e-1
0.846, -4.510e-5, -2.190e-5, 4.700e-1
0.847, -4.527e-5, -2.235e-5, 4.800e-1
0.848, -4.508e-5, -2.280e-5, 4.900e-1
0.849, -4.511e-5, -2.326e-5, 5.000e-1
0.850, -4.511e-5, -2.371e-5, 5.100e-1
0.851, -4.490e-5, -2.416e-5, 5.200e-1
0.852, -4.493e-5, -2.460e-5, 5.300e-1
0.853, -4.504e-5, -2.506e-5, 5.400e-1
0.854, -4.479e-5, -2.550e-5, 5.500e-1
0.855, -4.499e-5, -2.595e-5, 5.600e-1
0.856, -4.458e-5, -2.640e-5, 5.700e-1
0.857, -4.483e-5, -2.685e-5, 5.800e-1
0.858, -4.459e-5, -2.729e-5, 5.900e-1
0.859, -4.476e-5, -2.774e-5, 6.000e-1
0.860, -4.459e-5, -2.819e-5, 6.100e-1
0.861, -4.463e-5, -2.863e-5, 6.200e-1
0.862, -4.422e-5, -2.908e-5, 6.300e-1
0.863, -4.444e-5, -2.952e-5, 6.400e-1
0.864, -4.437e-5, -2.996e-5, 6.500e-1
0.865, -4.438e-5, -3.041e-5, 6.600e-1
0.866, -4.431e-5, -3.085e-5, 6.700e-1
0.867, -4.431e-5, -3.129e-5, 6.800e-1
0.868, -4.418e-5, -3.173e-5, 6.900e-1
0.869, -4.421e-5, -3.218e-5, 7.000e-1
0.870, -4.393e-5, -3.262e-5, 7.100e-1
0.871, -4.413e-5, -3.306e-5, 7.200e-1
0.872, -4.403e-5, -3.350e-5, 7.300e-1
0.873, -4.409e-5, -3.394e-5, 7.400e-1
0.874, -4.389e-5, -3.438e-5, 7.500e-1
0.875, -4.399e-5, -3.482e-5, 7.600e-1
0.876, -4.367e-5, -3.525e-5, 7.700e-1
0.877, -4.392e-5, -3.569e-5, 7.800e-1
0.878, -4.370e-5, -3.613e-5, 7.900e-1
0.879, -4.390e-5, -3.657e-5, 8.000e-1
0.880, -4.371e-5, -3.701e-5, 8.100e-1
0.881, -4.384e-5, -3.744e-5, 8.200e-1
0.882, -4.362e-5, -3.788e-5, 8.300e-1
0.883, -4.362e-5, -3.832e-5, 8.400e-1
0.884, -4.357e-5, -3.875e-5, 8.500e-1
0.885, -4.342e-5, -3.919e-5, 8.600e-1
0.886, -4.355e-5, -3.962e-5, 8.700e-1
0.887, -4.331e-5, -4.006e-5, 8.800e-1
0.888, -4.323e-5, -4.049e-5, 8.900e-1
0.889, -4.338e-5, -4.092e-5, 9.000e-1
0.890, -4.329e-5, -4.135e-5, 9.100e-1
0.891, -4.334e-5, -4.179e-5, 9.200e-1
0.892, -4.324e-5, -4.222e-5, 9.300e-1
0.893, -4.333e-5, -4.265e-5, 9.400e-1
0.894, -4.300e-5, -4.308e-5, 9.500e-1
0.895, -4.321e-5, -4.352e-5, 9.600e-1
0.896, -4.311e-5, -4.395e-5, 9.700e-1
0.897, -4.298e-5, -4.438e-5, 9.800e-1
0.898, -4.281e-5, -4.481e-5, 9.900e-1
0.899, -4.321e-5, -4.524e-5, 1.000e+0
0.900, -4.286e-5, -4.567e-5, 1.010e+0
0.901, -4.297e-5, -4.610e-5, 1.020e+0
0.902, -4.272e-5, -4.652e-5, 1.030e+0
0.903, -4.285e-5, -4.695e-5, 1.040e+0
0.904, -4.273e-5, -4.738e-5, 1.050e+0
0.905, -4.285e-5, -4.781e-5, 1.060e+0
0.906, -4.262e-5, -4.823e-5, 1.070e+0
0.907, -4.264e-5, -4.866e-5, 1.080e+0
0.908, -4.264e-5, -4.909e-5, 1.090e+0
0.909, -4.276e-5, -4.951e-5, 1.100e+0
0.910, -4.245e-5, -4.994e-5, 1.110e+0
0.911, -4.259e-5, -5.036e-5, 1.120e+0
0.912, -4.219e-5, -5.079e-5, 1.130e+0
0.913, -4.231e-5, -5.121e-5, 1.140e+0
0.914, -4.237e-5, -5.163e-5, 1.150e+0
0.915, -4.233e-5, -5.206e-5, 1.160e+0
0.916, -4.224e-5, -5.248e-5, 1.170e+0
0.917, -4.228e-5, -5.290e-5, 1.180e+0
