Segment 1:

Segment 2:

Segment 3:
Ep = 0.365V
ip = 3.287e-3A
Ah = 3.123e-3C

Ep = 1.016V
ip = 4.127e-6A
Ah = 2.048e-6C

Segment 4:

Segment 5:
Ep = 0.367V
ip = 3.382e-3A
Ah = 3.168e-3C

Ep = 1.094V
ip = 1.808e-5A
Ah = 3.946e-6C

Segment 6:
Ep = 0.849V
ip = -9.749e-7A
Ah = -6.838e-7C

Segment 7:
Ep = 0.370V
ip = 3.384e-3A
Ah = 3.274e-3C

Segment 8:

Segment 9:
Ep = 0.369V
ip = 3.405e-3A
Ah = 3.246e-3C

Ep = 0.844V
ip = 4.671e-6A
Ah = 2.092e-7C

Potential/V, Current/A, Charge/C, Time/s

0.800, -4.491e-5, -4.491e-7, 1.000e-2
0.801, -4.440e-5, -8.931e-7, 2.000e-2
0.802, -4.415e-5, -1.335e-6, 3.000e-2
0.803, -4.374e-5, -1.772e-6, 4.000e-2
0.804, -4.365e-5, -2.208e-6, 5.000e-2
0.805, -4.372e-5, -2.646e-6, 6.000e-2
0.806, -4.366e-5, -3.082e-6, 7.000e-2
0.807, -4.352e-5, -3.517e-6, 8.000e-2
0.808, -4.351e-5, -3.952e-6, 9.000e-2
0.809, -4.323e-5, -4.385e-6, 1.000e-1
0.810, -4.315e-5, -4.816e-6, 1.100e-1
0.811, -4.300e-5, -5.246e-6, 1.200e-1
0.812, -4.273e-5, -5.673e-6, 1.300e-1
0.813, -4.289e-5, -6.102e-6, 1.400e-1
0.814, -4.287e-5, -6.531e-6, 1.500e-1
0.815, -4.257e-5, -6.957e-6, 1.600e-1
0.816, -4.260e-5, -7.383e-6, 1.700e-1
0.817, -4.257e-5, -7.808e-6, 1.800e-1
0.818, -4.240e-5, -8.232e-6, 1.900e-1
0.819, -4.233e-5, -8.656e-6, 2.000e-1
0.820, -4.223e-5, -9.078e-6, 2.100e-1
0.821, -4.220e-5, -9.500e-6, 2.200e-1
0.822, -4.205e-5, -9.921e-6, 2.300e-1
0.823, -4.197e-5, -1.034e-5, 2.400e-1
0.824, -4.177e-5, -1.076e-5, 2.500e-1
0.825, -4.201e-5, -1.118e-5, 2.600e-1
0.826, -4.175e-5, -1.160e-5, 2.700e-1
0.827, -4.164e-5, -1.201e-5, 2.800e-1
0.828, -4.161e-5, -1.243e-5, 2.900e-1
0.829, -4.165e-5, -1.284e-5, 3.000e-1
0.830, -4.162e-5, -1.326e-5, 3.100e-1
0.831, -4.160e-5, -1.368e-5, 3.200e-1
0.832, -4.149e-5, -1.409e-5, 3.300e-1
0.833, -4.153e-5, -1.451e-5, 3.400e-1
0.834, -4.130e-5, -1.492e-5, 3.500e-1
0.835, -4.137e-5, -1.533e-5, 3.600e-1
0.836, -4.124e-5, -1.575e-5, 3.700e-1
0.837, -4.123e-5, -1.616e-5, 3.800e-1
0.838, -4.095e-5, -1.657e-5, 3.900e-1
0.839, -4.116e-5, -1.698e-5, 4.000e-1
0.840, -4.082e-5, -1.739e-5, 4.100e-1
0.841, -4.085e-5, -1.780e-5, 4.200e-1
0.842, -4.066e-5, -1.820e-5, 4.300e-1
0.843, -4.077e-5, -1.861e-5, 4.400e-1
0.844, -4.091e-5, -1.902e-5, 4.500e-1
0.845, -4.040e-5, -1.942e-5, 4.600e-1
0.846, -4.044e-5, -1.983e-5, 4.700e-1
0.847, -4.045e-5, -2.023e-5, 4.800e-1
0.848, -4.027e-5, -2.064e-5, 4.900e-1
0.849, -4.043e-5, -2.104e-5, 5.000e-1
0.850, -4.026e-5, -2.144e-5, 5.100e-1
0.851, -4.022e-5, -2.184e-5, 5.200e-1
0.852, -4.030e-5, -2.225e-5, 5.300e-1
0.853, -4.021e-5, -2.265e-5, 5.400e-1
0.854, -4.012e-5, -2.305e-5, 5.500e-1
0.855, -3.991e-5, -2.345e-5, 5.600e-1
0.856, -3.993e-5, -2.385e-5, 5.700e-1
0.857, -4.009e-5, -2.425e-5, 5.800e-1
0.858, -3.974e-5, -2.465e-5, 5.900e-1
0.859, -3.973e-5, -2.504e-5, 6.000e-1
0.860, -3.965e-5, -2.544e-5, 6.100e-1
0.861, -3.979e-5, -2.584e-5, 6.200e-1
0.862, -3.946e-5, -2.623e-5, 6.300e-1
0.863, -3.949e-5, -2.663e-5, 6.400e-1
0.864, -3.941e-5, -2.702e-5, 6.500e-1
0.865, -3.960e-5, -2.742e-5, 6.600e-1
0.866, -3.944e-5, -2.781e-5, 6.700e-1
0.867, -3.951e-5, -2.821e-5, 6.800e-1
0.868, -3.919e-5, -2.860e-5, 6.900e-1
0.869, -3.914e-5, -2.899e-5, 7.000e-1
0.870, -3.906e-5, -2.938e-5, 7.100e-1
0.871, -3.925e-5, -2.977e-5, 7.200e-1
0.872, -3.912e-5, -3.017e-5, 7.300e-1
0.873, -3.905e-5, -3.056e-5, 7.400e-1
0.874, -3.886e-5, -3.094e-5, 7.500e-1
0.875, -3.902e-5, -3.133e-5, 7.600e-1
0.876, -3.887e-5, -3.172e-5, 7.700e-1
0.877, -3.893e-5, -3.211e-5, 7.800e-1
0.878, -3.880e-5, -3.250e-5, 7.900e-1
0.879, -3.889e-5, -3.289e-5, 8.000e-1
0.880, -3.863e-5, -3.328e-5, 8.100e-1
0.881, -3.874e-5, -3.366e-5, 8.200e-1
0.882, -3.833e-5, -3.405e-5, 8.300e-1
0.883, -3.865e-5, -3.443e-5, 8.400e-1
0.884, -3.819e-5, -3.482e-5, 8.500e-1
0.885, -3.853e-5, -3.520e-5, 8.600e-1
0.886, -3.813e-5, -3.558e-5, 8.700e-1
0.887, -3.829e-5, -3.596e-5, 8.800e-1
0.888, -3.827e-5, -3.635e-5, 8.900e-1
0.889, -3.817e-5, -3.673e-5, 9.000e-1
0.890, -3.809e-5, -3.711e-5, 9.100e-1
0.891, -3.804e-5, -3.749e-5, 9.200e-1
0.892, -3.791e-5, -3.787e-5, 9.300e-1
0.893, -3.819e-5, -3.825e-5, 9.400e-1
0.894, -3.784e-5, -3.863e-5, 9.500e-1
0.895, -3.799e-5, -3.901e-5, 9.600e-1
0.896, -3.783e-5, -3.939e-5, 9.700e-1
0.897, -3.792e-5, -3.977e-5, 9.800e-1
0.898, -3.760e-5, -4.014e-5, 9.900e-1
0.899, -3.784e-5, -4.052e-5, 1.000e+0
0.900, -3.756e-5, -4.090e-5, 1.010e+0
0.901, -3.767e-5, -4.127e-5, 1.020e+0
0.902, -3.738e-5, -4.165e-5, 1.030e+0
0.903, -3.741e-5, -4.202e-5, 1.040e+0
0.904, -3.736e-5, -4.240e-5, 1.050e+0
0.905, -3.736e-5, -4.277e-5, 1.060e+0
0.906, -3.729e-5, -4.314e-5, 1.070e+0
0.907, -3.737e-5, -4.352e-5, 1.080e+0
0.908, -3.733e-5, -4.389e-5, 1.090e+0
0.909, -3.735e-5, -4.426e-5, 1.100e+0
0.910, -3.723e-5, -4.463e-5, 1.110e+0
0.911, -3.735e-5, -4.501e-5, 1.120e+0
0.912, -3.717e-5, -4.538e-5, 1.130e+0
0.913, -3.700e-5, -4.575e-5, 1.140e+0
0.914, -3.700e-5, -4.612e-5, 1.150e+0
0.915, -3.700e-5, -4.649e-5, 1.160e+0
0.916, -3.679e-5, -4.686e-5, 1.170e+0
0.917, -3.683e-5, -4.723e-5, 1.180e+0
0.918, -3.656e-5, -4.759e-5, 1.190e+0
0.919, -3.675e-5, -4.796e-5, 1.200e+0
0.920, -3.677e-5, -4.833e-5, 1.210e+0
0.921, -3.667e-5, -4.869e-5, 1.220e+0
