Segment 1:

Segment 2:

Segment 3:
Ep = 0.358V
ip = 3.240e-3A
Ah = 2.953e-3C

Ep = 1.041V
ip = 1.761e-5A
Ah = 1.394e-6C

Segment 4:

Segment 5:
Ep = 0.364V
ip = 3.313e-3A
Ah = 3.135e-3C

Ep = 1.105V
ip = 1.527e-5A
Ah = 5.219e-6C

Segment 6:

Segment 7:
Ep = 0.363V
ip = 3.333e-3A
Ah = 3.123e-3C

Ep = 0.999V
ip = 8.479e-6A
Ah = 3.807e-6C

Segment 8:

Segment 9:
Ep = 0.362V
ip = 3.330e-3A
Ah = 3.085e-3C

Ep = 1.010V
ip = 7.341e-6A
Ah = 5.114e-6C

Potential/V, Current/A, Charge/C, Time/s

0.800, -4.431e-5, -4.431e-7, 1.000e-2
0.801, -4.431e-5, -8.862e-7, 2.000e-2
0.802, -4.350e-5, -1.321e-6, 3.000e-2
0.803, -4.381e-5, -1.759e-6, 4.000e-2
0.804, -4.303e-5, -2.190e-6, 5.000e-2
0.805, -4.337e-5, -2.623e-6, 6.000e-2
0.806, -4.280e-5, -3.051e-6, 7.000e-2
0.807, -4.320e-5, -3.483e-6, 8.000e-2
0.808, -4.268e-5, -3.910e-6, 9.000e-2
0.809, -4.273e-5, -4.337e-6, 1.000e-1
0.810, -4.241e-5, -4.762e-6, 1.100e-1
0.811, -4.237e-5, -5.185e-6, 1.200e-1
0.812, -4.204e-5, -5.606e-6, 1.300e-1
0.813, -4.190e-5, -6.025e-6, 1.400e-1
0.814, -4.174e-5, -6.442e-6, 1.500e-1
0.815, -4.225e-5, -6.864e-6, 1.600e-1
0.816, -4.192e-5, -7.284e-6, 1.700e-1
0.817, -4.219e-5, -7.706e-6, 1.800e-1
0.818, -4.156e-5, -8.121e-6, 1.900e-1
0.819, -4.197e-5, -8.541e-6, 2.000e-1
0.820, -4.148e-5, -8.956e-6, 2.100e-1
0.821, -4.197e-5, -9.375e-6, 2.200e-1
0.822, -4.148e-5, -9.790e-6, 2.300e-1
0.823, -4.165e-5, -1.021e-5, 2.400e-1
0.824, -4.121e-5, -1.062e-5, 2.500e-1
0.825, -4.141e-5, -1.103e-5, 2.600e-1
0.826, -4.093e-5, -1.144e-5, 2.700e-1
0.827, -4.130e-5, -1.186e-5, 2.800e-1
0.828, -4.097e-5, -1.226e-5, 2.900e-1
0.829, -4.150e-5, -1.268e-5, 3.000e-1
0.830, -4.091e-5, -1.309e-5, 3.100e-1
0.831, -4.123e-5, -1.350e-5, 3.200e-1
0.832, -4.077e-5, -1.391e-5, 3.300e-1
0.833, -4.110e-5, -1.432e-5, 3.400e-1
0.834, -4.066e-5, -1.473e-5, 3.500e-1
0.835, -4.083e-5, -1.513e-5, 3.600e-1
0.836, -4.043e-5, -1.554e-5, 3.700e-1
0.837, -4.078e-5, -1.595e-5, 3.800e-1
0.838, -4.004e-5, -1.635e-5, 3.900e-1
0.839, -4.071e-5, -1.675e-5, 4.000e-1
0.840, -4.009e-5, -1.716e-5, 4.100e-1
0.841, -4.049e-5, -1.756e-5, 4.200e-1
0.842, -3.986e-5, -1.796e-5, 4.300e-1
0.843, -4.035e-5, -1.836e-5, 4.400e-1
0.844, -3.976e-5, -1.876e-5, 4.500e-1
0.845, -4.008e-5, -1.916e-5, 4.600e-1
0.846, -3.982e-5, -1.956e-5, 4.700e-1
0.847, -4.007e-5, -1.996e-5, 4.800e-1
0.848, -3.961e-5, -2.036e-5, 4.900e-1
0.849, -3.999e-5, -2.076e-5, 5.000e-1
0.850, -3.948e-5, -2.115e-5, 5.100e-1
0.851, -3.996e-5, -2.155e-5, 5.200e-1
0.852, -3.924e-5, -2.194e-5, 5.300e-1
0.853, -3.971e-5, -2.234e-5, 5.400e-1
0.854, -3.936e-5, -2.273e-5, 5.500e-1
0.855, -3.941e-5, -2.313e-5, 5.600e-1
0.856, -3.927e-5, -2.352e-5, 5.700e-1
0.857, -3.920e-5, -2.391e-5, 5.800e-1
0.858, -3.912e-5, -2.430e-5, 5.900e-1
0.859, -3.919e-5, -2.470e-5, 6.000e-1
0.860, -3.894e-5, -2.508e-5, 6.100e-1
0.861, -3.907e-5, -2.548e-5, 6.200e-1
0.862, -3.895e-5, -2.586e-5, 6.300e-1
0.863, -3.910e-5, -2.626e-5, 6.400e-1
0.864, -3.874e-5, -2.664e-5, 6.500e-1
0.865, -3.875e-5, -2.703e-5, 6.600e-1
0.866, -3.850e-5, -2.742e-5, 6.700e-1
0.867, -3.892e-5, -2.781e-5, 6.800e-1
0.868, -3.856e-5, -2.819e-5, 6.900e-1
0.869, -3.887e-5, -2.858e-5, 7.000e-1
0.870, -3.835e-5, -2.896e-5, 7.100e-1
0.871, -3.863e-5, -2.935e-5, 7.200e-1
0.872, -3.821e-5, -2.973e-5, 7.300e-1
0.873, -3.866e-5, -3.012e-5, 7.400e-1
0.874, -3.823e-5, -3.050e-5, 7.500e-1
