Segment 1:

Segment 2:
Ep = 0.350V
ip = -3.787e-5A
Ah = -3.463e-5C

Segment 3:
Ep = 0.368V
ip = 2.791e-3A
Ah = 2.729e-3C

Segment 4:

Segment 5:
Ep = 0.364V
ip = 2.629e-3A
Ah = 2.539e-3C

Segment 6:
Ep = 0.340V
ip = -1.826e-5A
Ah = -2.510e-5C

Segment 7:
Ep = 0.360V
ip = 2.701e-3A
Ah = 2.446e-3C

Segment 8:

Segment 9:
Ep = 0.365V
ip = 2.685e-3A
Ah = 2.570e-3C

Potential/V, Current/A, Charge/C, Time/s

0.800, -4.757e-5, -4.757e-7, 1.000e-2
0.801, -4.695e-5, -9.452e-7, 2.000e-2
0.802, -4.694e-5, -1.415e-6, 3.000e-2
0.803, -4.657e-5, -1.880e-6, 4.000e-2
0.804, -4.688e-5, -2.349e-6, 5.000e-2
0.805, -4.654e-5, -2.814e-6, 6.000e-2
0.806, -4.638e-5, -3.278e-6, 7.000e-2
0.807, -4.621e-5, -3.740e-6, 8.000e-2
0.808, -4.643e-5, -4.205e-6, 9.000e-2
0.809, -4.571e-5, -4.662e-6, 1.000e-1
0.810, -4.599e-5, -5.122e-6, 1.100e-1
0.811, -4.584e-5, -5.580e-6, 1.200e-1
0.812, -4.595e-5, -6.040e-6, 1.300e-1
0.813, -4.562e-5, -6.496e-6, 1.400e-1
0.814, -4.579e-5, -6.954e-6, 1.500e-1
0.815, -4.534e-5, -7.407e-6, 1.600e-1
0.816, -4.565e-5, -7.864e-6, 1.700e-1
0.817, -4.541e-5, -8.318e-6, 1.800e-1
0.818, -4.563e-5, -8.774e-6, 1.900e-1
0.819, -4.506e-5, -9.225e-6, 2.000e-1
0.820, -4.540e-5, -9.679e-6, 2.100e-1
0.821, -4.497e-5, -1.013e-5, 2.200e-1
0.822, -4.523e-5, -1.058e-5, 2.300e-1
0.823, -4.471e-5, -1.103e-5, 2.400e-1
0.824, -4.516e-5, -1.148e-5, 2.500e-1
0.825, -4.491e-5, -1.193e-5, 2.600e-1
0.826, -4.503e-5, -1.238e-5, 2.700e-1
0.827, -4.462e-5, -1.282e-5, 2.800e-1
0.828, -4.499e-5, -1.327e-5, 2.900e-1
0.829, -4.456e-5, -1.372e-5, 3.000e-1
0.830, -4.483e-5, -1.417e-5, 3.100e-1
0.831, -4.457e-5, -1.461e-5, 3.200e-1
0.832, -4.471e-5, -1.506e-5, 3.300e-1
0.833, -4.437e-5, -1.551e-5, 3.400e-1
0.834, -4.475e-5, -1.595e-5, 3.500e-1
0.835, -4.422e-5, -1.639e-5, 3.600e-1
0.836, -4.461e-5, -1.684e-5, 3.700e-1
0.837, -4.421e-5, -1.728e-5, 3.800e-1
0.838, -4.442e-5, -1.773e-5, 3.900e-1
0.839, -4.423e-5, -1.817e-5, 4.000e-1
0.840, -4.444e-5, -1.861e-5, 4.100e-1
0.841, -4.403e-5, -1.905e-5, 4.200e-1
0.842, -4.432e-5, -1.950e-5, 4.300e-1
0.843, -4.391e-5, -1.994e-5, 4.400e-1
0.844, -4.415e-5, -2.038e-5, 4.500e-1
0.845, -4.404e-5, -2.082e-5, 4.600e-1
0.846, -4.418e-5, -2.126e-5, 4.700e-1
0.847, -4.397e-5, -2.170e-5, 4.800e-1
0.848, -4.430e-5, -2.214e-5, 4.900e-1
0.849, -4.380e-5, -2.258e-5, 5.000e-1
0.850, -4.414e-5, -2.302e-5, 5.100e-1
0.851, -4.384e-5, -2.346e-5, 5.200e-1
0.852, -4.402e-5, -2.390e-5, 5.300e-1
0.853, -4.370e-5, -2.434e-5, 5.400e-1
0.854, -4.383e-5, -2.478e-5, 5.500e-1
0.855, -4.361e-5, -2.521e-5, 5.600e-1
0.856, -4.377e-5, -2.565e-5, 5.700e-1
0.857, -4.340e-5, -2.608e-5, 5.800e-1
0.858, -4.380e-5, -2.652e-5, 5.900e-1
0.859, -4.344e-5, -2.696e-5, 6.000e-1
0.860, -4.371e-5, -2.739e-5, 6.100e-1
0.861, -4.344e-5, -2.783e-5, 6.200e-1
0.862, -4.341e-5, -2.826e-5, 6.300e-1
0.863, -4.338e-5, -2.870e-5, 6.400e-1
0.864, -4.361e-5, -2.913e-5, 6.500e-1
0.865, -4.308e-5, -2.956e-5, 6.600e-1
0.866, -4.357e-5, -3.000e-5, 6.700e-1
0.867, -4.319e-5, -3.043e-5, 6.800e-1
0.868, -4.322e-5, -3.086e-5, 6.900e-1
0.869, -4.311e-5, -3.129e-5, 7.000e-1
0.870, -4.328e-5, -3.173e-5, 7.100e-1
0.871, -4.299e-5, -3.216e-5, 7.200e-1
